,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X002179.SZ,X600418.SH,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002236.SZ,X002049.SZ,X600183.SH,X600741.SH,X000066.SZ,X600522.SH,X600066.SH,X600839.SH,X601877.SH,X600460.SH,X002456.SZ,X002156.SZ,X600487.SH,X000661.SZ,X000800.SZ,X002085.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473613776021971,0,0,0,0,0,0.0480164072350738,0,0.152332815328537,0,0,0,0,0,0,0,0,0,-0.140602715220005,0,0,-0.0751695585027272,0,0,-3.46944695195361e-18,0,-0.102413433043071,0,0,0,0,0,0.0222045131484499,0.29012486551954,0,0.0192676483967448,0.0786282228074165,0,0,0,0.0923268919243871,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.0184486013897496,0,0.169425403030471,0,0,0,0.0160032269508761,0,0.264572538734384,0,0,0,0.00788006762531126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521709029400516,0,-0.0227575103506989,0,0,0,0,0,0,-0.127027604677944,0,-0.0455488982174755,0,0,0,0,-0.0416208219964501,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767208858425445,0,0.0393632772661083,0.0473425757438819,0,0,0.467184613620661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339368959829675,0,0,0,0,0,0,0,0,0,0,0.0800259889446198,0,0,-0.0546901935356775,0,0,0,0,-0.0295207604628716,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.104026753213097,0,0,0,0,0,0,0.00844270655483852,0.0395598837164592,0.273333111089028,0,0,0.00658246876966653,0,0,0,0,0,0,0,0,0.160645513920108,0,0,0,0,0,0,0.0235739264065555,0,0,0.0121850093838622,0,0,0,0,0,0,0,-0.0410002256303805,0,0,0,0,0.0108372564870668,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0566598522220265,0,0.145816900861597,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0793837815879974,0,0,0,0,0,0,0.236250188971873,0.225851537731393,0,0,0.102396238014514,0,0,-0.0269582462940553,0,0,0,0,0,0,0,0,0,0,-0.0134683900705894,0,0,0,0,0.0144080076785264,0,0
X600031.SH,0,0,0,0,0,0,0.00181555030132968,0,0,0.210689397820471,0,0,0.00166561288158054,0,0,0,0,0.0166536920772365,0,0,0.164478843537083,0,0.0193697823404431,0,0,0,0,0,0,0,0.0723940606839082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263931986105524,0,0,0,0,-0.0132770831511796,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0100737890089368,0,0.122504578691345,0,0,0,0,0,0.0340371212791847,0,0.0354273214238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539103672732394,0,0,0,0.0229376890856891,0.0690858519918636,0,0,-0.106118701536071,0,0,0,0,0.0218546422019736,0,0
X002304.SZ,0,0.476051671847774,0,0,0,0,0,0,0,0.0114445946673302,0,0,0,0,0,0,0,0,0.0945065179797186,0,4.33680868994202e-19,0,0,0,-0.0266531171564871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.000153867261841035,0,0,0,0,0,0,0,0,0,0,-0.0639111373840725,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0.217494648310461,0.0181189160721516,0,0,0,0,0,0.246611147485865,0,0,0,0.00736464849937055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229967400069877,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0345846048895666,0,0,0,0,-0.000327112496042163,0,0
X000596.SZ,0,0,0,0,0,0,0.488064839314932,0,0,0.224784462635239,0,0,0.102107477748573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00377022853369597,0,0
