,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X600276.SH,X000625.SZ,X600690.SH,X600703.SH,X600118.SH,X000100.SZ,X600271.SH,X600031.SH,X600372.SH,X000157.SZ,X000338.SZ,X002241.SZ,X600089.SH,X600741.SH,X002292.SZ,X002475.SZ,X002236.SZ,X000559.SZ,X002129.SZ,X600839.SH,X600066.SH,X000547.SZ,X300124.SZ,X600177.SH,X601877.SH,X600582.SH,X002465.SZ,X600435.SH,X300003.SZ,X000016.SZ,X002456.SZ,X000568.SZ,X002294.SZ,X002498.SZ,X002179.SZ,X002049.SZ,X600198.SH,X002008.SZ,X000977.SZ,X000800.SZ,X600060.SH,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0,0,0,0.0690108794869589,0.0876242487460053,0,0,0.151139397498902,0,0,0,0,0,0,0,0.0380843407571442,0.227253922435174,0,0,0.0123065753246669,0,0,-0.0700711936527351,0,0,0,0,0,0.056697657582883,0,0,0,0,0,0,0,0,0,0,0,0.0471565387922315,0,0,0,0,0.0128624972142106,0,0,0,0,0.0189354720155627,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0618164843135301,0,0,0,0,0,0,0,0,0,0,0,0.0168363813651258,0,0,0.149781946224323,0,0,0.231737269358171,0,0,0,0.139940783289344,0,0,0,0.142373646088836,0,0,0,0,0,0,0,0,0,0,0,0,-0.00181003903050294,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00971869285769885,0,0.0606220532381321,0.353029887720165,0,0,0,0,0,0,0,0,0,0,0.0290676312682876,0,0,0,0,0,0,0,0.288065180058082,0,0,0,0,0,0,0,0.0938117679253003,0.0433582680626911,0,0,0,0,0,0,0.00924417716511302,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215532139234954,0,0.0363555299811671,0,0,0,0.117194893387078,0,0,0,0,0,0.243851593247354,0,0,0,0.0353462653997211,0,0,0.0356222809323043,0,0,0,0,0,0.0134539998543193,0,0,0,0,0.0482594128983961,0,0.0844498799480239,0,0,0,0,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0.155118512604934,0,0,0,0,0,0,0,0,0.0824215361509786,0,0,0,0,0,0,0,0,0.238354740182858,0,0.00961203126442308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300160975968942,-0.0274126877488285,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0602744056462561,0,0,0,0.126604727636957,0.0882477779684115,0,0,0,0,0,0,0,0.234015922389133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,-0.0160895695370968,-0.00239271318866774,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.300937788288847,0,0,0,0,0,0,0,0,0,0,0,0,0.183147816081671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101740730585964,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0407441094683345,0,0,0,0,0,0
X000157.SZ,0,0,0,0.167226890009565,0,0.183591520291376,0,0,0,0,0,0,0,0.0484432491076317,0,0.423594029134756,0,0,0.00361693679841017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746543065806759,0,0,0,0,0.019324406590421,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0.198226589264164,0,0,0,0,0,0,0.030010363054195,0,0,0,0.0950162118208353,0.22553446450241,0,0,0,0,0,0,0,0.049364411623343,0,0.0577495196376895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0.126438777495984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010457403444962,0,0,0,0,0,0,0,0,0,0,0.128714800156739,0.103539966093109,0,0,0,0,0.0721908414841374,0,0,0,0,0,0,0.0189180002221083,0.0670689147291773,0.0920805370265038,0,-0.00875641368777301,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0.338771158122052,0,0,0,0,0,0.0635250277227557,0.00583303424438231,0,0.105797982107045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777553785702867,0,0,0,0,0,0,0,0,0,0.0698734526010032,0,0,0,0,0,-0.0063008541165896,-0.00443338097477398,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0,0.139327262913959,0,0,0,0,0.113218608102428,0,0,0,0.128501094534171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321182928009852,0,0,0,0.00781637287121702,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208256418458766,-0.0192181018979192,0,0,0,0,0,0
X002475.SZ,0,0,0,0.13027879805647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220513158093604,0,0,0,0,0,0,0,0,0,0.161103531324002,0,0,0.148702192265106,0,0,0,0,0,0,0,0,0,0.117164388618157,0,0,0,0,0,0,0,0,0,0,-0.0146283102367691,0.00544327660773474,-0.0452598818596215,0,0,-0.0657847044473642,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0252949438274648,0,0,0.202611018850641,0,0,0,0,0,0,0,0,0,0,0.0195242206152369,0,0.00061295885279258,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.176675582510301,0,0,0,0,0,0,0,0.154401985114416,0.149174534362991,0,-0.000213499872971123,0.0133524328079686,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0647965883180126,0,0,0,0.119116495427509,0,0,0,0,0,0,0,0,0,0,0.312652846453742,0,0.0275621401763899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221772385320312,0,0,0,0,0,0,-0.0106330342082881,0,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0.119567333489255,0,0,0,0,0,0,0,0,0,0,0,0,0.0383039550290967,0,0,0,0,0,0,0,0.2726667701187,0,0.0704019378997785,0.0670635653597359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419046188795681,0,-0.0287864379230987,-2.71050543121376e-20,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0919828749015435,0,0,0,0,0,0,0,0,0.0485208938446841,0,0,0,0.196786229644647,0,0,0,0.079627471819439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.260372181079873,0,0,-0.023612837401468,-0.0206675806369465,0,0,0,0,0,0
