,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X002304.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000725.SZ,X000596.SZ,X600031.SH,X000625.SZ,X002371.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X600703.SH,X000100.SZ,X600089.SH,X002049.SZ,X002236.SZ,X600372.SH,X000157.SZ,X600741.SH,X000661.SZ,X000977.SZ,X600584.SH,X002241.SZ,X600522.SH,X601877.SH,X601799.SH,X002463.SZ,X000733.SZ,X600702.SH,X002074.SZ,X002007.SZ,X000800.SZ,X002028.SZ,X300142.SZ,X002180.SZ,X600183.SH,X600487.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0.0280655712653435,0,0,0,0,0,0,0.139886648372407,0,0.0382741852990527,0,0,0,0,0,0,0,0,0,0.139289246650956,0,0,0.0290265014491263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522535364892018,0.00330555403893713,0,0,0,0,0,0
X002028.SZ,0,0,0,0,0,-0.066396337670015,0,0.17169696317499,-0.127044516194945,0,0,0,0,0,0,0,-0.104222845628745,-0.0193912719843362,0,0,0.209406485700899,0,0,-0.0616412958681031,0,0,0,0,0,0,0,0,0.0845891277226518,0,0,0,0,-0.0183339937537264,-0.0381930494068201,0,-0.0407461151207307,0,0,0,0,0,0,0,-0.0507084826496673,0,0,0,0,0,0,0,0,0,0
X300142.SZ,0,0.213812205134142,0.190708966749325,0,0,0,0,0,0,0,0,0,0,0,-0.00860787931408361,0,0,0,0,0,0,0,-0.177603862940846,0,-0.0301857171745781,0,-0.00232949502990393,0,0,0,0,0.181188073961825,0,0,0,0,0,-0.0375313444194764,0,0,0,0,0.018845219549141,0,0,0,0,0,0,0,0,-0.00787807367095901,0,0,0,0,0,0,0
X002180.SZ,0,0,0,0,-0.149242727651915,0,0,0,0,0,0,0,0,0,0,-0.0252422724413329,0,0,0.0024027484449618,0,0,0.32767140357683,0,0,0,0,0,0.071935140874493,0,0,-0.169951780800757,0,0.0847867832026496,0,0,0,0,0.0303405680932996,0,0,-0.0413028533919625,0,0,0,-0.0202258639751514,0.258484631518344,0,0,0,0,0,-0.051234322542992,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0,0.113595059397376,0,0,0,0,0,0,0.0589936389942168,0,0,0,0,0,0,0.0690932056251729,0,0,0,0,0,0,-0.113565685783886,0.175382352711671,0.210412429393943,0,0,0,0,0,0,0,0.0287567473910533,0,0.147729938643601,0,0,0,0,0,0,-0.284292256879889,0,-0.0270866488900559,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399424297078778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1140451352755,0,0,0,0,0.0739067209313314,0,0.0854832773985888,0.158442657310845,0,0,0.00390294198618635,0,0.0241544022732081,0,0,0,0,0,0,0,0,0,0,0.00308044599777331,0,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448784051657502,0.159047713950636,0,0,0,0,0,0.0283606393001134,0.0279256616532323,0,0.00718538376701227,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0.0377005765896561,0,0,0,0,-0.0405706562609882,0,0,0,0,0.0128474583221712,0,0,0,0,0,-0.00846307747812666,-0.0184207320273317,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115987331223444,-0.100349607907066,0,-0.0211150586582736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957681207550198,-0.0808633855872434,0,0,0,0.0967742151320582,0,0,0,0,0,0,-0.0493749687153338,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219590844380843,0,0,0,-0.120975762011593,0,0,0,0,0,0,0,0,0,0,-0.540232424144944,0.209189037084505,0.136532820478877,0,0,0,0,0,0,0,0,0,-0.0314058074746522,0,1.36298362576412,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0.287538631662985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000942946412292354,0,-0.294000587672108,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.186026166679163,0.752237180401448,0,-0.146662656162888,0,0,0,0,0
RealEstate_excess,0,0,-4.33680868994202e-19,0,0,-0.0136830536103788,0,0,0,0,0.103601649798927,0,0,0.041289075682577,0,0,0,0,0,0,0,0.151583799469922,0,0,0,0,0,-0.121984021324827,0,0,0,0,0.094677163505384,0,0,0,0.172704941725922,0,0,0.191890150850358,-0.123560088076243,0,0,0,0,0,0,0,0,0,0.0546851962256119,-0.0102092294136936,0.0366598474303961,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101637223578452,0,-0.0642807063260812,0,0,0,-0.0549838091465934,-0.0200552468139482,0,0,0,0,-0.000986458916928261,-0.0355258550481735,0,0.0127648192213287,0,0,0,0,0.0299317287610891,0,0,-0.234041459821647,0,-0.0147193802942371,0,0.0483293508873139,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0.000280304679840988,0,0,0,0,0.000748210167125123,0,0,0,0,0,0,-0.00061490324935057,0.000862349293748667,0,0,0.000633775560268108,0,0.000575448564062904,0,0,0,0,0,0,0,0,0,-0.00122967157141034,0.000268617237256141,0,4.32930140161119e-05,0,0,0,0,0,0,0,0,0,-0.00105164204635463,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0.00771923550636451,-0.00991564983352965,-0.0046948443299471,0,0,0,0,0,0,0,0,0,-0.00454677207133727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441096802238043,0,0,0,0,0,0,0,0,0,0,0,0,-0.0062450876631038,0.00367534557172568,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0.000923685903263184,0,0,0,0,0,0,0.0215484850997344,0,0,0,0,0,0,-0.0124243186987831,0,0,0,0,0,0,0,0,-0.0131823681038996,0,0,0,0.00394625230374529,0,0,-0.0112198998301362,0,0,0,-0.0334579504433585,0,0,0,-0.00967744374317455,-0.0244666481918009,0,0.0141226918564822,-0.0316383850567903,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00563667483788196,0,0,0.00405383121079262,0,0,0,-0.0129777510296834,0,0.000893559209687944,0,0,-0.000957916821879705,0,0,0.00359184224722039,-0.0148278796258478,0,0,0,0.00839623334376823,0.00412115549054291,0,-0.00420383653902171,0,0,0,-0.00754217053497058,0,0,0,-0.00219848532368831,-0.00456564477346944,0,0,-0.0143578409835181,0,0,0,0,0,0
