,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X600031.SH,X002475.SZ,X000568.SZ,X000063.SZ,X600703.SH,X600741.SH,X000338.SZ,X300003.SZ,X600271.SH,X002008.SZ,X601877.SH,X300124.SZ,X600487.SH,X002456.SZ,X002236.SZ,X600809.SH,X600867.SH,X000596.SZ,X000100.SZ,X000661.SZ,X600498.SH,X300136.SZ,X000977.SZ,X000625.SZ,X600066.SH,X600566.SH,X000157.SZ,X300142.SZ,X002179.SZ,X002294.SZ,X002180.SZ,X002007.SZ,X600522.SH,X300146.SZ,X002049.SZ,X002241.SZ,X000869.SZ,X000981.SZ,X600177.SH,X002371.SZ,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.133197026921553,0,0,0,0,0,0,0,0,0.0154442597450402,0.0589780148624137,0,0,0,0,0,0,0,0,0,0,0,0,0.293907834668643,0,0,0,0,0,0,0.00584085625248909,0,0,0,0,0,0,0
X300146.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142320015487795,0.0164707298101463,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0.0439603431853986,0,6.14182964387237e-05,0,0,0,0,0,0,0.0104384869257585,0,0,0.332754989198684,0,0,0,0,0,0,0,0,0.389240015453422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503862638920141,0,0,0,-0.0155224188027935,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162374795107522,0,0,0,0.0377175011874345,0,0,0.044487034214269,0,0,0,0,0,0.302859429522717,0.0206770319052474,0,0,0,0,0.0268872400378643,0,0,0,0,0.349306844140948,0,0,0,0,0,0,0,0,0,0,-0.000836183811119859,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0,0,0.0176410832076023,0,0.0645271343124206,0,-3.46944695195361e-18,0,0,0,0.107490582275363,0,0.10616254135451,0,0,0,0,0,0.257816142818133,0,0.0600304478774077,0,0,0.0553101181485212,0,0,0,0,0,0,0.108053101560662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110312294954986,0,0,0,0,0,0
X000981.SZ,0,0,-0.39026567631669,0,0,0,0,0,0,0,0,0,0,0,0,0.101291350077707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479178042938823,0.218161259817063,0.261451544093476,0,0,0,0,0.156319527821176,0,0,0,-0.193159639617737,0,0,0,0,0,0,0,0,0,0,0.0354663533260722,0.051277603569705,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041368307024762,0,0,0,0.113806803842653,0.0661310423602388,0,0.00215159631071148,0.00367698591946298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159458838994875,0,0,0,0,0,0,0,0.0158203809684875,0.0320998976713837,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.100908014319499,0,0,0,0,-0.0576544298570244,0,0,0,0,0,0.101766113572058,0.129790670865803,0,0,0,0,0,-0.0476572202043479,0.306400343822053,0,0,0,0,0,0,0,0.192716774202842,0,-0.285127277341336,0,0.585249125936485,-0.0118829201756556,0,-0.139013883021546,0,0,0,0,0,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125447756891571,0,0.194941117151672,0,0,0,0,0,0,0,0,0,0,0,0.0151056721517149,0,0,0,0,-0.0138298032345886,0,0,0,0,0.179226782808494,0,0,0.0875255118003302,0,0.0905915345478581,0,0,0,0,-0.0141176000022667,-0.0305666775771471,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.446972208435057,0,0,0,0,0,0,0,-0.0426646221179942,0,0,0.0235433381383281,0,0,0,0,0.391318416371627,0,-0.331340588601286,0,0,0,-0.0964960829068647,0,-0.116559601657416,0,0,-0.00193547994677749,0,0,0,0,-0.100544149077892,0,0,-0.170434123288723,-0.042732168321636,0,0,0,0,0,0,0,0,0,0,-0.00718899695410075,0,0,0,0,0,0,0
Slope,0,0,0,1.66521099662864,0.73078324098487,0,0,0,0,0,0,0,1.08125722927427,0,0,0,0,-0.540580649506585,0,0,0,0,0,0,0,0,0,0,-2.31779517301974,0,0,-3.24847681780268,0,2.53254225176849,0,0,0,0,0,1.19415155307215,0,0,0,0,0,0,0,0,0,0,-0.775288841413438,0,-1.16423370558532,0,0,0,0,0,0
TED,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.0446983993265674,0,0.83583541522942,0,0,0,0,0,0,0,0,1.2320993959818,0,0,0,0,-0.384315336473506,0,-0.725189154445837,-0.286731729977692,0,0,0,0,0,0,0,0,0,0,0.187917546860571,0,0,0,0,0,-0.141999676501648,0,0,-0.297744120580388,0,0,0,0,-3.64232986845195,0,0
RealEstate_excess,-0.0296268305413107,0,0,0,0,0,-0.00532989581371735,0,0,0,0,0,0.130920694619502,0,0,0,0,-0.0969843182378301,0,0,-0.127684430279049,0,0,0.013735179532415,0,0,0,0,0,-0.0883756784452415,0,0,0,0,0.0529890030962777,0,0,0,0,0,0.0607684219999901,0,-0.033363493556904,0,0,-0.0826001437403491,0,0,0,0,0.0571745898151992,0.00236325369175095,0,0,0.233966797925052,0,0,0,0
MKreturn,0,0.130960396768812,0,0,0,0,0,-0.131405375956887,0,0,0,0,0,0,0,0,0,0,0,-0.0713797472199524,-0.0738131635690554,0,0,0,0,0,0.120022262685396,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.00450462000499736,0,0,0,0.0407451827793914,0,0,0,0,0.00161022934943118,-0.002717730801228,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000971231067105186,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0.00333765489446586,-6.99529863437416e-05,0,0,0,0,0,0,0,0,0.000917262787341784,-0.00298409450214806,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,-0.0212047152256567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021053293678891,-0.0383400842140966,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470034082058625,0,0,0,0,0,0,0.00834314813047814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00284473817388077,0,0,0,-0.00213167845613976,0,0,0,0,-0.00278947975075352,0.0057381456776184,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00989849116172819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059179046320006,0,0,0,0,0,0,0,0,0,0,0,-0.00697163753804316,0,0,0,0,0,0,0,0,0,0.0069347579730352,0.000541451167400754,0.00467557519141611,0,0,0,0,0,0
