,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X600118.SH,X000550.SZ,X601877.SH,X002236.SZ,X002475.SZ,X000581.SZ,X000800.SZ,X000623.SZ,X600582.SH,X000568.SZ,X600177.SH,X000559.SZ,X300124.SZ,X002129.SZ,X600060.SH,X000050.SZ,X002294.SZ,X000400.SZ,X300146.SZ,X000977.SZ,X000869.SZ,X600839.SH,X002456.SZ,X002292.SZ,X002465.SZ,X300003.SZ,X600312.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270560353172925,0,0.113757167756135,0,0,0,0,0,0,0.00944676890384722,0,0,0,0,0,1.73472347597681e-18,0.394493202900719,0,0,0,0,0.130024772967481,0,0,0,0,0,0.0336862015329929,0,0,0,0,-0.0681051815110637,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578804989193761,0.0156599322025449,0,0,0,0,0,-0.0658020936014376,0.0500781201406377,0,0,0,0.0714921277407063,0.0357521783824786,0,0.0265669922118026,0,0,0,0,-0.0172651940827388,0,0,0,0,0,0,-0.100886185656614,0,0,0,0,0,-0.00117661996178997,0,-0.076626712349656,0,0,0.00197127527286669,-0.0790159811281496,-0.0517078512379915,0,0,0,0
Slope,0,0,0,0.122531887076661,0,0,-0.834942110544291,0,0,0,0,0,0,0,0,-0.663868794302175,0.265175890845033,0,0,0.431239762102693,0,0,0,0,0,0,0,0,0,0,0,0,0.208384124490478,0,-0.347319956158935,0,0,0.495092921098269,0,0,0.487736862503253,0,0,0,0,0,0,0,0,0,0,0,-0.20304815628798,0,0,0,-0.0705020507081132,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26431674158636,0,0,0,0,0,0,0,0,-0.081553803973224,0,0.260143112154426,0,0,-0.255408444921723,0,0,0,0,-1.47332036903528,0,0,0,0,0,0,-4.46535680112142,2.77555756156289e-17,0,0,0,0,2.26097150668827,0,0,0,-2.14406274932724,0,0,-1.13687507409774,0,-3.40148316294594,0,0
RealEstate_excess,0,0,-0.458565094277859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286141004275465,0,0,0,0,0,0,0,0,0,0.119026709236251,0.257905903976369,0,0.00841082331935105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017999487258146,0,-0.217376012274227,0,0,0,0
MKreturn,0,0,-0.209459401195574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419659310954892,-0.0525568844744146,0,0,0,0,0,-0.122434501051968,-0.0468056634490565,0,0,0.0219853986158937,-0.126596010681852,0,0,0,0,0,0,0,0,0,0,-0.00122613546162569,0,-0.0303995674750763,0,0,0,0,0,0,0,0.027914239691043,-0.0212678666436803,-0.292409542570783,0,0,0,0,0
MKvol,0,0,0,0,0,0,-0.00136466532001485,0,0,0,0,0,0,0,0,0,0,0,0,-0.000328831636698358,0,-0.00214938991067694,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,-0.00480538794248426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854250231858477,0,0,0,-0.0412716185661751,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015360628325424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331928915905386,-0.0593691227902276,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000312336227080806,0,0,0,0,0,0,-0.000497848903981159,0,0,0,0,0,0,0,0,0,0,0,0.00156012764584053,0,0,0,0.0683548157409226,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00146122160745817,0.00191837757383444,0,0,0,0,0,0,0.000469512526207518,0,0,0,0.000953532323350979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185939373366233,0.00303686983581783,0,0,0,0,0,0
