,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000725.SZ,X000063.SZ,X600031.SH,X003816.SZ,X000596.SZ,X002371.SZ,X002129.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X002049.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002241.SZ,X002180.SZ,X300142.SZ,X600702.SH,X601877.SH,X000157.SZ,X600584.SH,X600741.SH,X002236.SZ,X600522.SH,X000733.SZ,X600460.SH,X002074.SZ,X000977.SZ,X000066.SZ,X000799.SZ,X300003.SZ,X002294.SZ,X600183.SH,X002007.SZ,X002414.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002007.SZ,0,0,0,0.149627041561269,0,0,0,0,0,0.184426074496712,0.116107892460786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0756931963963824,0.0272265808477729,0.305860689991753,0,-0.187534592491881,0,0,0,0,0,0,0,0,0,-0.0343812811883509,0,0.235344705585165,0,0,0,0,0,0.0247004309940926,-0.0076597585555114,0.0602729598492238,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761977650021217,0,0.0165289238878379,0,0.158968450925322,0.0246391898851989,0,0.0809728998360754,0,0,0.0139319629842417,0,0,0,0,0,0,0,0.0216512965573148,0.0304669889501853,0.170587138366336,0,0.141126275063828,0,0.0990996566262663,0,0,0,0,0,0,0,0,0.0119142915268234,0,0,0,0,0,0,0
X000800.SZ,0,0,0.117705589361557,0.0481947203972141,0,0,0,0,0,-0.116347720841902,0,0,0,0,0,0,0,0.0144465294230054,0,0,0.314182116911175,0,0,0,0.0415752931290691,0.269476185126336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321606897829273,0,0,0,0,0,0,0,0,0,0,0.0185505727969624,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0.376586529374704,0.0102704840330782,0,0,0,0,0,0,0,0,-0.429239316958423,0,0,0,-0.0961188787206266,0,0,-0.0939133434442819,0,-0.0931306093871277,0,0,-0.130900849251184,0,0,0,0,0,-0.0793880706266701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542756019423337,-0.084155795313407,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177326003170886,0,0.259594309313303,0,0,0,0,-0.167555893200221,0,0,0,0,0,0.0492644770449414,0,0,-0.369851501970784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753243234855625,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286398777438416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631636091117031,0,0,0,0,0,0,0,0.204141021270631,0,0,-0.52664304358013,0,0,0,0.969321143863069,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,-0.0691250063905803,0,-0.024351630340737,0,0,0,0,0,0,0,-0.0648316822518404,0,0.158262634080062,0,0,0,0,0,0,0,0.079740814006925,0,0,0,0,0.0640482689478183,-0.043428986028541,0,0,0,0,0,0,0,0,0,-0.0829012347697915,0.0253268030132815,0,0,-0.0541219087534479,0,0,-0.0723550686273153,0,0,0,0.0242497858124936,0.00625902430365028,0,0,0,0,0,0
MKreturn,0,0.0608395701277374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857700847475383,0.0437471688675158,0,0,0,0,0,-0.0013644425472008,0,0,0,0,0,0,0,0,0,0,-0.0189922471580078,0,0,0,0,-0.0453401128020017,0,0,0,0,0,0.014897404424213,0,0,0,0.0191070762158347,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106023097728962,0,0,0,0,0.0029807821138723,0,0,0,0.00226215013585774,0,0,0,0,0,0,0,0,0,0,0,0,-0.00139456229518213,0,0,0,0,0,0,0,0,0,0.00406944137468194,-0.0013488481296744,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130474689919401,0,0.00764478327432303,0,0,0,0,0,0,0,0,0,0,0.00769511366933188,0.00298479685075477,0,0,0,-0.00916516737398279,0,0,0,0,0.00983131199525882,0,0,0,0,0,-0.000392192266645725,0,0,0,0.044602551675725,-0.0354028850706418,0,0,0,0,0,0
