,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002085.SZ,X002456.SZ,X600271.SH,X600118.SH,X000157.SZ,X600089.SH,X300124.SZ,X600522.SH,X600177.SH,X002508.SZ,X002007.SZ,X600372.SH,X300136.SZ,X000066.SZ,X600699.SH,X000981.SZ,X300003.SZ,X600487.SH,X600867.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002008.SZ,X002180.SZ,X600566.SH,X002292.SZ,X000623.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000100.SZ,0,0,0,0.0390921024905625,0,0.0497449397061703,0,0.148171333810905,0,0,0,0,0.0353506227308709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279161172390722,0,0,0.0105467683769983,0,0,0,0,0.0485070782852115,0,0,0,0.0184750134540576,0.00171103975502809,0,0,0,0,0,0
X601877.SH,0,0,0,0.185893661966391,0,0,0,0.0679319993004144,0,0,0,0,0,0.065929821556259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578909877229032,0,0.012172372461992,0,0,0.0200546306307766,0.00454132421322429,0,0,0,0,0,0
X002085.SZ,0,0,-0.0959654150319793,0,0,0,0,-0.0341567085510461,0,-0.0760615249256199,0,0,0,0.00318484825357103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12279773821006,0,0,0,0,0,0,0,0,0.00517335217108798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124076779864944,0.00542943098047659,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0304254882055508,0,0,0,0.0988701551839479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273605630343014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17772584597259,0.039645816977143,0.00256226011009333,0,0,0,0,0,0
X600271.SH,0,0,0,0,-0.039050403724613,0,0,0,0,0,0,0.133324173717559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122987799328779,0,0.0260424056040699,0,0,0,0,0.107034421861554,0,0,0,0,0,0,0,0,0.0641221242516339,0,0.0509761907892464,0,0,0.0015817551779296,0,0,0,0.00562057551515116,-0.00186359491416084,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0.064789725648354,0,0.0790615685554468,0.0305180102719674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378756794393991,0,0.0339040359323664,0,0,0,0,0,0,0,0,0,0,0.00330801449726116,0,0,0,0,0,0.000320402346383086,0,0,0,0,0,0
X000157.SZ,0,0,0,0.0541657537112873,0,0,0,0.0472576987160908,0,0,0,0,0.0293226329736801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677208884654221,0,0,0,0.109040822219714,0.012675305556166,0,0,0,0,-0.00202571188436077,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0.00722298022324073,0,0,0,0,0,0,0.185873655818627,0.0324911398598048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212351925416017,0.0378391005033441,0,0,0,0.0300062450314854,-0.012654884461631,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.183033948613653,0,-0.0388542266037019,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0124387567289599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599519192857515,0.0147712567385437,0,0,0,0,0.056857000052196,0,0,0.0387540901850057,0,0.0717830554498107,0,0,0,0,0,0,-0.00210176523521094,-0.00919281939827575,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088472173861484,0,0.126795901903387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073689287819175,0,0.0278431109641218,0,0,0,0.143833192127875,0,0,0,0,0,0,0.0865246507141083,0,0,0,0,0,0.000510384382571506,0,0,0,0,0,0
