,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X600276.SH,X000651.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X002236.SZ,X300003.SZ,X000338.SZ,X600031.SH,X601877.SH,X002008.SZ,X300124.SZ,X600809.SH,X600867.SH,X002456.SZ,X000625.SZ,X600271.SH,X600066.SH,X000596.SZ,X600487.SH,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X300142.SZ,X002180.SZ,X002241.SZ,X000661.SZ,X300136.SZ,X002007.SZ,X000050.SZ,X002508.SZ,X000157.SZ,X002038.SZ,X002179.SZ,X000869.SZ,X600522.SH,X002049.SZ,X600177.SH,X600498.SH,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002508.SZ,0,0,0,0,0,0.00918930171413084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103005583083997,0,-0.0235197129537617,0,0,0,0,0.370537694517127,0,0,0,0,0,0,0,0,0,0.0578222660514766,0,0,0,0,0,0,0,0,0,0,0.26079695449903,0,0,0.0600509007524231,0.0247755435580827,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0584337907358275,0,-0.0957628723769792,0,0.0517882669613478,0.0279667437754896,0,-0.0224835506581157,0,0,0.024945875850343,0,0,0.00456101828914776,0,0,0.158809369097271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0241144193670764,0,0.00856868266034644,0,0,0,0,0.0207339905848827,0.0101241254945866,0,0,0,0,0,0
X002038.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195024033287877,0,0,0,0,0,0,0,0,0.0949927547471525,0,0,0,0,0.222822086445727,0.0375870025447718,0,0,0,0,0,0,0,0,0,0,0.0560885677241155,0,0,-0.00309113278975192,0,0,0,0,0,0,0
X002179.SZ,0,0,0,-0.00825574994133423,0.232019883619686,-0.279360699962333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725069763464127,0.0492441212896339,0,0,0,0,0.184426228122,0,0,0,0,0,0,0,0,0.0467653234460619,0,0,0,0.0286514511284308,0,0,0,0,0,0.106532943972894,0,0,0,0,0,0,-0.00198378819613618,0.0336765532914687,0,0,0,0,0,0
X000869.SZ,0.148399989143641,0,0,0,0,0,0,0,0,0,0.0113184594166751,0,0,0,0,0,0,0,0,0,0.0812294480157535,0.0803438199407089,0,0,0,0,0,0,0,0,0,0.0508081330146344,0,0,0.168117105403833,0,0,0.0696203670015394,0,0,0,0,0,0.0100442095714063,0,0,0,0,0,0,0,0,0.0518139690648093,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0.254030044780467,0,0,0,0,-0.160875393849604,0,0,0,0,0,0,0,0,0,0,0,0.0162313766735409,0,0,0,0.530705269787662,0,0,0,0,0,0,0.0071281329474286,0,0.0702231453531246,0,0,0,0,0,0,0,0,0,0,0.14599662992927,0,0,0.0147653084582502,0.0337475047932629,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0322178483883049,0,0,0,0,0.115476317274981,0,0.189359227364546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357030438407245,0.00119815957210883,-0.0390937293041665,0,0,0,0,0,-0.097025881438708,0.103375719984736,-8.67361737988404e-19,0,0,0,0.385708119360032,0,0,-0.0114246536970305,0.0523052726102053,0,0,0,0,0,0
X600177.SH,0,0,0,0.00470988952394374,0,0.0701185359048135,0,0,0,0,0,0.00573014987732576,0,0,0.0638366658626907,-0.0760012122621528,0.126815792120302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331757999378921,0,0.128832852217593,0.0243756152981814,0,0,0,0,0.0671453259496556,0,0,0,0,0,-0.0134328886300854,5.42101086242752e-20,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597068370540789,0,0,0.221145844485701,0,0,0,0,0,0,0,0.545815677257018,0.0487070843799219,0,0,0,0,-0.0408227307123486,0,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335354774799801,0.0389197295946912,0,0,0,0.143604082390259,0.0029765456104955,0,0,0,0,0,0.0725267730810933,0,0.0573700305113247,0,0.0250916622376485,0.00206562285699407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,-0.0385841710807536,0,-4.33680868994202e-19,0,0,0,0,-0.165695182016356,-0.168806425850546,0.0736386108757426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480907996171535,0,0,0,0,0,-0.0338816180823112,0,-0.0698880416396175,0,0,-0.025182019620255,0,0,0,0,0,0,0,0,0.0667633155921344,0,0,0,0,0,-0.0735777593586047,-0.100931853461352,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,-0.0986523520502834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133474829456261,0,0,0,-1.81769002410588,0,0,0,0,0,0.121526527078763,0.22562636425344,0,0.0684227121668208,0,0,0,0.514061420252069,0,0.633310743253811,0,0,0.0265128123180351,0,0,0,0,-0.969757440263707,0,-0.842089275729478,0,0,0,0,0,0
TED,0,0,0,0,0.783122677300093,0.516440951907769,0,0,0,0,0,0.378971988047179,0,0,0,0,0,0,0.467045078039252,0.227860900081706,0,0,-0.146855040310887,0,0,0,0,-1.15442838651888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0.362035103578375,0,0,0,0,-0.466780511454183,0,0,0,0,-0.64741648552369,0,0
RealEstate_excess,0,0,0,0,-0.00361898259307193,0,0,0,0,0,0,-0.126185111009011,0,0,0,0,0,0,0,0,0,0,-0.0300486122629272,0,0,0.0606112659013816,0,0,0,0,0,0,0,-0.0529298370891903,-0.00766017861379837,0.00799592227747447,-0.01975498418718,0,0,0,0,0,0,0,0,0.0212888930063593,0,0,0,0,0,0.0174358979989947,-0.00245693334297104,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0.132581856566504,0.00713328767334617,0,0,0,0,0,0.0513522741834837,0,0,-0.0259912109889691,0,0,0,0,0,0,0,0,0,0,-0.0133287765189169,-0.00348122193612733,0,0,0,0,0,-0.0177814602960756,0,-0.0129752436705732,0,0,0,0,0,0,0,0,-0.000826239668077912,-0.0277067332191187,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000442993157745776,0.000217997883300756,0,0,0,0,0,0,0,0,0,0,0,0,0.00315041755206974,-0.000545365347511024,0,0,0,-0.0208801581241147,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,-0.00920572115828499,0.0220846667796543,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225045268681409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489475964940464,0,0,0,0,-0.0110628231605343,-0.0560751133528159,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0.010956551232388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452644466538625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100375838243561,0,0,0,0,0,0.0167683245361197,0,0,-0.0114262839391617,0.00141523684887169,0,0,0,0,0.00599238737672016,0.00172292899036043,0,0,0,-0.0310612365822258,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877589692964859,0,0,0,0,0,0,0,-0.00311716958446206,0,0,0.00589657724746112,0.0119587519260664,0,0,0,0,0,0
