,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X600031.SH,X000725.SZ,X002371.SZ,X300014.SZ,X003816.SZ,X300124.SZ,X000063.SZ,X000338.SZ,X002241.SZ,X600703.SH,X002129.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X601877.SH,X000661.SZ,X300142.SZ,X002179.SZ,X000100.SZ,X600089.SH,X000799.SZ,X600460.SH,X600741.SH,X000157.SZ,X002236.SZ,X600702.SH,X600779.SH,X002074.SZ,X600584.SH,X600884.SH,X002414.SZ,X601799.SH,X002007.SZ,X000733.SZ,X000800.SZ,X600183.SH,X300003.SZ,X300146.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300146.SZ,0,0.0660295983159975,0,0,0,0,0.0271974580149455,0,0,0,0,0.0624152850824415,0,0,0,0,0,0,0,0,0.00761171545612798,0,0,0,0,0,0.168286718305629,-0.0268540771254994,0,0,0,0,0.0348488385855963,0,0,0,-1.73472347597681e-18,0,0,-0.177888411950106,0,0,0,0.103912678965217,0,0,0.313658646287888,0,0,0,0,-0.0468157946050449,0.0406311410952042,0,0,0,0.0235036323185848,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256901981459118,0,0,0,0.0866070580603734,0,0,0.102870576432951,0,0,0,0,0,0,0.13614483012099,0,0.0748513313873587,0,0.0665628637978849,0,0,0,0,0,0,0.0102132266163935,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.184618453479847,0,0,-0.000582449197560592,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0.120390074790852,0,0,-0.0224663044144643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842024000829989,0,-0.010987727998453,0,0,0,0,0,0,0,0,-0.0450049073832945,0,0,0,-0.0174357833414077,0,0,0,0.0414690256726752,0,-0.00337292775376175,0,0,0,0,0,-0.0221982198075114,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.271432264790119,0,0,0,0,-0.147420101320127,0,0.176157867471242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555798944243155,0,0,0,0,0,0,0,0,0,0,-0.038207502143635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.895639148707292,0,0,0,-0.033125488904122,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749244010234938,0,0,0,0,0,0,0
RealEstate_excess,0,0.0190097974043769,-0.0288640394711817,0,0,0,0,0,0,0,0,0,0,0,0,-0.159093672797765,0,0.148061442390531,0,0,0,0,0,0,0,0.0418518408374237,0,-0.0688439611813324,0,0,0,0,0,0,0.0347961308832744,0,0.000914595272466509,0,0,0,0,0,0,0,-0.0622225330387005,0,0,0,0,0,0,0,-0.0163086188002663,0,0,0,-0.0198533965318588,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0614652872277399,0,0,0,0,0,-0.0138990172528466,0,0,0,0.0756611911965025,-0.0959305054071949,0,0,0,0,0.00228730570143687,0,-0.0506656757229833,0,0,0,0,0,0,0,0,0,0.162797270864528,0,0,0,0,-0.060394863832783,0.0666743264756121,0,0,0,0,0,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00053222493839253,0,0.000803819519026885,0,0,0,0.00170766004695313,9.93850961658184e-06,0,0,0,0,0,0,0,0,1.35525271560688e-20,0,-7.09534770603807e-05,0,0.000719132244909601,0,0,0,0,-0.00172075617227615,0,0,0,0,0,-0.00448154704853661,-0.00102158405090304,0,0,0,0.000278601099048741,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0781616661391591,0,0,0.0429392752238843,0,-0.0394394726075699,0,0,0.0713392190676725,0,0,0,0,-0.119381832568102,0,0,0,0,0,0.0545318466840414,0,0,0,0,0,-0.0370622020435023,0,0,0,0,0,0,0,0,-0.176447645626164,0.122589690487429,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000146251869209945,0,0,0.00625916866604173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318394266940977,0,0,0,0,0,0,0,0,0,-0.0082063570253335,-0.00963584503587893,0,0,0,0,0.00883926961548058,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131802542055807,0,0,0,0,0,0,0,0,0,0,0,0,0.00788989611713459,0,0,0,0,0,0,0,0,-0.00578911816661046,0,0,0,0.000675358145882831,0,0,-0.000864376764628932,-0.00391649850572048,0,0,0,0,0,0,0.0122576784792757,0,0,0,0,-0.0170950970973801,0,0
