,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X002241.SZ,X600809.SH,X300014.SZ,X002371.SZ,X000596.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X000977.SZ,X002007.SZ,X000625.SZ,X300124.SZ,X002129.SZ,X000157.SZ,X002456.SZ,X002180.SZ,X600584.SH,X300136.SZ,X600118.SH,X000066.SZ,X300142.SZ,X002008.SZ,X600271.SH,X002463.SZ,X002179.SZ,X002414.SZ,X002049.SZ,X002185.SZ,X000050.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000625.SZ,0,0,0,0,0,0,0,0.12719214454149,0,0,0,0.20064351032761,0,0,0,0,0,0,0,0,0,0.138585836709073,-0.0630536268009582,0,0,0,0,0,0,0,0,0.136912501767643,0,0,0,0,0,0,0,0,0,0,0,0.0870295338891612,0,0,0,0,0.204349296696141,-0.0308197414455147,0,0,0.00808964493628475,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0.039753582865466,0,0,0.0767138249857703,0,0,0,0,0,0,0,0,0,0,0.149734936910189,0,0.000339228197808242,0,0.134300041794751,0,0.101553829239898,0,0,0.114218739134934,0,0,0,0,0,0,0,0.0147254829173772,0,0.0329256657262038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622574447582043,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133147469979976,0,0,0.264160655992518,0,0,0,0,0,0,0.0704517751918244,0,0,4.33680868994202e-19,0,0.0520211343491679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581388000743117,0.00411850470258953,0,0.0309461296260124,0,0,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0.0266431404436863,0.28848393127332,0,0.0872507316165568,0.205911871236712,0,0,0,0.0435749269449565,0,0,0.00813480060617587,0.00164480762191745,0,0,0.0431990718400584,0,0,0,0,0.122247586369894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193782353313404,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216983216208838,0,0,0,0,0,0.131990120687905,0,0,0.228378317685033,0,0,0,0,0.110303508524647,0,0,0,0,0,0,0.0552088304507755,0,0,0.0253128833069158,0,0.0474615332282246,0,0,0,0,0,0,0.0659442896450365,0,0,0,-0.019724715566612,0,0,0,-8.67361737988404e-19,0,0
X002180.SZ,0,0,0,0,0,0,0.0486949707427536,0,0,0,0,0,0,0,0.0211252065086704,0,0,0,0,0,0,0.114023971947273,0.120868694608556,0,0.0737967780348859,4.33680868994202e-19,0,0,0,0,0,0,0.0287153954317432,0,0,0,0.0120277054583243,0.103084206690879,0,0,0.0374041286363307,0,0,0.153321350157205,0,0,0,0.00080018451396228,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,-0.00222446368220361,0,-0.0549293330040746,0,0,0.145120835341738,0,0,0,0,0,0,0,0,0.127514394495707,0,0,0,0.0477843149951749,0,0,0,0,0,0.135574346475819,0.165739157649299,0,0,0,0,0,0,0,0,0,0,0,0.00594428097235835,0,0.232815009367047,0,0,0,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0.185326898505295,0.253755371553619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337007107948395,0,0.101850277299998,0,0,0,0.0190096783233408,0,0.0111782871914859,0,0,0,0.118822005921559,0,0,0,0,0,0,0.0168299959438515,0,0,0,0,0,0.087056514580894,0,0,0,0.000835732643703256,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0.151901900357885,0,0,0,0,0,0,0,0,0,0.086278560175124,0,0,0,0,0,0,0,0,0,0,0,0,0.102452389670485,0.0947050677390854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0622106740025725,0,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105833130399638,0,0,0,0,0,0,0,0,0,0,0,0,0.000933552190658263,0,0,0,0,0,0,0,0.12722501193034,0,0,0.0755417236315288,0,0,0,0,0,0.115604628134866,0,0,0.0979971226471383,0,0.189172450078024,0,0,0.0124674821778405,0.0436994635118337,0,0.146730404821463,0,0.0992769363831372,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123913369995972,0,0,0.276236206094409,0,0,0,0,0.0186024063308155,0,0,0,0,0.121312870876151,0,0,0,0,0,0,0,0,0.0307482953534305,0,0,0,0.132341959955661,0,0,0,0,0,0,0,0,0,0,0,0,-0.032314635734575,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350642399785763,0,0.082667417567574,0.0971709722494219,0,0,0,0,0,0,0,0.136255203870101,0,0,0,0.0402046438686844,0,0,0.0807827589597006,0.025625323331046,0,0,0,0,0,0,0.0399022363372717,0,0,0,0,0,0,-0.0221260091444133,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0.0948362328786403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573563249898587,0.107359869739115,0,0,0.0245160200517198,0,0,-4.33680868994202e-19,0,0.0094678074977074,0,0.0158979516377207,0,0.0220593687493974,0,0,0.0116393829030936,0,0,0,0,0,0,0,0,0,0,0.115614911250977,0,0,0,0,0,0,0,0.0100359786449331,0,0
