,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X600031.SH,X000725.SZ,X002304.SZ,X000568.SZ,X000661.SZ,X000338.SZ,X600690.SH,X600703.SH,X600809.SH,X300003.SZ,X600741.SH,X002007.SZ,X600183.SH,X000100.SZ,X002371.SZ,X000977.SZ,X000596.SZ,X002241.SZ,X300014.SZ,X601877.SH,X000625.SZ,X002236.SZ,X300142.SZ,X000157.SZ,X002463.SZ,X300124.SZ,X600498.SH,X002129.SZ,X002456.SZ,X600271.SH,X000066.SZ,X002223.SZ,X002179.SZ,X300136.SZ,X600487.SH,X600584.SH,X600118.SH,X600522.SH,X002414.SZ,X600177.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601877.SH,0,0,0,0,0,0,0.0650484790876151,0,0,0,0,0,0,0.182033886427426,0,0,0,0.045866123590483,0,0,0,0,0.11524533259805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551301342862967,-6.93889390390723e-18,0,0,-0.116592130516568,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.010387951869706,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.189971753283032,0,0.158038710048067,0,0,0,0,0,0.0192782773018936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341525904804836,0,0,0,0,0,0,0,0,0.0671967608656254,0.231011927792203,0,0,0,0,0,0,0.0552639577591389,0,0,0,0,0,0,0,0.00405480383037407,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0,0.100335707096407,0,0,0.0173491056627816,0.104100898100081,0,0,0,0,0,0,0,0,0.00747246927311152,0,0,0,0.0283002652370056,0,0,0,0,0,0,0,0,0.0830816059227682,0,0,0.0741471163867866,0,0,0.0380125008548219,0.0889271886254421,0,0,0.0387207201919906,0,0,0.213227516224619,0,0,0,0,0,0,0,0,0
X300142.SZ,0.11413545391651,0.196123748893881,0,0,0,0,0,0,0,0,0,0,0.150845068598456,0,0,0,0,0,0.0147664317187537,0,0.000127092839705962,-0.0496867320406771,0,-0.000720412742074953,0,0,0,0.0293766738451919,0,-0.0540845831197885,0,0,0,0,0,0.0893743452140501,0,0,0,0.133064673607102,0,0,0,0,0,0.0817147468530266,0,0,0,0,0,0,-0.0768473682580844,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0.369123758705185,0,0,0.063255478731442,0,0,0,0,0.0878935620238576,0,0,0,0,0,0.0167065167612892,0,0,0,0.0170081071601292,0,0,0,0,0,0,0,0,0,0,0.216807790893304,1.38777878078145e-17,-0.0141476762031524,0,0,0.010940616137279,0,0,0,0,0,0,0,0.00946686770973939,0,0,0,0,0,0,0
X002463.SZ,0,0,0,0,0,0,0,0.024434293930759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374151559651605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692493963209529,0,0.216045231015581,0,0.0707987749067234,0,0,0,0,0.131662706098167,0,0,0,0,0,0.114707340751777,0.0164303387907054,0.00704164325629533,0,0.00801259415914455,0,0,0,0
X300124.SZ,0,0.0555459902886237,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131007496744436,0.190359857876365,0,0,0,0,0,0,0,0.127233696284087,0,0,0,0.0864030946596367,0,0,0,0,0,0.0231652440679994,0,0,0,0,0,0.00338050518145643,0.00220785436881266,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0.133593446983592,0,0,0.0130624040616773,0,0.102071870630666,0,0,0,0,0,0,0,0,0.0834611334566279,0,0,0,0,0,0,0,0,0,0,0,0.11407153367439,0,0,0,0,0,0,0,0,0,0,0,0,0.326592668641717,0,0,0,0.213760394918962,0,0.06297113164826,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321413639054394,0,0,0,-0.021218138866469,0,0.134509844583203,0.152769007616007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242161091710913,0,-0.0613147511990163,0.00872397905834714,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0.102965630514774,0,0,0,0,0,0.0133477446538629,0,0,0,0.188724460104326,0,0,0.00543918818832997,0,0,0,0.0806336174022412,0,0,0,0,0,0.0177514749134812,0,0,0,0,0,0.0509149624270217,0,0,0.136890001077056,0.170745617631632,0.285314042987794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
