,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X002475.SZ,X600104.SH,X000063.SZ,X600031.SH,X003816.SZ,X002304.SZ,X000725.SZ,X000661.SZ,X000568.SZ,X000338.SZ,X600690.SH,X600809.SH,X600703.SH,X002007.SZ,X300003.SZ,X600183.SH,X000596.SZ,X002371.SZ,X300142.SZ,X600741.SH,X300014.SZ,X000100.SZ,X002241.SZ,X000977.SZ,X300124.SZ,X601877.SH,X002236.SZ,X000157.SZ,X000800.SZ,X002463.SZ,X000625.SZ,X002129.SZ,X002179.SZ,X002456.SZ,X600498.SH,X600118.SH,X300136.SZ,X002414.SZ,X002223.SZ,X600584.SH,X600271.SH,X000066.SZ,X002049.SZ,X600522.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300136.SZ,0,0,0,0,0,0,0,0.0934929002853233,0,0,0,0,0,0,0,0,0,0.000890662863810253,0,0,0,0,0.0521207037939167,0,0,0.213869732429691,0.0675610332837376,0,0,0,0,0,0,0,0,0.0943912160268709,0,0,0.148559233809479,0,0,0,0.0488769479484881,0,0.0792975866134905,0,0,0,0,0,0,0.0207709876833077,0,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0.104586372547086,0,0,0,0,0,0,-0.178366328201878,0,0,0,0,0,8.67361737988404e-19,-0.0554491907266756,0.0151938138744322,0,0,0,0.532182935698044,-0.108403411316738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175189130823306,0,0,0.0699711650463441,0.0876442390441667,0,0,0,0.0128492354360893,-0.0336580944332514,0,0,0,0,0,0
X002223.SZ,-0.24871555902224,0,0,0,0,0.17361350342269,0,0.0217086918481445,0,0,0,0,0,0,0,0,0,0,0.328590493960337,0.230066216460999,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157329547858931,0,0,0,0,0,-0.0346373750703465,0,0,0.240677105200717,0,0,0,-0.154720252100109,0,0,0,0,0.00157297915852994,0.0240499741476759,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513035437105153,0,0,0.37638940068726,0,0,0,-0.0274080682810309,0.0477948920701743,0,0,0.238843102489272,0,0,0,0,-0.00434182265872759,0,0,0,0,0,0,0,0,0,0,0,0.132754623384415,0,0,0,0.160106000789366,0,0,0,0,0.0355861390011148,0.00487418342537072,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0.133656387828854,0,0,0,0.187675469379819,0,0,0,0,0,0,0,0.105554193355954,0,0,0,0,0,0,0,0,0,0,0,0,0.072803818202816,0,0,0,0,0.0112291305836876,0,0,0,0,0,0.306587947742512,0,0.00771164175834069,0.0302514273767795,0,-0.0175304168524168,-0.0123032041148032,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,-0.102540633303465,0,0,0,0,0,0,0,0.335054092402179,0,0,0,0,0,0,0,0,0,0,0,0,0.00221632384453446,0,0.159618153002401,0,0,0,0,0.242394661172998,3.46944695195361e-18,0,0,0,0.0146515180396496,0,0,0,0,0,0.183045924388685,0,0,0,0,0,0,0.00195160669102222,0.0217651012186029,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0.0129565818984509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382856614332814,0,0,0,0,0,0.248246856022729,0,0.0402843765172312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349478908780358,0,0,0,0,0,0.0287256431152185,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108757569429562,0.0389101412427401,0,0,0,0,0,0,0,0,0.0502186045288288,0,0,0,0,0,0,0,0,0.0133431734700081,0,0.137029292444714,0.202560851468712,0,0,0,0,0.0602673054211813,0,0,0,0,0.441803399436787,0,-0.0172175678030901,0.0193623678024258,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148238234333822,0,0,0,0,0,0,0,0,0,0,0,0.195625353653947,0,0,0,0,0.0153512578643327,0,0,0,0,0,0,0,0,0.30889656202705,0,0,0.054894468961523,0.0413817475968094,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0.0985877399840366,0,0,0,0,0,0,0,0,0,0,0,0.575801892831712,-0.125352583768437,0,0,0,0,0,0,0,0,-0.250388362122539,0,0,0,-0.0861064756128379,-0.116058715781316,0.16542167119948,0.218108337977153,0,0,0,0,0,0,-0.219201440905802,-0.0891726209771273,0,0,0.136130201881602,0,-0.177643564482923,0,0,-0.0469090420667287,-0.0787667274363065,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0.068073409890573,0,0,0,0,0,0,0,0,-0.457206720945486,0,0,0,0.58057757624754,0,0,0,0,0,0.388170610219735,0,0,0.854114900670071,0,0,-0.214735645687656,0,0,0,-0.514368282111116,-0.473765501714294,0.11692970531787,0,0,0,0,0,0,0,-0.328958674860189,0,0,0.110941986929512,0,0.289152242630968,0,0,0,0
TED,0,0,0,0,0,0,0,0.106446742834349,0.251836986633289,0,0,0,0,0,0,0.567854234385723,0,0,0,0,0,0,0,-0.207264223852016,0,0,0,0,0.172371352858729,0,0,0,0,0,0,0,-0.259260398190804,0,-0.0694322404108477,0,0,0,0,0,0,0,0,0,-0.114418259143178,0,-0.405610152059339,-0.28419396836346,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218863207855131,0,0,0,0.0352556056017444,0,0.00952787224457456,0,0,0,0,0,0,0,0,0,0.0213526436166373,-0.071397788183075,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.110344586871146,0,0,0,0,0,0.0187869676531098,0.0203520963335295,0.0758103734854601,0.0139989664348869,0.0135428231592734,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.174630996695636,0,0,0,-0.0667180345742897,0,0,0,0,0,0,0,0.0108761212618377,0,-0.0206621859007299,-0.0067328048362293,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.207866147377882,0,0,0,0,0,0,0,0,-0.154364683312274,0,0,0,0,0,0,0,0.0908621515390026,0.0344801128986117,-0.00167080303041844,0,0,0,0,0,0
MKvol,0,0.0262214215595898,0,0,0,-0.0250467621613742,0,0,0,0,0,0,0,0.00811958266293497,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149261219393862,0,0,0,0,0,0,0,0.00979535443503378,0,0,0,0.0104088358103204,-0.00820117328399177,0.00773099597254252,-0.00114726514441026,0,-1.73472347597681e-18,0,0.0105173367396375,0,0,0,0,0.00507535894881915,-0.0137133270976627,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036496551992326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00272672389996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016873996843885,0.00105550195956367,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,-0.000571200277895974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376999324169062,0,0,0,0,-0.00136442642718673,0,-0.00319346971178089,0,-0.00754582288295026,0,0.00973466146750192,0,0,0,0,0.000567824657160611,-0.00436923896974191,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,-0.000853270294872658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136638906008125,0,0,0,-0.000509236560561322,0,0,0,0,0,0,0,0,0,0,-0.00147962420239832,0,0,0.00108273166814499,-0.00365624689179636,0,0,0,0,0,0,0,0.0075129470363447,-0.0013888376822463,0,0,0,0,0,0
