,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X000100.SZ,X600031.SH,X600372.SH,X600271.SH,X000157.SZ,X000338.SZ,X000559.SZ,X002241.SZ,X002292.SZ,X600066.SH,X002129.SZ,X600089.SH,X600741.SH,X002475.SZ,X002236.SZ,X601877.SH,X600839.SH,X000547.SZ,X600177.SH,X300124.SZ,X002465.SZ,X000568.SZ,X600435.SH,X000016.SZ,X600582.SH,X300003.SZ,X000800.SZ,X002294.SZ,X600252.SH,X002456.SZ,X000977.SZ,X002276.SZ,X002179.SZ,X002008.SZ,X000066.SZ,X002242.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002242.SZ,0,0,0,0,0,0,0,0.126281153704671,0,0,0,0,0,0.103831446667167,0,0,0,1.38777878078145e-17,0,0.00961774956794777,0,0,0,0,0,0,0,0,0,0.0811377163339086,0,0,0,0,0.206329443272584,0,0,0,0.333278729013391,0,0,0,0,0,0,-0.0224809921092731,0,0,0,0,0.0654302738954908,-0.0731593717039621,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.0417353638067342,0,0,0,0,0,0,-0.0722593346139352,0,0,-0.0397352988061088,0,0,0,0,0,0,0,0,0,0.145083129700919,0,0,0,0,-0.0188007863607116,0,-1.73472347597681e-18,0,0,0,-0.109030125901765,0,0,0.0478164411106899,0.0509391644615032,0,-0.148617842027855,0,0,0.128107668214498,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0634069417755228,0,0
Slope,0,0,0,0.542991035472401,0,0,0.20562933518166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.922851064234215,0,0.289114656805883,0,0,0,-0.122512385747419,0,-0.507012917486312,0,0,0,0,0,0.191926828835873,0,0,0.0106299295762887,0,0,0,0,0,0,0.444851160848044,-0.41753120032459,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0.183418392248416,0,0,0.0163101518869787,0,0,0,0,-0.223207879037671,0,0,0,0,0,0,0,0.133042199034226,0,0,0,0,0,-0.586804840630382,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0987272846726788,0,0,0.0673804611638747,0,0.179483864831476,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,-0.0269161567507023,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.275898049236624,0,0.0128512820745346,0.081831911947823,0,0,-0.119969802534556,0,0,-0.221588393035165,0,0,0,0,2.16840434497101e-19,0,0,0.22090380210071,0,0,-0.0119134998817565,0,0,0,0,0,0
MKreturn,0,0,-0.209320431128308,0,0,0,0,-0.290347843504897,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0539229520165984,-0.0547199619872702,0,0,0,0,0,-0.0075995907754808,0,0,0,0.117812270253096,0,0,0,0,0,0,0,0,0.191312096880206,0,-0.0110190669269279,0,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.0228229381874699,0.0176594419824257,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,-0.00216784337005264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0,-0.00239557746307525,0,0,0,0,0,-0.000721795269226449,0,0,0,0,0.171005852192143,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000506173208999046,0,0,0,0,0.0230681670638989,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0.0042472061517957,0,0.00535917299311874,0,0,0,0,0,-0.00600951271916708,0,0,0,0,0,0,-0.00705876897584167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00376269915349096,0,-0.00744367441719254,0,0,0,0,0.0121546138766146,0,0,0,0,0,0.0149841969359679,0.00417457862067589,0,0,0,-0.0228560538801571,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00106467936685003,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244586876140442,0,0,0,0,-0.00447167240693511,0,0,0,0,0,0,0.000831817265185083,0,0,0,-0.0104818762414546,-0.00646463292990497,-0.000619934325541352,0,0,0,0,0,0
