,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600276.SH,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X000338.SZ,X002241.SZ,X000100.SZ,X002475.SZ,X600066.SH,X002236.SZ,X601877.SH,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X600177.SH,X300124.SZ,X600372.SH,X600522.SH,X600089.SH,X002085.SZ,X002007.SZ,X002508.SZ,X000981.SZ,X000066.SZ,X300003.SZ,X002294.SZ,X600699.SH,X000559.SZ,X600867.SH,X002292.SZ,X002180.SZ,X300136.SZ,X000623.SZ,X002074.SZ,X600498.SH,X600809.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000596.SZ,0,0,0,0,0,0.225192675856991,0,0,0,0,0,0,0.12290674252159,0.18857223804121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584397471497894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516182805074737,0.0245368562831798,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0.296287346108852,0,0,0,0,0,0,-0.477623417495562,0,0,0,0,0.325233463510731,0,0,0,0,0,0.0457483529627528,0,0,0,0,0,-0.00492125288679433,-0.373339749039648,0,0,0,0,0,0,0,0,0,0,-0.266552130290521,0,0,0.0690326825759757,0,0,0,0,0,0,0
Slope,0,-0.991161010992479,-0.755109522833311,0,0,0,0,0,0,0,0.017911256594365,0,0,0,0,0,0,0.417555611297767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71154432367732,2.77555756156289e-17,0,-0.259086231778581,0,0,0.557811054515811,0,0,-1.48401613357531,0,0,1.73472347597681e-18,0,0,-0.75495471750806,0,0.399451585232272,0,0.402396285044702,0,0,0,0,0,0
TED,0,0,1.94755782547311,0,0,0,0,0,0,0,-0.407219367673656,0,0,0,0,0,0,0,0,2.39478093638689,0,0,0,0,0,0,0,0,0,1.11636223728552,0,0,0,0,0,0,0,0,0,-2.71913985777035,0,0,-1.18076540687927,0.771448433395417,0,0,0,0,0.88841001533518,-1.53753671885827,1.24611693919285,0,-0.601111927411686,0,0,2.66005484773301,0,0
RealEstate_excess,-0.0261536956489907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121170241093227,0,0,0,0,0,0,0,0,0,0,-0.170041013835687,0,0.170181527535348,0,0,0,0,0,0,0,0.0451950200769093,0,0,0,0,0,0,-0.0165887176219666,-0.318740308311497,0,0,0,-0.0570509200128813,0.0136166534987128,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.0109096859397257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402042854150687,0,0,0,0,-0.052756806009321,0.0595843559144419,0,-0.0614231521743921,-0.130385287563194,0,0,-0.0159398690714342,0.008506151325096,0.105524531707101,0,0,0,0,0
MKvol,0,-0.000764691590443138,0,0.000904832185733525,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0.00084212595923886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.71418531116237e-05,0,0,0,0,0,-0.00157427368737037,5.06843587519536e-06,0,0,0,0,0,0
CarbonVol_Shenzhen,0,-0.0184044120783418,0,0,0,0,-0.0231915699496005,0,0,0,0,-0.0388442301671305,0.0834131067468741,0,0,0,0,0,0,0,0,0,-0.0558270867266011,0,0,0,0,0,-0.021061559415409,0,0,0.0919793081935242,0,0.0476401082331539,0.03639533147619,0,0,0,0,0,0,0,0,0,-0.0552296390444546,0,0.0182959999245613,0,0,0,-0.0347362129878868,0.0293837285475961,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129774269288699,0,0,0,0,-0.0145360105588115,0,0,0,0,-0.00164309709420452,0,0,-0.0151759269790495,0,0,0,0,0,0,0.0132341896309031,0.000613763611934536,0,0,0,0,0,0,-0.00493252908709658,0,0,-0.00414989812830201,0.010566740968505,-0.0119196089349074,0,0,0,0,0,0
CarbonVol_Hubei,0,-0.00019532417616345,0,0,0,0,0,0,0,-0.00133677834988842,0,0,0,0,0,0,0.00946717442307875,0,0.00328397863904927,0,0,0,0,0.00111253774711316,0,0,0,0,0,0,0,0,0,0,0.00563797203881894,-0.0091636281121538,0,0,0,0,0,-0.00121881984571238,-2.16840434497101e-19,-0.0198203604976629,-0.0112971635815485,0,0,0,0,0,-0.00976609794379363,0.00621268766069819,0,0,0,0.0340331121969815,0,0
