,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X002371.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X000661.SZ,X600089.SH,X002180.SZ,X601877.SH,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X600702.SH,X600522.SH,X600741.SH,X002074.SZ,X000157.SZ,X000799.SZ,X600460.SH,X600584.SH,X300003.SZ,X600779.SH,X002007.SZ,X600884.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326382676648109,0.034987673027912,0,0.275377742773083,0,0,0,0.0131271770944021,0,0,0,0,0,0,0,0,0,0,-0.103315857062284,0.0477134870586661,0,0,0,0,0,0,0.114934460902064,0,0,0.0457695302359333,0,-0.0037172788681309,-0.00107406430130951,0,0,0,0,0,0
X600702.SH,0,0,0.48911196979669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381387473648351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202998426817377,0,0,0.0513874648218408,0.0303263607691049,0,0.0435708118099445,0,0,0.127061473984598,0.000104456441048568,-0.00402074377113026,0,0,0,0,0,0
X600522.SH,0,0,0,0.170318213172597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0908829945895181,0.456068221498018,0,0,0.21096671940182,0,0,0,0,0,0,0,0,0,0,0,-0.556682970745884,0,0,0,0,0,0,0,0,0,0,0,0,0.740316382947766,0,0,0.0888615666697256,0.241543688391503,6.93889390390723e-18,0.0461233096361705,-0.410767485803614,0,0,0,0,0
X600741.SH,1.73472347597681e-18,0,0.13861057379283,0.108746297299707,0,0,0,0.239615446772265,0.0484600354240551,0,0,0,0,0,0,0,0,0.172708745939081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263993282811735,0,0,0,0.00310725192492875,0,0,0,0,0,0,0.111959756737131,0,0,-0.0140980996224678,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0.365992562694551,0,0.053009297614365,0,0,0,0,0.0141265870184897,0,0,0,0,0,0,0,0,0,0.130472186564856,0,0,0.0184730938189517,0,0,0,0,0,0,0,0.241112846370684,0,0,0,0,0.0360016899597799,0,0,0,0.0809730111450766,0,0,-0.016761831782359,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023662829355225,0.223515795140149,0.0263959953886071,0,0,0,0,0,0,0,0,0,0,0,0,0.156435720442994,0,0,-0.0388156859490338,0,0,0,0,0,0,0.0468991762504724,0,0.0719223881759187,0.00830910630593891,0,0,0,0,0,0,0,0,0,-0.000281297043091045,-0.0186578575285964,0,0,0,0,0,0
X000799.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130903561459252,0.0233917364720443,0,0,0,0.0173472704170752,0,0,0,0,0,0,0,0,0,0,0.165134483366379,0,0,0.147904535042921,0,0,0,0,0,0.649094598170167,0,0,0,0,0,0,0,0,0.0180346162668927,0.021835158803627,0,0,0,0,0,0
X600460.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302478420825465,0,0.20506855790773,0,0,0.175760984273803,0,0,0,0.0363833855166807,0,0,0.11203711126254,0,0,0,0,0,0,-0.144089411079494,0,0.0530809228857067,0,0,0,0.15684525446668,0,0,0,0.0111165860004311,0,0,0,0,0.0448308176823898,0.079711678656838,0,-0.0201210555232969,0,0,0,0,0,0
X600584.SH,0,0,0,0,0,0,0,0,0,0,0,-0.101108572585867,0,0,0,0.109047862716474,0,0,0,0.0289855812119962,0.180966868629316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299579881334795,0,0.0938386225563591,0,0,0,0,0,0,0,0,0,0.00440586601553188,0.0142755092752296,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0.404576537490389,0,0,0,-0.0363059818768426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114353237129513,0,0,0,0,0,0,0,0,0,0.274396284001737,0,0,0.00420102188875642,0,0,0,0.24644768090716,0,0,0,0,0.0143189576595556,0,0,0,0,0,0
X600779.SH,0.300116741448271,3.46944695195361e-18,0.115575367829982,0,0,0,0,0,0,0,-0.0247588371922591,0.0963961500597664,0,0.00271316239785992,0,0,0,0,0,0,0,0,0,0,0,0.0785631946265006,0,0,6.93889390390723e-18,0,0,0,0,0,-0.121318244590147,0,0,0,0.24875824259977,0,0,-0.0695641693041495,0,0,0,0,0,0,0,0,0,0.00481461216954521,-0.0213118610744371,0,0,0,0,0,0
