,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X600690.SH,X000661.SZ,X600741.SH,X600809.SH,X600703.SH,X002241.SZ,X000596.SZ,X300003.SZ,X601877.SH,X600183.SH,X000100.SZ,X002236.SZ,X000157.SZ,X300124.SZ,X000066.SZ,X300142.SZ,X002007.SZ,X300014.SZ,X002371.SZ,X000625.SZ,X300136.SZ,X002179.SZ,X002463.SZ,X002456.SZ,X002008.SZ,X600271.SH,X000977.SZ,X600584.SH,X002180.SZ,X600177.SH,X000050.SZ,X600066.SH,X002506.SZ,X002129.SZ,X600498.SH,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000661.SZ,0.249320024401322,0,0.274613299765337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0699355930233725,0,0.111760529221746,0,0.149003070779735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645859503597806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279004421548226,-0.0303516694225221,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0.0981445836382259,0,0,0,0,0,0,0,0,0,0,-0.104653858863761,0,0,-0.117313496125796,0,0,0,0,0,0,0.148587210835408,0.0221275966235519,0,0,0.0444074865269596,0,0.23409748050066,0,0,0.112005698871502,-0.013661156840811,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0.293970251447035,0.0707672673827989,0,0,0,0,0,0,0,0,0,0.104585705109216,0,0,0.129420672462181,0,0,0,0,0.0756516957467992,0.0760780629285416,0,0.0394008111863979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269152518118586,0,0,0,0,0,0,-0.0535878814253918,0,0,0,0,0,0,0.0180248694817043,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107697735132702,0,0.0950086299832321,0.267907259777461,-0.110587019130232,0,0,0.166979677090062,0.155667653831284,0,0,0,0.266879164029958,-0.0147037490327627,0,0.291759388403841,0,0,0,0,0,0,0.00702484679587631,-3.46944695195361e-18,0,0,0,0.0585513412614879,0,0
X002241.SZ,0,0,0,0,0,0,0.192803367753381,0,0,0,-0.0503673751327205,0,0,0,0,0.0644008296842979,0,0.0729936640041134,0.0879878346033061,0,0.222809523804285,0.149723086513163,0,0,0.109731480338044,0,0,0,0,0,0.11300164964557,0,0.130328748503057,-0.0177031221895023,0,0,0,0.134155254935634,0,0,0.144359008644704,0,0.232066625461323,0,0,0,0,0,0,0,0,-0.0263024135156231,0,0,0,0,0,0,0
X000596.SZ,0.0711450356441558,0.182125360447913,0,0,0,0,0,0,0,0,0,0.144951240676765,0.0793800921018956,0,0,0,0,0.216272270440765,0,0,0,0,0,0.00368858477191597,0,0,0.163063177596507,0,0,0,0,0,0,0,-0.00629667277485229,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,-0.030707329380567,0,0,0,0,0.000531939007049132,0,0
X300003.SZ,0,0,0.248975513583342,0,0,0,0,0,0,0,0.0365032580658157,0,0,0,0,0.0844178210175622,0,0.191531093266192,0,0,0.0351304618340634,0,0,-0.152773438155824,0,0,0,0,0.0630627181047325,0,0,0.0467471589880533,0.130774965246269,-0.0337526900973285,0,0,0,0,0,0,0.126769148031798,0,0.0161742148532215,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975920281745401,0,0,0,-0.00643077489866239,-0.0844018013478617,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0292588108815232,0.00628270118384601,0,0,0,0.125218765509214,-0.020608502878344,0,0,0,0,0,0,0,0,0.079892751498776,0,0.0197163730251082,0,0.047637136231013,0,0,0,0,0.0119091739638699,0,0
X600183.SH,0,0,0,0,0,0,0,0,0.393636040141843,0,0,0,0,-0.0947978440991262,0,0.333107655749561,0,0.0673661334244646,0.168033899572145,0,0,0,0,0,0,-0.0755237372699332,0,0,0,0,0,0,0,0,0.203624039580567,-0.196177944232203,0.683076035689183,0.0446328632493671,0,0,0,0.0670379536386512,-0.238303581422903,0,0,0,0,0,0,0,0,-0.185971879312285,0.0568764762416551,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0.419113139752726,0,0,0,0,0,0,0,0,0,0.0305443398526807,0,0,0,0,0,0,-0.105271902773189,0,0.0228127943984438,0,0,0.0754649498009525,-0.130163508328807,-0.12686056452746,0,0,0,0.00784825327224279,0,0,0,0,0,0,0.486075890883724,0,0,0,0,0,0,-0.0163280877815026,-0.00898335418895079,0,0,0,0,0,0
