,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000661.SZ,X600031.SH,X000063.SZ,X000725.SZ,X000568.SZ,X003816.SZ,X600809.SH,X000338.SZ,X600703.SH,X600690.SH,X002241.SZ,X300142.SZ,X000596.SZ,X002007.SZ,X300014.SZ,X000100.SZ,X002371.SZ,X300124.SZ,X300003.SZ,X002049.SZ,X600741.SH,X000157.SZ,X002129.SZ,X600183.SH,X000800.SZ,X600584.SH,X601877.SH,X002236.SZ,X002414.SZ,X000977.SZ,X000625.SZ,X300136.SZ,X002456.SZ,X002179.SZ,X000066.SZ,X002185.SZ,X002463.SZ,X002008.SZ,X600118.SH,X002180.SZ,X601799.SH,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002463.SZ,0,0,0,0,0,0,0,0,0,0,0.0142195173323013,0,0,0,0,0,0.0555206745826869,0,0.0159625071508449,0,0,0,0.0228654817081456,0,0,0,0,0,0,0,0.0929462117902625,0.398140369287544,0,0,0,0,0,0,0.024134640022117,0.0657689401212993,0,0,0,0.0269667078948587,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0039858644513626,0,0,0,0,0,0
X002008.SZ,0,0,0,0.00643415199675529,0,0.0967399861144952,0,0.13451234354127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274611848468301,0,6.93889390390723e-18,0,0.104721176149876,-0.0599743680001682,0,0,0,0,0,0,-0.0133441024949628,0.259110823207822,-0.0271002759794332,0,0,0.153106006161651,0,0,0,0,0,0,0,0,0,0,-0.00112634563188247,0.0141056857318318,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404544296864093,-0.0443428024544381,0,0,0,0,0,0,0.40387765331543,0.080450606226192,0,-0.112471037507838,0,0,0,0.176368053381501,-0.09995523742048,0,-0.0232003183658311,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0.21678371958862,0,0,0,0,0,0,0,0,0,0,0.0804003679342665,0,0,0,0,0,0,0,0.0366433904749166,0,0,0,0,0,0,0.193888010869284,0,0,0,0,0,0.00465307217446874,0,0,0.265699908121471,0,0,0,0,0,0.0238481669760121,0,0,0,0,0.0545491900821041,-0.061539345422483,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0.0507941345551251,0,0,-0.143484072039131,0,0,0,0,0,0,0,0.158547404884882,0.0676933680617163,0,0,-0.0431141500751715,0,0.0564290322245804,0,0,0.330418752426967,0,0,0,0,-0.00809540680354648,0,0,0.0615471100926214,0,0,-0.0544173693449507,0,0,0,0,0,-0.0789009239493468,0,0,0,0,0.0463654948288051,0.00930417364140374,0.0134189979343529,0,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0720406894439226,0,0.0269073573576909,0,0,0.323067914152294,0,0,0.119374063014848,0,0,0,0.0372230103019577,0.13410042814222,0,0.00347508936329504,0.0643538553031199,0,0,0,0,-0.0184442879865604,0.0386008130549594,0,0,0,0,0,0,-0.124491538907375,0,0.144153473604867,0.243871973907865,0,0,0,0,-0.0107904793256129,-8.67361737988404e-19,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,-0.109951166735858,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151346958833622,0,0,0,0,0.166756128570904,0,0,0,0,0,0,0,0,0,0,0.170976779960464,-0.142923200946311,0,0,0,0,0,0,-0.132674250416387,0,-0.11563323038459,-0.150210274146031,0,0.0167680558768402,-0.118068406253134,0,0,0,0,0,0
Slope,0,-0.252895800104284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0813854566162814,0,0,-0.238774578808215,0,0,0,0,0,0,0.426749606532335,0,0,0,0,0,0,0,0,0,0,0,0,0.343413091812914,0,0.770682812205227,0,0,0,5.47487933115672,0,0
TED,0,0,0,-1.40170304401454,0,0,0,0,0,0,0,0,-0.604945554581457,0,0,0,0,-0.223523526215472,0,0,0,0,0,-0.170315268117398,0,0.754998819383099,0,0.469909823442955,0,0,0,0,0,0,0,0,0,0.698390850258882,0,0,0,0,0.338447985603769,0,0,0,0,0,0,0,-0.915971272580339,0.707374281991001,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,-0.0675415974118374,0,0,0,0,0,0,0,0,0,0,0,-0.0243876513600604,0,-0.0315734675291273,0,0,0,0,-0.0604951544099476,0,0,0,-0.0393888925855042,0,0,0,0,0,0.119340253292461,0,0,0,0,0,0,0,0,0,0,0,0,-0.109461178711894,0,0,0,-0.00716681726599156,0.00275512430429883,-0.0196594414329935,0,0,0,0,0,0
