,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X000100.SZ,X600703.SH,X600031.SH,X600271.SH,X000157.SZ,X600118.SH,X002236.SZ,X600066.SH,X000338.SZ,X600372.SH,X000559.SZ,X000016.SZ,X002241.SZ,X600741.SH,X600089.SH,X002475.SZ,X000568.SZ,X000066.SZ,X600177.SH,X002292.SZ,X300124.SZ,X600839.SH,X002294.SZ,X300003.SZ,X002465.SZ,X600312.SH,X002129.SZ,X000869.SZ,X600867.SH,X000800.SZ,X600525.SH,X000581.SZ,X300142.SZ,X000550.SZ,X600498.SH,X002007.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300142.SZ,0,0,0,0,0,0,0.000173304934040817,0,0,0,0,0,0,0,0.000146556083760801,0,0,0,0,0,0,0,0.224490594989649,0,0,0,4.84591905152123e-05,0,0,0,0,4.63754655749667e-05,0,0,5.44595661624635e-05,8.62684435775667e-05,0,0,0,0,0,0.000239748399659301,0,0,0,0,0,-0.000543575543180252,0,-5.71397436960833e-05,8.72129050604572e-05,0,0,0,0,0,0
X000550.SZ,0,0,0,0,0,0,0,0,0,0,0,0.295916158747657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708365994892036,0,0,0,0.0679937522720593,0,0,0,0,0.266834103672028,0,0,0,0,0,0,0,0,0.0245129400236144,-0.0458347048529982,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990372583259203,0,0,0,0,0.317590166364815,0,0,0,0,0,0,0,0,0,0.0132514018293307,0,0,0,0,0,0,0,0,0.095721425234467,0,0,0,0,0,0.0530364144858828,0,0,-0.013704575958298,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0.0505223306938721,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.149675927470258,0,0,0,0.105622755916496,0,0,0,0,0,0,0,0,0,0.287533441140262,0,0,0.0374558739094396,0,0,0.0157034615332598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000623.SZ,0,0,0,0,0,0,0,0,0.0940002750095298,0,0,0,0,0,0.161622489065668,0,0,0,0,0,0,0.0855246017072752,0,0,0,0,0,0.00732099971064321,0,0,0,0,0,0,0,0,0,0,0,0,0.23534388536957,0,0,0,0.000656065678408039,0,0,0,0,0,-0.000624353426268732,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235667393039442,0,-0.0849462591108307,0.0938451828068498,0,0,0,0,-0.159013038536095,0,-0.0312353836828976,0,0,0,0,0,0,0,-0.148737977981151,0,0,0,0,-0.118167171131845,0,0.0828614970560654,0.117026102600966,-0.00601138361172025,0,0,0,0,0,0,0,0.00914174102061612,0,-0.044025098197875,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0.194911084459118,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.159534918892975,0,0,0,0,0,0,0,0,1.05618025491213,0,0.0790956150393948,0,0,0.078135472750325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.802530339930217,0,-0.12939638641327,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.186336848660032,0.0865207876397474,0,0.186027453271832,0,0,0,0,0,0,0,0,0,0.0847077311773257,-0.256416154475457,0,-3.46944695195361e-18,0.0864333286634855,0,0,0,0,-0.154224096622286,0.0187585983432842,0,0,0,0,0,-0.231830563790134,0,0.468797591373578,0,0,0,0,0.292095498352433,0,0
RealEstate_excess,0,-0.263317001649231,0,0,0.190638747631451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190668615888248,0,0,0,0,0,0.0394885400167979,0,0.166648255180571,0,-0.0762757665467819,0.00409544950905988,-0.271161621588316,0,0.0477104663555067,0,0,0,0,0,0.103716994869324,0,0,0,0,0,0,0.315897718746696,0.0443512564106699,-0.0309873217244959,0,0,0,0,0,0
MKreturn,-0.0089086525927895,0,0,0,0,0,-0.352673204870517,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0574783711168495,0,0,0.0678323544820927,0,0.308210771686709,0,0,0,0,0.0423016359744324,0,0,0,0,0,0,0.00428959844503323,0.00296141889758529,0.104561455522808,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000711643238225671,0,0,0,0.00459801755145551,0,-0.00112697195281754,0,0,0,0,0,-0.00275616089489638,0,0,0,0,0,0,1.35525271560688e-20,0,-0.00327154395908981,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300591845270156,0.0163076717092062,-0.00801080504559807,0,0,0.00678673739318412,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,-0.0292929508009556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0433063761265016,0,-0.00161054271259799,0,0,0,0,0,0,0.0541560364233952,-0.0250697528071336,0,0,-0.038312422313492,0,0,-0.097144851772664,-0.103437520224328,0.0398304544801075,0,-0.0309994094566996,0,0,0,0
CarbonVol_Guangdong,-0.00450134606859398,0,0,0,-0.0169269722332517,0.00424047092607147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00933332616878929,0,0.00557725286882834,0,0,0,0,0.003309506408253,0,0.0106132388446777,0,0,0,0,0,0,0,0,0,0.0122517823151406,0.0246169314361415,0.0134892066129106,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0051331921883478,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00746192347615485,-0.0075041369118504,-0.000575974253058719,0,0,0,0,0,0
