,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X000568.SZ,X002304.SZ,X600031.SH,X600690.SH,X300124.SZ,X600104.SH,X300014.SZ,X000725.SZ,X000063.SZ,X600703.SH,X000338.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X300142.SZ,X003816.SZ,X002049.SZ,X000661.SZ,X601877.SH,X000100.SZ,X002179.SZ,X000596.SZ,X000157.SZ,X600460.SH,X002074.SZ,X000799.SZ,X002414.SZ,X600702.SH,X002007.SZ,X600741.SH,X600584.SH,X600183.SH,X002236.SZ,X601799.SH,X600089.SH,X600779.SH,X300146.SZ,X000800.SZ,X000066.SZ,X000977.SZ,X300003.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600690.SH,0,0,0,0,0.236039024188548,0,0,0.165962801521389,0.0536472279412097,0.134507500790399,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.078485466190933,0,0,0,0,0,0,0,0,0,-0.0733768135099825,0,0,0,0.00775114258558056,0,0,0,0,0,0,0,0.0515017516791753,0,0,0,0,0,0.0635103432661547,0,-0.0442147754960706,0,0,0,0,0,0,0
X300124.SZ,0,0,0.293555872983256,-0.0614211476868064,0.212329331105157,0,0,0,0,0,-0.0288185354353667,0,0,0.109976255919837,0,0,0.157851954138014,0,0.0717905762931885,0.0441607087022864,0,0,0,0,8.67361737988404e-19,0.024129244768811,0.0273184309710553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137617391739788,0,0,0,-0.0173044335385845,0,0,0,0,0.0557305791606038,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.144176688330346,0,0,0,0,0,0,0,0,0,0.143758844750488,0,0,0.0471688036811048,0,0,-0.0197757388812199,0,0,0.0144609177844044,0,0,-0.00619811328665041,0,0.0482596607496706,0,0.0087794126910504,0,0.11382900618244,0,0,0,0,0,0,0,0,0.0822636592996256,0,0,0,0,0.0249279031805051,0,0,0,0,-0.113602901400999,0,0
X300014.SZ,0,0,0.220875530284808,0,0,0,0,0,0,0,0,0.0787656135044818,0,0,0,0,0.0342240678139103,0,0,0.176282376974455,0.309305657837502,0,0,0,0,0.0893273766727385,0,0,0,0,0,0,0.254918194008066,0,0.110801821150815,-0.0235948081939045,0,0,-0.0445910955916369,-0.0463259979655288,0,0,0.113316667159279,0,0,0,0,0,0,0,0,0,0.0699801612836233,0,0,0,0,0,0
X000725.SZ,0,0,0,0,-0.0196921734717324,0,0,0,0,0,0,0,0.0306034809233194,0,0,0,0,0,0,0,-0.00271543527368014,0,0,0,0,0,0,0.500509626440754,0,0,0,0,0,0,0,0.0138559465198363,0,0,0,0,0,0,0,0,0,0.156008179395734,0,-0.0533513160057864,0,0,0,0.000888012548579347,0.03286199756116,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0482052844324678,0,0,0.0477644461215007,0,0.0268100022761853,0,0,0.0276871869008538,0,0.0792662523687813,0,0,0,0,0.00559785466158451,8.67361737988404e-19,0,0,0,0,0.0257540683469081,-0.0129420778948558,0,0,0,0.0197851113085358,0,0.0587546437685331,-0.0607544646634899,0.0221814947541516,0.0914803353264922,0.0272936852857051,0,0,0,0,0,0,0,0,0,0,0,0.0106422825778446,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0.0939835845703505,0,0,0.161636789850944,0,0,0,0,0,0,0,0,0,0.179846380743362,0,0.22166803899489,0,0,0,0,0,0,-0.106887449726127,0,0,0,0.201043489615686,0.0606554222577583,0,0,0,0,-0.0140997523139928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154334037120898,0.102305162083025,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0.120253783920684,0,0,0.0800438025470822,0,0,0,0,0,-4.33680868994202e-19,0.0160527528536701,-0.0458005055701709,0,0,0,0,0,0,0.0702286353919833,0.0189316356626826,0,0,0.0303910177699031,0.00825707618860647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128697772842494,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,-0.149180591253159,0,0,0,0,0,0.118590889608098,0,0.169185130890746,0.154583254654679,0,0,0,0.359174621366428,0,0,0,0,0,0,0,0,0,0,0.0355049375853587,0,0,0,0,-0.149911367794397,0,0.189525005738449,0,0,-0.198481374375132,0,0,-3.46944695195361e-18,0,0,0.103426718039659,0,0,0,0.139206552909035,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0.165214315655729,0.391301515092915,0.134133498746936,0,0,0,0,0,0,0,0,0,0,0,0.153102716831367,0,0.130347548336427,0,-0.0967487445637805,0,0,0.131524838655929,0,0,-0.105717389096594,0,0,0,0,0,0,0,0,-0.13338338344647,0,0,-0.0553975531670296,0,0.3133380068614,0,-0.102189226056038,-0.250388793605238,0,0,0,0,0,0
