,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X000625.SZ,X600809.SH,X600487.SH,X000596.SZ,X000661.SZ,X600498.SH,X002007.SZ,X002456.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600177.SH,X300146.SZ,X600566.SH,X000050.SZ,X600089.SH,X600066.SH,X600522.SH,X002180.SZ,X600867.SH,X002129.SZ,X002506.SZ,X600372.SH,X002241.SZ,X000977.SZ,X600776.SH,X300136.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002180.SZ,0,0,0,0,0,0,0,0,0,0.0842874560632804,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0523393811435321,0,0,0,0,0,0,0,0,0,0,0,0.136435660363065,0,0.0865149718233352,0,0,0.0686080137188384,0,0.0840565234157734,0,0,0,0,0.066118144129039,0,0.0976028893104977,0,-0.00795206294777646,0,0,0,0,0.0087211318174634,0,0
X600867.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014276723527886,0,0,0,0,0,0,0,0.209494775139487,0,3.46944695195361e-18,0,0,0,0,-0.145349374415184,-0.132864729920339,-0.24266172560049,0.287103645626699,0,0,0.140354672677383,0.531207799950256,0.483062099235351,0,0,0,0,0,0.164828881960354,0,0,0,0,-0.0282978798832791,0,0,0,-0.100237386282539,0,0.310098209372279,0,-0.176015275086566,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0.107967919594713,0,0,0,0,0,0,0,0,0,0.158348054478321,0,0,0,0,0.222425786107794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28234762417186,0,0,0,0,0,0,0,0,0.136427709584698,0,0.128264674784821,0,0.0395908800557198,-0.0744991159394143,0,0,0,0,0,0
X002506.SZ,0,0,0,0,0,-0.0114066165014922,0,0.0306014325845762,0,0,0,0,-0.0201071111137099,-0.0175661963005303,0,0,0,0,0.133746116672305,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0560141884437921,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103750861338487,0,0,0,0,0,0.00979495995203527,0,0,-0.0221508349407466,0,0,0,0,0.0336659290541466,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371300586232049,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216178321876455,0.272244463389987,0,0.0225102342730175,0,0,0,0,0,0,0,0.0343085189528085,0,0,0.343663938616344,0,0,0,0,0.0222966323731245,0.0140684923347665,0,0,0,0.0570098599068142,0,0
X002241.SZ,0,0,0.121036456068047,0,0,0.0414520837820568,0,0,0,0,0,0,0,0,0,0,0.0803616815787475,0,0.0704828916664251,0,0.019091658077381,0,0,0.0398050174941793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03907968301972,0,0,0,0,0.0589063942271938,0,0,0.142743442457799,0,0,0.073618579070171,0,0,0,0,0,0,0,0,0,0
X000977.SZ,0,0.180951981117232,0,0,0,-0.0349468881211261,0,0,0,0,0,0,0,0,0,0,0.299242177060659,0.167838845481081,0,0,0,-0.0255500862982941,0,0,0,0,0,0,0,0,0,0,-0.051665357720486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124035322987223,0,0.0674962298459655,-0.0399343095078633,0,0,0,0.11963871794564,0,0
X600776.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224698971247166,0,0,0,0,0,0,-0.022603556735148,0,-0.0242113606518567,0.0874484010284745,-0.0906512685630288,0,0.89934990247522,0,-0.351045413242353,0,0,0,0,0,-0.507857039357781,0.126567046406114,0,0,0.0537567661360559,0,0,0,0,0,0,0,0,0,0,0.0825914879786736,0,0,0,0,0.091092357047128,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.346859105773271,0,0,0,0,0,0.111745449184437,0,0,0.0206008668963586,0.00878338317203199,0,0,0,0,0,0.228011789327238,0.0518596952542494,0.433578113789079,0,0,0,0,0,0.00975565488344461,0,0,0,0,0,0,0,0,0,0,0.104369136349012,0,0,0,0.0342041485639908,-0.0711515528950459,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0.0650132450121058,0,0,-0.07202073499813,0,0,0,0,0,0,0,0,0,-0.0930879790079558,0,0,0,0,0.0828634476391178,0,0,0,0,0.123863713171393,0,0,0,-0.0144958385865503,0,0.10547407195098,0,0,-0.112979037379931,0,0,0,0,0,0,0,0,0,-0.0395667689005413,-0.00622486258826881,0,0.00953959514496265,-0.125043393413407,0,0,0,-0.0483675514845006,0,0
Slope,-0.612045381848587,0.948749224651358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901197462475313,-0.647464201801785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132019222942794,0,0,-0.222242213372048,0.326168169749687,0,0,0,0,0.552091363749105,-0.0205671448986341,0.224478566776707,1.11399492062661,0,0.964960768682955,0,0,0,-1.94920963821934,-4.48066168265987,0
TED,0.225678049989453,-0.141661339341426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149101180891659,0,0,0,0.201846877893605,0,0,-0.393056951136504,0,0,0,-0.139525935320091,0,0,0,0,0,0.195846831223165,0,0,0,0,0,0,0,0,0,0,-0.0892174906573617,-0.35811072785164,0,0.459028274188933,0,-0.295941726087391,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0.00970535192655252,0,0,0,0,0.0474990922455688,-0.165952485229251,0,0,0,0,0,0,0,0,0,0,0,0.00998504498635561,0,0.0482013225312199,0,0,0.013974789967609,0,0,0,0,0,0,-0.0123944427425169,0,0,0,0,0,0,0,0,0.00896419132427906,0.00417504687095183,0,0.0688997496343087,0,0.0662956428625596,0,0
MKreturn,0,0,0,0,0,0,0,0,-0.020802048795637,0,0,0,0.0664696012273732,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0906877759677495,-0.0242909828656888,0,0,0,0,0.0450004757621497,0,0,0,0,0,0,0,0,0,0.0423424999296455,-0.0214365926474431,0,0,0,0.0338908919533706,0,0.0396766446340474,0,-0.000454361423129817,0.0322608375136637,0,0,0,0.133210006612621,0,0
MKvol,0,0,0,0,0,0,0,-0.00242739281274149,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00120345440396585,0,0,0,0,0,-0.00144557968871541,0,0,-0.000755660113156878,0,0,0,0,-0.00142470965223115,0,-0.000284629508255313,0,0,0,0,0,0.00143592125189892,0,0,0,0,0,0,0,-0.0028780921563086,0,0,0,0,-0.00532825677556316,0.0907976055582158,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0.0459783577755879,0,0,0,0,0,0,-0.0642606723604318,0,0,0,0,0,0,0.00287313402727314,-0.52087605910283,0.105357696899011,0,0,0,0.0118877778186036,0,0,0.00557429677723532,0,0,0,0,0.151548796407773,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253072947304774,0.121096142026772,0,0,0,0,-1.83196758827587,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.315558947601901,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.00850697756113061,0,0,0,0,0,0,0,0,0.00436702836839205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130641433304702,0.000902130559640277,0,0,0,0.0574334619297243,0,0
