,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X600104.SH,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X002463.SZ,X600089.SH,X600584.SH,X000977.SZ,X600703.SH,X000157.SZ,X600372.SH,X002028.SZ,X002049.SZ,X600522.SH,X000066.SZ,X600741.SH,X002236.SZ,X600839.SH,X600183.SH,X601877.SH,X600066.SH,X002456.SZ,X600460.SH,X002156.SZ,X000661.SZ,X002074.SZ,X000800.SZ,X600487.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002074.SZ,0,0,0,0,0,-0.0703761046704682,0,0,0.0667471634889446,0.0474156403226992,0,0,0,0,0,0,0,0,0,0,0.514802074006649,0,0,0.0819322216742601,0,0,0,0,0,0,0,0,0,0,0,0.023161962578302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00520467231532778,0,0,0,0.0202128712968056,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0.0604969141984996,0,0.156371704511627,0,0,0.0281136866969452,0,0.227228648914504,0,0,0,0,0.0978811997995151,0,0.0855996672493168,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.131715463558253,0,0,0,0,0.00791398677902747,0,0.0327416861537487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124200498029634,0,0,0,0,0,0,0,0,0,0.0188353114233858,0.068985762007605,0.0380200794172595,0,0,0,0,0,0,0.142214433579351,0.0128376525246482,0.441528336823991,0,0.0611482126275058,0,-0.0779272973251725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247856626423967,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318808101057085,0.0180763809688538,0,0.0534518501838406,0,0,0,0,0,0,0,0,0,0.0274438122560313,0.168070725295458,-0.0529291635163136,0,0,0.0919553240665518,0,0,0,0,0,0,0.160218715214628,0,0.134521464964107,0,0,0,-0.0745890648086645,0,-0.0212918201602938,0,0,0.0621579209498478,0,0
Change_TY3M,0,0,0,0,0,-0.0212715310615091,0,0,-0.0145500203687927,0,0,0,0.177037639812614,0,0,-0.0474660051264394,0,0,0.027667271681718,0.0464710518983403,-0.119117001176659,0,0,0,0,0,0,0,0,0,0,0,-0.04543570451083,0,0,0,0,0,0.00515506838980833,0,0,0,0,0,-0.0038574663943633,0,0,0,0,0,0,0,0,0,0,0,-0.0299055704093279,0,0
Slope,-0.281679490608019,0,0.0779152274576941,0,-0.0785063151983251,0,-0.117625038088602,0,0,0,0,0,0,0,-0.0376077935862736,-0.115454226101266,0,0,0,0,0.185284794770458,0,0,0.156364226533274,0,0,0,0,0,0,0,0,0.0993580032496807,0,0,0.108990630691218,0,0,0,0,0,0,0.0669005063981085,0,0,0,0,0,0,0,0,0,0.160855892537604,0,0,0,-0.240124959900907,0,0
TED,0,0,0,0,0,0,0,0,0,0.10141632073675,0.117714057532569,0,0,-0.11526612988642,0,-0.0608500563786013,0,0,0,0,0,-0.175482873326303,0,5.42101086242752e-20,0,-0.0216613522009973,0,-0.0565852775656276,0,0,0,0,0,0,0,0,0.126716705760704,0,0.0201178648930616,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.156633114055815,0,0.858952968334294,0,0,0,0,-0.360055113883008,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239414841813065,0,0,0,-0.0450684172120306,0,-0.328954999958711,0,-0.201182302967011,0.381679756047385,0,0,0,0,0,0,0.0694130778235832,0,0,0,0,0,0,-0.02279002594564,0,0.0442510213496391,0,0,0,0,0,0,-0.0449264099155609,0,0,0.0543093988348898,0,-0.0400312240030104,0,0
MKreturn,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347530058150049,0,0.0703445155022888,0,0,0.125045989942185,0,-0.321629208420509,0,0,0,0,0.0355790354633165,0,0,0,0,0,-0.197999041632947,0.027174900338202,0,0,0.382258637833464,-0.109471360300439,0,0,0,0,-0.0687417572177757,0,0,0,0,-0.0343444328280675,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138579726975024,0,0,0,-0.0527799673046469,0,0
CarbonVol_Shenzhen,0,0,-0.0215782236917246,0,0,0,0,0,0,0,0,-0.00368286361310164,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139806631711536,0,0,0,0,0,0,0,0,0,0.0739394074095226,0,0,0,0,-0.220793827520981,0,0,0,-0.140836185439356,0,0,0,0.364770780434547,0.0679206897315347,0,0,-1.24934357279493,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0.0334385400650037,0,0,0,0,0,0,0,0,0,0,0,0,0.000280366583831079,0,0,0,0,0,0,0,0,0,0.00187910858762906,0,0,0,0,0,0,0,0,0.00332792045536962,0,0,0,0.00644823921092277,0,0,0,0.0666860673916711,0,0,0,-0.0440803661201613,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,-0.0148122265281215,0,0,0,0,0.0179598596001222,0,0,0,0,0,0,0,0,0,0.00721061325768921,0,0.00288603371447038,0,0,0,0,0,0,0,0.00446670946787017,0,0,0,0,-0.02776297491506,0,0,0.00164768300439682,7.20578233212163e-05,0,0,0,0,0,0,0,-0.0077792820378813,-0.00744884805169295,0,0,0,0,-0.0267737638707411,0,0
