,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X000625.SZ,X600741.SH,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X300124.SZ,X000100.SZ,X300136.SZ,X601877.SH,X600809.SH,X002008.SZ,X300003.SZ,X002085.SZ,X600487.SH,X600271.SH,X600089.SH,X002508.SZ,X600177.SH,X600522.SH,X000157.SZ,X000050.SZ,X600118.SH,X002294.SZ,X600867.SH,X300115.SZ,X600699.SH,X000559.SZ,X000981.SZ,X600372.SH,X600566.SH,X600498.SH,X000623.SZ,X002180.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600066.SH,0,0,0,0,0,0,0,0,-0.22853426512835,0.136643270478044,0,0,0,0,0,0,0,0,0,0,0,0.223507399601419,0,0,0,0.0741174674993028,0,0.0441332700814961,0,-0.0257206594301397,0,0,-0.0669565380945315,0,0,0,0.00508271410885323,0,0,0,0,0,0,0.133000170336447,0,0.0246595193771318,0,0,-0.0927218043179802,0,-0.0252052247550426,0.00119432886703125,0.00101986624132051,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0826715210106133,0.257900469205469,0,0,0,0,0.0403359113419847,0,0,0,0,0,0,0.143070421078269,0.269164805325193,0.00362025695289019,0,0,0.0137770936372889,0,0,0,0,0,0,0.0091748730888719,-0.0386797787663393,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0735318095808106,0,0,-0.0167330082093717,4.33680868994202e-19,0,0,0,0,0,0
X000100.SZ,0,-0.019671185180274,0,0,0,0,0,0,0,0,-0.0623025045781081,0,0,0,0,0,0,0,0.0130134126843279,0,0,0,0,0,0,0.0218790722735581,0,0,0,0,0,0.0228171494019554,0,0.0886975067052109,0,0,0.0829951462635369,-0.0167638135085004,0,-0.0454158829716248,0,0,0,0,-0.0261273643715502,0,0,0,0,0,0,-0.0154742330433393,0.00431531478938982,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.438047314477883,0,0.125978371660994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144380556959525,0,0,0,-0.106831853158991,0.133451386271463,0,0,0,0.032551468809025,0,0,0.0533454446475497,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.189158187292647,0,0,0,0,0,0,0,0,0.0709376570749207,0,0,0,0,0,0,0,0,0,0,0,0.0616042386311891,0,0,0,0,0,0,0.0576361409758899,0.0384668370344314,0,0,0.125964778114591,0.161768803561657,0,0,0,0,0,0,0,0,0,0.00429897804578895,0.0116935594769494,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.333953227655333,0,0,0,0,0,0,0.206438567918248,0.0729014853940746,0,0,0,0.25980151663886,0,0.00290231410407908,0,0.045147441588247,0,0,0,0,0,0.082829745580945,0,0,0,0,0,0,0,0.257188395306203,0,0,0,0,0,0,0,0,0,-0.0209699041599676,0,0,0,0,0,0,0.0205300498788864,-0.0798873499546947,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0,0,0,0,0,0.138617334004978,0,0,0,0.117519399694253,0.0551597500771507,0,0,0,0.140987673724334,0,0,0,0,0,0,0,0,0,-0.0731919218105333,0.130503704903077,0,0,0,0,0,0,0.0237028006849887,0,0,0,0.00840869196488911,0,0,0,0,0.0591643723755787,0,0,0,0.0721054084559877,0,0.00834467779642411,0,0,0,0,0,0,0
X300003.SZ,0,0,0.17658026161441,0,0.160397795352043,0,0,0,0,0,0,0,0,0.243020876958456,0,0,0,0,0,0,0.0347294112845929,0.0352666391408446,0,0,0,0,-0.0279279084725834,0,0,0,0.124645288186744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587961085513188,0.181254927925111,0,-0.00791261078793815,-8.67361737988404e-19,0,0,0,0,0,0
X002085.SZ,0,0,0.293860802229466,0,0,0,0,0,0.0319010944440283,0.151294787798798,0.164812524107042,0.0390635513519457,0,0,0,0,0,0,0,0,0,0.147471548847567,0,0,0,0,0,0,0,0,-0.113318150769542,0,0,0,0,0,0,-0.101751470545908,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00564397886691398,0.0501743572989723,0,0,0,0,0,0
X600487.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312110933926471,0,0,0,0.116002400609235,0.0848705745592881,0,0,0,0,0,0,0.00230126979359028,0.044445296357524,0.210182133070994,0,0,0,0,0,0,0.522328422860715,0,0.0289166055703384,0,0,0,0,0.287594072914266,0,0,0.0486266342631349,0,0,0,0,0.061665729251998,0,-0.00442272315345772,-0.0172143316997336,0,0,0,0,0,0
