,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X000568.SZ,X600703.SH,X600741.SH,X002236.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000625.SZ,X601877.SH,X002008.SZ,X002456.SZ,X600066.SH,X300124.SZ,X002508.SZ,X600809.SH,X000100.SZ,X300003.SZ,X600487.SH,X002241.SZ,X002294.SZ,X600271.SH,X600867.SH,X600522.SH,X300136.SZ,X600089.SH,X000157.SZ,X600177.SH,X000981.SZ,X600566.SH,X000596.SZ,X000050.SZ,X002085.SZ,X600707.SH,X002180.SZ,X000661.SZ,X600498.SH,X002179.SZ,X600699.SH,X300142.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000050.SZ,0,0,0,0,0,0,0.376996342330942,0,0,0,0,0,0,0,0,0,0,0,0,0.129784293924515,0,0,0,0,0,0,0,0,0.131788791809509,0,0,0,0.0318181754390249,0.0449758875500918,0,0,0.640239686846123,0,0,0,0,0,0,0,0,0,0.410467370913409,0,0,0,0,0.034134606809845,-0.0227361650378497,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0.189002387946239,0,0,0.24828504141113,0,0,0,0,0,0,0,0,-0.0371938040743566,0,-0.11087297539067,0,0,0,0,0,0,0,0,0.0172423440782571,0,0,-0.126523134621297,-0.00756234694646441,0,0,0,0,0.0872609083648949,0,0,0,0,0,0,0,0,0,0,0,0,0.0303387584242847,-0.0864102457900275,0,0,0,0,0,0
X600707.SH,0,-0.0160583401905019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363323741787824,0,0.0632482796713414,0,0,0,0,0.0991450866582442,0,0,0,0.0573815678244013,0,0,0,0,0,0,0,0,0,0,0,0,0.0546927205063559,0,0,0,0,0.145792441907609,0.0499135105723522,0,0,0,0,-0.0693508770454251,0.105448117330708,0,0,0,0,0,0
X002180.SZ,0,0,0,-0.0308119927689158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366541560362225,0,0,0,0.0728038693791217,-0.215117974305303,0.295800401301279,0,0,0,0,0,0,0.0991596769451516,0.129491031136464,0,0,0,0.0695874512776398,0,0,0,0,0,0.0844012999611257,0,0,0,0,0,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0,0.0402740987610116,0.125791124270813,0.126056286874145,0,0,0,0,0.127644759701544,0.0867136374436796,0,0,0,0,0,-0.0869575897013682,0,0.0734548198139503,0,0,0,0,0,0,-0.0377809120699076,0,0,0.373273778372197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126643917707795,-0.0264548074396033,0,0,0,0,0,0
X600498.SH,0,0,0,0,0,0,0.143278798820402,0,0,0.127783854776158,0,0,0,0,0,0,0.278558931257379,0,0.254748252674377,0.100669801010857,0,0,0,0,0,0,0.192895083744456,0,0.0796858268393772,0,0.0617658600962933,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0644519653231976,0,0,0,0.00462706158183642,-0.0159661659881135,0,0,0,0,0,0
X002179.SZ,0,0,0,0,0,0,0,0,0.0608914059748873,0,0,0.156640555773249,0,0.0582178524735984,-0.0370766947601909,0,0,0,0,0,0,0,0,0,0,0,0.0966053874420288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207263700588786,0,0.114462069359858,0,0,0,0,0.0360796970489352,0,0,-0.0277696582169137,0.0140699539748043,0,0,0,0,0,0
X600699.SH,-0.0459417876584928,0,0,0,0,0,0,0,0,-0.0775962779167643,0,0.114821885398078,-0.0438062761361236,0,-0.203978177059555,0,0,0,0.126086865365982,0.129852448956047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0749669866974932,0,0,-0.015843199872054,0,-0.0688369849998414,0,0.110262026757317,0,0,0.0104080682162662,0,0,0,0,0,0,0
X300142.SZ,0,0.437266672584151,0,0,0.318467212242296,0,0,0,0,-0.171494686657516,0,0.03196373663446,0,0,0,0.151324725450565,-0.021568092667587,0,0.085642420368557,-0.14173962075334,0,0,0,0,0,0,0,0,0.149760381669493,0,0,0,0.154599574096176,0,0,0,0,0,0,-0.0776720573125211,0,0.242176500101727,0,0,0,0,0,0.539600349730379,0,0,0,0.0724892522410032,-0.105269027402781,0,0,0,0,0,0
X000623.SZ,0,0,0,0,0,0,0,0,0.130477713731741,0,0,0,0,0.0533809941739301,0.0292793726691508,0,0,0,0,0,0,0,0,0,0,0,0,-0.00926922371659996,0.0411326530466563,0,0,2.16840434497101e-19,0,0,0.274869153189285,0,0,0,0,0,0.0879427299752411,0,0,0,0,0,0,0,0,0,0,-0.0383304193333265,0.0524888247615077,0,0,0,0,0,0
