,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X002241.SZ,X600066.SH,X000100.SZ,X002292.SZ,X600118.SH,X600031.SH,X002236.SZ,X002475.SZ,X000568.SZ,X600177.SH,X000559.SZ,X002506.SZ,X002074.SZ,X600372.SH,X000157.SZ,X300003.SZ,X000338.SZ,X002456.SZ,X300124.SZ,X000050.SZ,X002426.SZ,X002085.SZ,X002249.SZ,X600867.SH,X002007.SZ,X002294.SZ,X600089.SH,X002465.SZ,X000869.SZ,X002180.SZ,X600699.SH,X002508.SZ,X000981.SZ,X002049.SZ,X002179.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002465.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139376309444923,0,0,0.0995490521299906,0.317007668226896,0,0,0,0,0,0.0406651775746865,0,0.0108254079057171,0,0,0,0,0,0,0.05680352580043,0,0,0,0,0,0,0,0,0,-0.0358111739227676,0.123851898292451,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X000869.SZ,0,0,0,0.36263173076873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135256162239256,0,0,0,0,0,0,0,0,0.134669864450659,0,0,0,0,0,0,0,0,0,0,0.0456210245844239,0,0,0,0.123486729536993,0,0,0.08716795399549,0.0185337478172673,0,0,0,0,0,0
X002180.SZ,0,0,0,0,-0.130808693230038,0,0,0,0,-0.681176721344749,0,0,0,0,0,-0.0781599584206928,0,0,0,0,-0.0834906418434404,0,0,0,0,-0.0586668158373835,0,0,0,0,0,0.362299687823731,0,0,0,0,0,0,0,0,0,0,0,0.138495150548445,0,-0.240040130419016,0,0,0,0,0.160219882843937,4.33680868994202e-19,0,0,0,-0.131730360586742,0,0
X600699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379465215106446,0,0,0.443986479162806,0,0,0,0.0243027287746887,0,0.056831421746942,0,0,0,0,0.0343566947499654,0,0.0180529432624985,0.380741936545332,0,0,0,0,0,0,0.232195339925532,0,0,0,-0.207141979136908,-0.0329675760440776,0.0432730073488448,0,0,0,-0.145512427566528,0,0.277998224683827,0,0,0,0,0
X002508.SZ,8.67361737988404e-19,0,0,0,0,0.0492678053907703,0,0,0,0.117406821430294,1.73472347597681e-18,0,0,0,-0.0633731266344368,0,0.0526487940484512,-0.200980618034559,0,0.0458008539652633,0,0,0,0,0,0.196431860133488,0,0,-0.181937759771072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039727540488087,0,0.00382977653242658,0.0403987622158443,0.121066148864781,0,0,0,0.0940654968293368,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0.0180252929231161,0,0,0,0.144485884359753,0,0,0,0.187960945765944,0,0.30995461969434,0.307213337026623,0,0,0,0,0.300957278721101,0,0,0.0201725184680611,0,0,0,0,0,0,-0.0345506560222629,0,0,0,0,0,0,0,0,0,0,0,0,-0.056478701969088,0,-0.215424129902788,0,0,-0.0918596464777623,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0.355859029963796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434240790983405,0,0,0,0,0,0.329287108329168,0,0.611304420459441,0,0,0,0,0,0,0,-0.577772280818379,0,0,0,0,0,0,0,-0.0709953548905122,0.282364449613251,0,0,0,-0.230798642172922,-0.422181626931062,0,0,-0.344800410057702,0,0.389523764012431,0,0,0,0
X002179.SZ,0,0,0,0.0464516419068262,0,0,0,0,0,0,0,0,0,0.13184348710251,0,0,0,0,0,0,0,0,0,0,0,0.0516754177339486,0,0,0,0,0.129801793602743,0.0739302640947547,0.110923204827964,0.0939255140096583,0,0,0,0,0,0,0,0,0,0,0,0.00496411870339439,0,0,0,0,0,0,0,0,0,0,0,0
X600498.SH,0,0,0.0623836921497765,0,0,0,0,0,0,0,0,0,0,0.00441290755502469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570276897987964,0,0.0245694674913834,0.0113668485736077,0,0.113533295586923,0,0.147692305466353,0,0,0,0,0,0,0,0,0.0840525198445467,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0
Change_TY3M,0,0.107228332827449,0,0,0,0,0,0,0,0,0,0,0.135156803568724,0,0,0,0,0,0,0,0,0,0,0,0,-0.0675166895769074,0,0,0,0,0.00945404174327522,0,0.0171004175641606,0,-0.00708733184977596,0,0,0,0,0,0,-0.167291641343565,0,0.000573593187001005,0,0.0494505961573261,0,0,0,0,0,-0.100713324849494,0,0,0,0,0,0
