,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X000625.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X002304.SZ,X000596.SZ,X600031.SH,X000063.SZ,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X600703.SH,X000977.SZ,X002463.SZ,X600741.SH,X600372.SH,X002241.SZ,X002049.SZ,X600066.SH,X002028.SZ,X000661.SZ,X000921.SZ,X002129.SZ,X600584.SH,X600522.SH,X601877.SH,X000800.SZ,X601799.SH,X600566.SH,X600183.SH,X002074.SZ,X600418.SH,X002223.SZ,X002007.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002241.SZ,0,0,0,0,0,0,0,0,0,0.334996028964094,0.125907778063618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350560750578996,0,0,0,0,0,0,0.143656992953684,-0.0300340819153687,0,0.0835993292190438,0.166996912748173,0,0,0,0,0,0,0.00486541892005633,0,0,0,0,0.0166049627773101,0,0,0,0,0,0,0
X002049.SZ,0,0.102767034294495,0,0,0,0,0,0,0,0.00304093632697809,0,0,0,0,0,0,0,0,0,0.0869853680512877,0,0,0,0,0,0.0635001316217028,0,0.047694390375972,0,0,0,0,0,0,0,0,0,0.230764594305092,0,0,0,0.0425557571498148,0,-0.110036895961483,0.221267054845727,0,0,0,0,0,0,-0.00114157206393741,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,0,0,0,0,0,0.194965896274514,0,0,0,0.169066018919039,0,0,0,0,0,0,0.0114462694577061,0,0,-0.0410838508318318,0,0,0,0,0,0,0,0,0,0,0,0.25906464883066,0,0,0,0,0,0,0.164714895949161,0,0,0.104464249033073,0,0,0,0,0,-0.031322838934314,-0.142252988452782,0,0,0,0,0
X002028.SZ,0,0,0,0,0,0,0,0,0,0,0.00017786663947059,0,0,0,0,0.121414690949146,0,0,0,0,0,0,-0.0237717361489253,0,0,0,0,0,0,0,0,0,0,0.103057593504314,0,0,0,-0.0195040777994335,-0.27269722379623,0,0,0,0,0,0,0,0.0832457253713025,0,0,0,0,0,0.11338480859443,0,0,0,0,0,0
X000661.SZ,0,0,0,0,0.166467273053151,0,0,0,-0.111368111553915,0,0,0,0,0,0,0,0.612981275306242,0,0,0.00284658140338485,0,0,0,0,0,-0.0206447299201861,0,0.0755802801232145,0.131219759717424,0,0,0,0,0.207740073865727,0,0,0,0,0,0,0,0,-0.250545067645553,0,0,-0.15264162741489,0,0,0.193832652456946,0,0,0.162958251295333,-0.165866372477345,0,0,0,0,0,0
X000921.SZ,0,0,-0.0854564499454814,0,0,-0.0314786998263913,0,0.435464361284913,0.0798989534299856,0,0,0,0,0,0,0,0,0,0,0.031947335262756,0,0.0975785891883409,0,0,0,-0.0757749373509206,0,0,0.100041319637642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00729502879618959,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0.296395819436354,0,0,0,0,0.0827013235785465,0,0,0,0,0,0,0.221979568122762,0,0,0,0,0.108007962724812,0.0656830411772037,0,0,0,0.123988680968085,0,0,0,0,0,0,0,0.532788425103842,0,0,0,0,0.0354401407800656,0,0,0,0,0.356950641328464,0.200088773557107,-0.149290732185963,0,0,0,0,0,0
X600584.SH,0,0,0,0.316318523908016,0.0187813687885564,0.139924681432256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256141086331673,0,-0.0094156627938954,0,0.389700314187942,0,0.125973059077729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862861756075302,0,0,0,0,0,0,0,0,0,0.109208812720637,0.000441733443780241,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,-0.0397500216033977,0.0855388352775132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898804250982275,0,0.0549736650418545,0,0,0,0,0.158128712295573,-0.0477880225684976,0,0,0.147874685462252,0.173686156258328,0.00696120399836455,0,0,0,-0.0693871152721934,-0.0120230656001173,0,0.0927777349621513,0.0767276335371139,0,0,0,0,0,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0.0171909174483474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053740182221466,0,0,0,0.131173983246847,0,0,0,0,0,0.121530647860679,0,0,0,0,0.0348323985618476,0.0483742734117499,0,0,0,0,0,0.0508973912875875,0.0292660946512305,0,0,0,0,0,0.0278629539619386,0,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0.0578507206914571,0,0,0.11675247452115,0,0.0677828801052024,0,0,0,0,-0.0204086317247812,0,0,0,0,0,0,0,-0.279059927180573,0,0.288585680117512,0,0,0,0,0,0,0,0,0,0,0,0,0.0589826129253212,0,0,0,0,0,0,0.0309774629599744,0.210478527193725,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0
X601799.SH,0,0,0,0,0,0,0,0,0,0,0.119004037703528,0,0,0,0,0.120685082204714,0,0,1.73472347597681e-18,0,0,0,-0.0878132041139638,0,0.0556112780508222,0,0,-0.0451576324575004,0,0,0,0,0,0.0489710605531509,0,0,0,0,0,0,0,0,0,0,-0.0373875445706973,0,0.0813327193055213,0,-0.142657078182415,0,0,0.0519407508340245,0,0,0,0,0,0,0
X600566.SH,0,0,0,0,0.0127923643824153,0,0,0,0.0625611373972549,0,0,0,0,0,0,0,0,0,0,0,0.130336390949797,0,0,0,0.121604902504297,0,0,0,0,0,0,0,0,0.0678721828779539,0,0.0785441532420645,0.0924393098214049,0,0,0,0,0,0,0,0,0,0,0.122332960618339,0.0710545995693313,0,0,0.0155939649910729,0,0,0,0,0,0,0
X600183.SH,0,0,0,0,-0.0146754196248307,0,0,0,0,0.152156435884824,0,0,0,0.090516627261782,0,0,0,0,0,0,0,0,0,0,0,0,0.00584667701343231,0,0.141676392551681,0,0,0,0.129869824422642,0,0.0494192148941419,0,0,0.261757594516558,0.166954983361529,0,0,0,0,0,0,0,0,0,0,0,0,0.0150396893883537,0.0710592628807014,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0.0128320547615208,-0.0363712886385591,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.614469537335228,0,0,0,0,-0.0217155145800039,0.00904055556667753,0,0,0,0,0,0,0,0,0.0795800076428911,0,0,0,0,0,-0.040170706976846,0,0,0.0833622328091343,0,0,0,0,0.0174092307930475,0.000928348864893139,0.0885007378370206,0,0,0,0,0
X600418.SH,0,0,0,0,0,0,0,0,0,0,0.458934689925117,0,0,0,0,0,0,-0.172397587635987,0,0,0,0,0,0,0,0,0,0.0350469140677003,0,0,0,0,0,0.14690168317887,0,0,0.00536296967556965,0.0343708744953479,0,0.224742790156306,0,0.227445932080263,0.0288472364854886,0,0.330351478261652,0,0,0,0,0,0,0,-0.0905225004859314,-0.11166483867407,0,0,0,0,0
X002223.SZ,0,0,0,0,0,0.0118300044396748,0,0,0,0.029617942649514,0,0,0,0,0,0.0293792939565632,0,0.0179927494280425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123428834272583,0,0,0,0,0,0,0.107662629855801,0.0124204765414966,0,0,0,0.264962970685495,0,0,0,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0.0629522983107407,0,0,0,0.0336940990068335,0,0,0,0,0,0,0,0.0427075346920662,0,0.0898039024783728,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0572090358278862,0,0,0,0.0721785748299546,0,0,0,0,0,0,0.0285834759532047,0,0.267765136395545,0,0,0,0.052275828345022,0.0523229307724726,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0.0885399045747761,0,0.0872594722000296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812062993490107,0,0,-0.108893960418918,-0.00988044201730212,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.160531260929174,0,0,0,0.306505310264613,0,0,0,-0.0139124830389736,0,-0.0516520660500548,0,0,0,0,0
Change_TY3M,0,0,0,-0.0235795432803777,0,-0.0505162211283244,0,0,0,0,0,0,0,-0.0798050961043989,0,0,0,0.196352058267296,0,0,0.0644733686036902,0,0,0,0,0,0,0,0.109809806012771,0,0,0,0,0,0,0,0,0,-9.78986423300561e-05,0,0,0,-0.0534751962458815,0,-0.105904330439617,0,0.0654646653370316,0,0,0,0,0,-0.119927796134516,0,0,0,0,0,0
Slope,0,0,-0.121282763666041,0,0,0,0,0,0,0,0,0,0,-0.30018955140111,0,0,0,0,0,0,0,0,0,0,0,-0.0888270792886352,0,0,0,0,0,0,0,0,0,0,0.0501678656738746,0,0,0,0,0,0,0,0,0,0.080828513334703,0,0,0,0.0155594017999515,0,0.824134344543515,0.254067129199943,0,0,0,0,0
TED,0,0,0,0,0,0,0,0,0,0,-0.0776009562734589,0,0,0,0,0.064542311023699,0,0,0,0,0,0,0,0,0.0363104699747114,0,0,0,-0.14436297547947,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0595469820523695,0,0,-0.156462011038659,0,0.0214239646927005,0.0961541695697618,0,0,0,0,-0.0839432220933171,0.653141038188781,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,-0.148222008020814,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.151103426866637,0,0,0,0,0,0,-0.103824153826798,0,0,0,0,0,-0.071002473085153,0,0,0,0,0,0,0,0,0,0,0,0,-0.0968311160697113,0,0,0.0640546715866836,0.0337135176605332,-0.0428507193480523,0,0.586924250889938,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150856169454528,0,0,0,0.0588568869797616,0,-0.0147306293402475,0,0,0,0,0.0155916148718784,0,0,0.00781394545154541,-0.0349007342747326,0,0,0,1.73472347597681e-18,-0.0546939386535146,0,0,0,0,0,-0.0953004165364107,0,0,0,0,0,0,0.0778925362764816,0,0,0,0,0.0340878213504848,0,0.0783587999570413,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0.00215319045334383,0.00817407131433549,0,0,0.000323214987899181,0,0,0,0,0.00521441519442398,0,0,0,0,0,0,0,0,0,0,0,0,0.00194810547893764,-4.33680868994202e-19,0,0,-0.0070240139385512,0,0,0,0,0,0,0,0,0,0,-0.00623180365436989,0,0,0,0,-0.00719630585730155,0.00551405990770085,0,0,0,0,0,0,-0.0121947775014784,0.0433455752150048,0.0173121740459518,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0.00137858015922731,0,0,0,0,-0.00588074349873917,0,0,0,0,0,0,0,0,0,0,0,0,-0.000628273350812092,0,0,0,0,0,0,0,0.00637937036025976,0,0,0,0,0,0,-0.000768672357052494,0,0,0,0,0,0,0,0,0.00240172960783189,0,0,0,0,0,0,0
