,X600519.SH,X600104.SH,X000651.SZ,X000858.SZ,X002415.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X000568.SZ,X000338.SZ,X600031.SH,X600741.SH,X600703.SH,X300003.SZ,X600271.SH,X601877.SH,X300124.SZ,X002008.SZ,X000596.SZ,X600487.SH,X002236.SZ,X002456.SZ,X002007.SZ,X000100.SZ,X600809.SH,X002179.SZ,X600566.SH,X000661.SZ,X600498.SH,X600867.SH,X000625.SZ,X300146.SZ,X600066.SH,X002294.SZ,X600177.SH,X000157.SZ,X600089.SH,X000977.SZ,X002506.SZ,X300136.SZ,X600372.SH,X002241.SZ,X002180.SZ,X000981.SZ,X300142.SZ,X600522.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002506.SZ,0,0,0,0,-0.135444661224319,0,0,0.250327442421877,0,-0.0299231821893975,0,0.0367910873139505,0,0,0,-0.0657625611533123,0,0,0,0,0,0,0,0,0,0.0645454430128665,0,0,0,0,0,0.103813392439814,-0.0304816269037258,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0213853404045881,0,0,0,0,0,0,0,0.0144230387391927,0.024230721009623,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0.0591887720275426,0.114867609651923,0,0,0,0,0,0.0301366182199997,0.0261726869220386,0,0.0338076786343469,0,0,0,0,0.434010405919456,-0.118447032526456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207647881155689,0,0,0,0.52733782881802,0,0,0,0,0,0.0216090503272945,-0.0811519628196942,-0.069836748812084,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270611745952407,0,0,0,0.0792884944558811,0,0,0,0.024082554262082,0,0,0,0,0,0.0646497314265305,0.366671417420498,0,0,0,-0.0175324653480939,0,-0.0700199775141808,0,0,0,0,0,0.0231482509661703,0,0,0,0,-0.0973070095778157,0,0.00753306473553037,0.330371212593237,0,0,0.065151322558856,0.0301894495958206,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0314090549690773,0,0,0,0,0.172160749050915,0,0.0901384953302609,0,0,0,0.0097561475173425,0,0,0,0.119002336951372,0,0,0,0,0,0.154689603468112,0,0,0,0,0,0,0,0,0.169847298347233,0.0325581077620841,0,0,0,0,0,0,0,0,0.0193359029098922,0,0,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0.0493592688791957,0,0.108751367846686,0,0,0.0813392345161959,0,0.153119931835495,0,0,0,0.214829165711338,0,0,0,0,0,0,0,0,0,0,0.359128932857598,0.0458781779484094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0370559179230236,-0.00132339915591442,0,0,0,0,0,0
X000981.SZ,0,0,0,0,0,0,0,0,0,-0.114357848443375,0,0,0,0.0972996667075453,0,0.771179095928358,-0.436570562503711,0,-0.0382715058224366,0,0,0,0,0,0,0,0,0,-0.0588467927103215,0,0,0,0,0,-0.0430905786152748,0,0,0,0,0,0,0,0,0,0,0.0793472990555294,0,0,0,0,-0.0121709433485632,0.0572383795222588,0.0851742306664938,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0.000381054230449356,-0.0531328338833116,0,0,0.00910250492142794,0,0,0,0,0,0,0,0,0,0,0,0.146698676410352,0,0,0,0,0.484292745214403,0,0,0,0,0.138332226589256,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0781683702809281,0,0,0.0834826730119086,0,-0.0239695528511389,-0.11091051565444,0,0,0,-0.231134737344494,-0.572919404910675,0
X600522.SH,0,0,0,0,0,0,0,0.29144522765744,0,0.0949900474292439,0,0,0.0172922512431911,0,0,0,0,0,0,0.0945444168072999,0,0.00489599457880825,0.192837369497711,0,0,0,0,0.0964728268326396,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0187309520662577,0,0,0,0,0,0.126460867267272,0,-0.0123649280534925,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.370029672277181,0,0,0.13285327943861,0,0,0,0,0,0,0,0,0.0384512681919474,0.102521244622581,0.0829641825072751,0,0.411076890543889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151454540420445,0,0,0.254814240848324,0,0,0,0,0,-0.0162536719940547,-0.00437580520006076,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0.136665540637024,0,0,0,-0.0427596973753301,0,0,0,0,0,0,0.288201095155051,0,0,0.0648751615669421,0,0,0,0,0.00225121501424593,0,0.0440266553008362,0,0,0,0,0.157616750729383,0,0.0815581977095611,0,0,0,0,0,-0.244061201341656,0,0,0,0,0,0,0,0,-0.48593412529348,0,-0.0960602616180324,-0.157486850410395,0,0.322499254972433,0,0,0,0
Slope,0,0.285245847918298,0,0,0,0,0,0,0,0.00360692438787828,0.679010017016753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788715580539048,0,0,0,0,0.222730083845582,0,0,0,0,0,0,0,-1.12372535658348,0,0,0,0,0,0.380862651883996,0,0,0,-0.22405687284993,0,-1.17844635551557,0,0,0,0,0,0
TED,0,0.0165807480408074,0,0,0.254128873847926,0,0,0,0,-0.718694104360343,0.276720242449301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168424676285207,0,0,0,0,0,0.954007963900207,0,0,0,0,0,0,0,0,0.0424433915192609,0,0,0,-0.267211770338684,0,0.423746535436088,-0.0634520795110059,0,0,-1.23886771988456,-0.208689324797787,0,0,0,0,0,0,0
RealEstate_excess,0,0.0156839492833953,0,0,0,0,0,0,0,0,0,0,0,-0.0920222098899413,0,0.0338239539513243,0,-0.0679284974332862,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.00931933936650473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685614491533261,0,0,0,0,0.0352183393321815,0,0,0,-0.0179394188609249,-0.0165607534793341,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,-0.208824565428208,0,0.131138223823992,0,0,0,-0.0497284029710676,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448412130150875,0.108886023525349,0,0.19137231299621,0,0,0,0,0,0,0,0,0,-0.0242491208559338,0,0,0,0,0,0,1.38777878078145e-17,0,-0.0318512414776642,-0.0399970901730608,0,0,0,0,0,0
MKvol,0,2.71050543121376e-20,0,0,0,0,-0.000676831466989508,0,0,0,0.000875009479714434,0,0,-0.0040392130419577,0,0,0.000533494501575408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110057670251106,0,-0.000544127434699916,-0.00106626430290213,0,0,0,0,0,0,0,0,0.000976203405090299,0,0,0,-0.000493195716012913,0,0,0,0.00149778873940573,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208613539957646,-0.0139750676319036,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00464865843701472,-0.00240560455438201,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00264957079504475,0,0,0,0,0,0,-0.00232424118981137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00449234139957938,-0.00306191574876547,0.00642382469566641,-0.00815673004615223,0,0,0,0,0,0
