,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X002292.SZ,X002236.SZ,X600066.SH,X000338.SZ,X002241.SZ,X002475.SZ,X600741.SH,X600089.SH,X000559.SZ,X601877.SH,X002129.SZ,X600177.SH,X000547.SZ,X000016.SZ,X600839.SH,X600435.SH,X000568.SZ,X002465.SZ,X300124.SZ,X300003.SZ,X600582.SH,X002294.SZ,X600252.SH,X002456.SZ,X002276.SZ,X000066.SZ,X002179.SZ,X000550.SZ,X002007.SZ,X000581.SZ,X000800.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002129.SZ,0,0,-0.0482744891085032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11596031272033,0.211607210610208,0,0,0,0.189316183274805,0,0,0,0,0,0.185656005147464,0,0,0,0,0.00315533088382481,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.016617296658293,0,0,0,0,0,0
X600177.SH,0,0,0,0.10704594857938,0,0,0,0.0838879465705526,0,0,0,0,0,0,0.0851500829809386,0.0781132373849868,0,0,0,0,0,0,0,0,0,0.0778447098016745,0,0,0,0,0,0,0.0114639666644568,0,0.0200513807863562,0,0,0,0,0,0,0,0,0,0,0.0395293281696981,0,0,0.202190469330847,0,0,0,0,0,0,0,0,0,0
X000547.SZ,0,0,0,0,0,0,0,0,0,0,0,0.013112043708235,0,0,0,0,0.292197507474327,0,0,0,0,0,0,0,0,0,0.066289528372662,0,0,0,0,0,0.120652331560623,0,0,0,0,0,0.0773140081301159,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281463736734408,0,0,0,0,0,0,0
X000016.SZ,0,-0.0129466095098146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0296671180577811,0,0,0.110921235456924,0.0775166720549242,0,0,0,0,0,0,0,0,0,0,0,0,0.102829630398728,0,0,0,-0.12735327743134,-0.129687998837004,0,0.0851361321414092,0,0,0,0,-0.0222552283408972,0,0,0.0155204572558918,-0.00895521487540007,0,0,0,0.219535386268878,0,0
X600839.SH,0,0,0,0,0,0,0,0,-0.0732221559679891,0,0,0.355862900760631,0,0,0.0250867404324238,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.112573258586078,0,0,0,0,0,0,0.115389882017276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0511270816861927,0,0,0,-0.0904211142346697,0,0
X600435.SH,0,0,0,0,0,0,0,0,0.0562618645397036,0,0,0.367870679409611,0,0,0,0,0.164061015465691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469813712407128,0,0.0506242169167574,0,0,0,0,0,0,0,0,0,0,0,0.0636927449587661,0,0,0,0.0159676371370221,0,0,0,-0.00319061662972848,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.0130354161586355,0,0.456951845593658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100838579964489,0,0,0.223139229782892,0,0,0,0,0,-0.0386708139825647,-0.0276651758766387,0.170121866494916,0,0,-0.225271989478231,0,0
X002465.SZ,0,0,0,0.0295369211908781,0,0,0,0,0.112134221782073,0,0,0.269916963840983,0,-0.0637189991474307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0487590481459532,0,0,0,0,0,0.0714826267888238,0,0,0,0.0315459983930272,0,0.0131790207910084,0,0.106032176007484,0,0,0,0,0,0,0.00591429114526281,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0656431238071351,0,0,0,0.242252851463176,0,0,0,0,0,0,0.0606818093090929,0,0.244269455840347,0,0.0233818116427342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10776398646086,0,0.242266125071779,0.303568181145301,0,0,0,0,0,0,0,0.0631807604010605,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.330266513745557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255615674446181,0,0,0,0,0,0.0905503061133733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156519684741194,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0
