,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X600690.SH,X003816.SZ,X600809.SH,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X000625.SZ,X000063.SZ,X002304.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X002463.SZ,X600372.SH,X600703.SH,X000157.SZ,X600584.SH,X002028.SZ,X000977.SZ,X600741.SH,X600522.SH,X600183.SH,X002236.SZ,X600066.SH,X002049.SZ,X600418.SH,X601877.SH,X000921.SZ,X000661.SZ,X000800.SZ,X002223.SZ,X002180.SZ,X600487.SH,X600460.SH,X601799.SH,X600177.SH,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368177222443882,-0.127316438864273,0,0,0,0,0.132223114365996,0,-0.100983177421402,0,0,0,0,0,0,0,0.351305549560047,0,0,0,0,0,0,0.228568770958216,0,0.0839311044246116,0,0,0,0,0,0.00937530328584653,0,0.104196322081189,0,0,0,0,0,0.0312031638355836,0.148188704883911,0,0,0,0,0
X600104.SH,0,0,-3.46944695195361e-18,0,0,0.0809998843398766,0,0,0,0,0,0,0.0390684346137772,0.156476741221585,0,0,0,0,0,0,0,-0.0241286564959357,0,0,0,-0.0101612462462757,0,0,0,0,0,0,0,0,0,0,-0.0565990820203467,0,0.0295330045858949,0,0,0,0,0,0,0,0.0920438467592377,0.0173226168565318,0,0.103068935937162,0,0,0,0,0,0,-0.0274484109081964,0,0
X000725.SZ,0,0,0,0,0,0.0575435852591726,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187831649990403,0,0,0,0,0.749884395493471,0,0.0149083242388269,0,0,0,-0.0474894413491201,0,0,0,0,0,0,0,0,-0.00691128006457446,0,0,0,0,0,0.328469730338635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600031.SH,-0.111514692825119,0,0,0,0,0.0931729128742097,0,0,0,0,0,0,0,0,0,0,0,0,0.302588181644551,0,0,0,0,0.318356998396753,0,-0.0759323602566026,0,0,0.0885290173705425,0,0,6.93889390390723e-18,0.0107856340685926,0,0,0,0,0,0.103637078103144,0,0,0,-0.328634093999159,-3.46944695195361e-18,0,0,0,0,0,0.034354974891765,0,-0.0617968836181069,0,0,0,0,0.0110112269578862,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,-0.0714594523104031,0,0,0,0,0,0,0.0117823523178219,0,0,0,0,0.25790184950794,0,0,0,0,0.0234324655754277,0,0,0,0.0909036923706813,0,0,0,0,0.0176640941878116,0,0.327807813984813,0,0,0,0,-0.0425474153510073,0,0,0,0.0559077310684869,0,0.105301203055591,0,0,0,0,0,0,-0.0313613719134732,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0323879124086131,0,0,0,0,0,0,0,0,0,0.187922165265084,0,0,0,0,0.134879045949033,0,0,0,0.149184271965806,0,0,0,0,0,0.026597326227051,0,0,0,0,0,0,0,0,0,0.0635676756717025,0,0,0,0.0244810076432139,0.0499172243803483,-0.0331313880593238,0,0,0.0236559578749417,0,0
X002304.SZ,0,0,0.0767529641342915,0,0.200149118221354,0,0,0.138666169841257,0,0.218742257051874,0,0,0,0,0,0,0,0.0154911286252284,0.0204918855602511,0,0,0,-0.0024390473967813,0,0,0,0,0,0,0,0,0.0415434605399585,0,-0.0336491594914924,0,0.0934643222278033,-0.0617796779103619,0,0,0,0.0541949119579618,0.0542364176898955,0,0,0,0,0,0,0,0,0,0.0259223143289791,-0.0097466038491335,0,0,0,0.00768478716019177,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,-0.351553941207831,0,0,0,0.00377692056481032,0,0,0,0.263089721445044,0,0.334559813558396,0.100774063334264,0.0201806478660762,0,0,0,0,0,0,0,0,0,0,0,0.0466208932032333,0.0736469893315541,0,0,0.134254200263924,0,-0.126965987265704,0,0,0,0.172725479810195,0,0,0,0,0.0040348706541621,0.108313946061454,0,-0.0545367938832266,0,0,0,-0.0184382103132173,0,0
X000338.SZ,0,0,0,-0.109284500062736,0,0.290182491635262,0,0,0,0,-0.0911731129129258,0,0,0.273223196331649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110466730596749,0,0,0,0,0,0.123454382182005,0,-0.150473722190019,0,0.0958469568067404,0,0,0,0,0.143920231411784,0,0,0,0,0,-0.0567219755636708,-0.031300394475589,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0.507500466635367,0,0.179748704873969,0.171579080727178,0,0,0,0,0,0,0,0,0,0,0,0.0174590081059555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0240900236299024,0,0.143185213260726,0.127322065736268,0,0,0,-0.036742064917853,-0.048334340306911,0.0892397733744873,0,0.0846076477149254,0,0,0,0,0,0,0,0,0
X002179.SZ,0,0,-0.227820493910248,0,0,0,0.0520208149889819,0,0,0,0,0,0,0,0,0,0,0.134382429913176,0,0,0,0,0,-0.0743021261950084,0,0,0.307844033434439,0,0,-1.73472347597681e-18,0,0,0,0,0.0100886084462889,0,0,0,0,0.216876655862553,0,0,0,0.0801966126169565,0,0,0,0.253103455838728,0,0,0,0,0,0,0,0,-0.0340421353069369,0,0
X300014.SZ,0,0,0.363563730734183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298375402753981,-0.0688024017869811,0.180789075666544,0.0537791052968632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110811840254127,0,0,0,0,0,0,0,0,0,0,0.00217761255018115,0,-0.124049591274211,0,0.215678508746697,0,-0.0030223606333619,-4.33680868994202e-19,0,0,0,-0.0296497285714724,0,0
