,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600741.SH,X002129.SZ,X600703.SH,X600118.SH,X600271.SH,X002241.SZ,X600177.SH,X600066.SH,X600582.SH,X002236.SZ,X601877.SH,X000581.SZ,X000800.SZ,X000568.SZ,X000559.SZ,X000623.SZ,X000550.SZ,X600839.SH,X002475.SZ,X600060.SH,X002294.SZ,X000977.SZ,X300124.SZ,X002007.SZ,X002292.SZ,X000869.SZ,X000050.SZ,X300146.SZ,X000400.SZ,X002456.SZ,X002008.SZ,X002465.SZ,X600252.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600177.SH,0.138132938603173,0,0,0.0391437580211937,0,0,0,0,0.0723326649346156,0,0,0.0648237103685916,0,0,0,0.133268612077945,0,0,0,0,0,0,0,0,0.105285718265342,0,0,0,0,0,0,0,0,0,-0.10959808762138,0,0,0,0,0,0,0,0,0,0,0,0.202205066294536,0,0,0.0188148523268635,0,0.0189245107822362,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0.115397896762224,0,0,0,0,0,0,8.67361737988404e-19,0,0.0621333561712499,0,0,0,0.0177270744084133,0.0196600350219189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198310585686609,0,0,0,0.0311873911383314,0,0,0,0,0,0.102301779994899,0,0,0,0,0,0,0,0,0,0.0150637683022798,0,0,0,0,0,0
X600582.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0802925489531492,0,0,0,0,0,0,0.0502842513083752,0,0,0,0,0,0.227674112667733,0,0,0,0,0,0,0,0.125274392788478,0.00764815205385045,0,0,0,0,0.288418433664295,0.032923267777923,0,0,0,-0.0541522412538875,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0.0200741579433853,0,0,0,0,0.140311483854904,0,0,0,0,0,0,0,0,0,0,0,0.298429538382098,0,0,0,0,0,0,-0.00738375645991091,0,0,0.197936547427281,0,0,0,0.42647091590202,0,0,0,0,0,0.0226545646785945,0,0,0.0845869084661823,0,0,0,0,0,0,-0.012559193797492,-0.0477455176651864,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978231772304606,-0.0671293855056876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0751570371363309,0,0,0,0.0867541061305,0,0.0282057477668775,0,0,0,0,0,-0.090288581756203,0,0,0,0,0,0,0
X000581.SZ,0,0,0,0,0,-0.0814904195060763,0,0,0,0,0,0,0.139649421048467,0,0,0,0,-0.00968623669331179,0,0,0,0.0981408692052357,0,0.0849271370914172,0,0,0,0,0,0,0,0.0243618238987272,0,0,-0.137551896897424,0.107158727604078,0.0123616920315208,0,0,0,0,0,0,0,0.0634246557623349,0,0.288056902079605,0,0,0,0,0,-0.0241180333781395,0,0,0,0,0,0
X000800.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0287179595055575,0,0,0,0.261675360114408,0.0946231573651664,0,0,0,0,0,-0.130936072302601,0,0,0,0,0,0,0,0,0,0,0.157854162854068,0,0,0.19900571917131,0.0392430589440773,0,-0.212114371469089,0,0,0.0879820041937698,0,0,0,0,0,-0.0158392564336368,0,-0.03833693405571,0.0376405277974151,0,0,0,0,0,0
X000568.SZ,0,0,0.00524007846146221,0,0,0,0.22188892151006,0.0896565446419266,0,0,0,0,0,0,0.0923270072184064,0,0,0,0,0,0,0,0,0,0,0.0532657751160988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00820011158800253,0,0,0,0,0,0.0927405307958564,0,-0.00345127014847018,0.0367735319515963,0,0,0,0,0,0
X000559.SZ,0.035361363131729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720787337015114,0,0,0,0.110389403311541,0.00744127482430419,0,0,0,0,0,0,0,0,0,0.108991256944775,0,0,0,0,0.0828398042826763,0,0.21012378584063,0.077694409084423,0,0.342848776877393,0,0.123538974915855,0,0,-0.0111427318502197,-0.0461697396711069,0,0,0,0,0,0
X000623.SZ,0,0,0.105842049730509,0,0.125929893408362,0,0,0,0,0,0,0,0,0.153945153620615,0,0,0,0,0,0,0,0,0,0,0.0422021829698752,0,0,0,0,0,0.285415859375093,0.126893531087926,0,0,0,0,0.0763769677636273,0.0635674780856594,0,0,0,0,0,-3.46944695195361e-18,-0.0548461420168431,0,0,0,0,0.0912321275372795,0,-0.0391715351965713,-0.0444867100833449,0,0,0,0,0,0
