,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X000100.SZ,X600690.SH,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600118.SH,X600271.SH,X000550.SZ,X601877.SH,X000581.SZ,X000800.SZ,X002236.SZ,X002475.SZ,X600582.SH,X000623.SZ,X600060.SH,X600177.SH,X000568.SZ,X300124.SZ,X002129.SZ,X000559.SZ,X000050.SZ,X000977.SZ,X002294.SZ,X000400.SZ,X002456.SZ,X300146.SZ,X600839.SH,X300003.SZ,X002465.SZ,X002292.SZ,X000869.SZ,X600312.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000869.SZ,0,0,0,0,0,0,0.330307779387315,0.116176402066528,0,0.00140867953902956,0,0,0,0,0,0.00709834320882414,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0,0.203787536688798,-0.0946684244955335,0,0,0.165931924016465,0,0,0,0,0,0,-0.0336076244341447,0,0,0,0,0,0,0,-0.0118451429672731,0,0,0,-0.00858952650469271,0,0,0,0,0,0
X600312.SH,0,0,-0.0898215573123537,0,0,0,0,0,0,0,0,0,-0.255299063883483,0,0,0,0,6.93889390390723e-18,0,0,0.4214029514751,0.0667364068246418,0,0.117761559809874,0,0,0,0,0,0.070247572318325,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0105051404108144,0.175832699532357,0.15233453979602,0,0,0,0,0,0,0.0527738124968513,0,0.0144000450197344,-0.00571954185983728,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642068721896535,0,0,0,0.0781704818167216,0,0,0,0,0,0,0,0.122390595732819,0,0.30211814082995,0,0,0,0,0,0,-0.0294992429051901,0.0929271770529592,0.146413060440071,0,0,0.0786181417305695,0,0,0,-0.000632543233408629,0,0,0,0,0,0
Change_TY3M,0,0,-0.00436222321750014,0,0,0,0,0,0,0,0.0632726405127354,0,0,0,0,0.0493863708090459,0,0,0,-1.73472347597681e-18,0,0.113761052688193,0,0,0,0,0,0,0.00512191208367595,0,3.46944695195361e-18,0,0,0,-0.125660705556423,0,0,0,-0.0726153997894272,0,0,0,0,0,0,0,0,0,0,0,0,0.00529849353675496,0.0119045127399118,-0.0733028827896405,-0.036586561663527,0,0,0,0
Slope,0,0,0,0.15120924910547,0,0,-0.479314067995035,0,0,0,0,0,0,0,0,-0.504526646360559,0.19585917007154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614610658325472,0,0,0,0,0,0.0727617592018972,0,0,0,0,0,0.280602958262603,0,0,0.371976328155729,0,0,0,0,0,0,-0.145736695786312,0,0,0,-0.574624886737758,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6446047221361,0,0,0,0,0,0,0,0,-0.562706101774586,0,0,0,0,0,0,0.0155513960472769,0.170556660783839,0,-2.02532752759852,0,0,0,-3.66613814138417,0.345515452788248,0,0,0,0,0.226358826995208,0,1.57483088965925,-2.82324594804927,0,0,0,-1.69342730169957,0,0,-1.89434871220496,0,-5.25416334738878,0,0
RealEstate_excess,0,0,-0.593336620494336,0,0,0,-0.0896251078364236,0,0,0,0,0,0,0,0,0.0578033610204012,0,0,0,0,0,0,0,0,0,0,0.0689734404997513,0,0,0,0,0,0.0178069263198802,-0.0127934649078817,0,0,0.425640657299533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0143059512082076,0,-0.460459641195746,0,0,0,0
MKreturn,0,0,-0.333854385154505,-0.0989616073268993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0950672049319431,0,-0.127233712112122,0.0334048128085021,0,0,0,0,0,0,0,-0.00641712151829609,0,0,0,0,-0.00841436325818068,0,0,0,0,0,0,0,0.0318445208765337,-0.0140056731873389,-0.388418061852718,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158538846555051,-0.00399697819871756,0,0,0,0,0,0,0,0,0,-0.00523280444305841,0,0,0,0,0,0,0,0,0,0,0,0,0.00578220628033296,0,0,0,0,0,0,0.00866322592464914,0,0,0,-0.0346733028597092,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.0375792202151278,-0.0277007139057609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473551272047446,-0.0690827598956956,-0.0154616049362319,0,0,0,0,0,0.0132033530651439,0,0,0,0,0,0,0,0.0203390287962949,-0.0680165555094045,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000572896310185511,0,0.000997165641150967,0,0,0,0,0,0,-0.0108493906028663,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00181191323849863,0,0,-0.00862196421024338,0.00349942656175522,0,0,0,0.119356588132696,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00242055770440851,-0.000400042384782515,0,0.00779617761536271,0,0,0,0,0,0,0,0.000577862473195596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14342626847816e-05,0.00265986621296158,0.00158071299930412,0,0,0,0,0
