,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X000625.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X600703.SH,X002129.SZ,X002236.SZ,X600089.SH,X600372.SH,X002049.SZ,X002241.SZ,X000661.SZ,X600584.SH,X000157.SZ,X600741.SH,X601877.SH,X600522.SH,X000977.SZ,X600418.SH,X000800.SZ,X002074.SZ,X002007.SZ,X600183.SH,X601799.SH,X002463.SZ,X300142.SZ,X600702.SH,X002456.SZ,X002180.SZ,X002028.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600702.SH,0,0.401278710936225,0,0,0.112786663850124,0.179414339611849,0,0,0,0,0,0,0,0,0,0,0,0.0804574597544443,0,0,0,0,-4.33680868994202e-19,0,-1.73472347597681e-18,0,0,0,0.217192296307971,0,0.0250233500243975,0,0,0,0,0,0,0.0896096277535873,0,0,0,0,-0.0825263172573841,0,0.0690802490440219,0,0,0,0,0.0565964075923382,-0.0114703744253272,0.0125234605829333,-0.0301574997785737,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.16000420981112,0,0,0,-0.223213325366179,0.406449032620779,0,0,0,0,0,0.0731320951375719,0,0.169273900912717,0,0,0,0.580597010381896,-0.23973254364981,0,0,0,0,0,0,0,0,0,0,0.177700311995732,0.0450390447347371,-0.145595551043961,0,0,0,0,-0.541614324471201,0,0,0.0584018210621445,0,0,0.0691532375456523,0,0,0,0
X002180.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115055957757661,0.102269271461979,0,0,0,0.292531662953912,0,0,0.129041110299659,0,0,0,0,0,0,0,0,0,-0.126463334507359,0,0,0,0,0,0,0,0,0,0,0.0238022087576528,0,0,0,-0.159135545844868,-0.0349370767624397,0,-0.00653615169624406,-0.0192564250873926,-0.0398231374480565,0,0,0,0,0
X002028.SZ,0.234579485049083,0,0,0.0456302666061731,0,0,0,0,0,0,0,0,0,0,0,0.131050715389677,0.0877866587271287,-0.055556107241124,0,0,0,0.0993790034545629,0,0,0.185514649488181,0,0,0,0,-0.17436626635066,0,0,0,0,0,0,0,0.0078734356400602,0,0,0,0,0.243143741138467,0,0,0,0,0,0,0.0863869457841704,0.142810910039702,0.0321744536769511,-0.0360748200745603,0,0,0,0,0,0
X000733.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0991770393465774,0,0,0,0,0,0,0,0,0.58327311474313,0,0,0,0.0965592490695078,0,0,0,0,0,0.2749264504663,0,0,0,0.0788100315920678,0,-0.0544679104102964,0,0,0,0,-0.0152980102632524,0,0,0,-0.0152708867901754,0,0,0,0,0.0520552226756481,-0.0987481201055671,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.0528226503729657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340312513706863,0,0,0,0,0,0,-0.107965723081346,-0.311828498157524,0,0,0,0,0,0,0.0241118766235772,0,0,0,0,0,0,0.0371988134251163,0,0,0,0,0.308120573183991,0,0,-0.0417159906455339,0.0388921124481153,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,-0.677228118294685,0,0,0,0,0,0,0,-0.148000010301898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193600757358452,0,0,0,0,0,0,0,0,0.956655214959046,-0.48626825925179,-0.205304464551868,0,0.652518575150072,0,0,1.45996672073299,0,0,0,-0.621453696458008,0,0
TED,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0632721954407568,0,0,-0.25164775046846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137544223174804,-0.111571595632406,0.13406122760003,0,0,0,-0.0747965837437621,-0.04035234725353,0,0,-0.0769379769868197,0,0.206675870024505,0,0,0,0,0,0,-0.335980942197506,0.543477127072942,0,0,0,0,0,0,0
RealEstate_excess,0.149818934696304,0,0,0,0,0,0.0589695823293501,0,0,0,0,0.0310442312634875,-0.0405922900188638,0,0,0,0,0,0,0,0.161208494912699,0,0,0,0,-0.0349977942390285,0,0,0,0,0,0,-0.221233264546011,0,0,0,0.0166626946868902,0,0,0,0,0,0,0,0,-0.325977382280149,0.0195863933726413,0.0702509326724045,0,0.00233098876572893,0,-0.00155619342475019,-0.0292482878136538,0,0,0,0,0,0
MKreturn,0,0,0,0,-0.0010626470921449,0,0,0,0,0,0.178293774050094,0,0.102026437766232,0,0,0,-0.0470571030079606,0,0,0,0,-0.000348667548985741,-0.00492143779728301,0.0566289734814718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0625505474031417,0.0297725252926081,-0.0556757731702768,0.0380345080124872,0,0,0,0,0.00235187542477455,-0.0110838067324826,-0.0345106336376806,0,0,0,0,0
