,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X600741.SH,X600372.SH,X000157.SZ,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X600118.SH,X002236.SZ,X000550.SZ,X601877.SH,X600177.SH,X002475.SZ,X000581.SZ,X000800.SZ,X600582.SH,X000568.SZ,X002129.SZ,X300124.SZ,X002294.SZ,X000623.SZ,X002292.SZ,X000559.SZ,X600060.SH,X300003.SZ,X000050.SZ,X002456.SZ,X000400.SZ,X000977.SZ,X000869.SZ,X600839.SH,X300146.SZ,X002465.SZ,X002038.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195225870406243,0.022289245087671,0,0,0,0,0,0.100948185970659,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0479132097559187,-0.00836327357418928,0,0.141654364168137,0,0,0,0,0.27145035995562,0,0,0,-0.0553237418490486,-0.0119286504526015,0,0,0,0,0,0
X000559.SZ,0,0,0,0,0,0,-0.127075423862021,0,0,0,0,0,0,0,0,0,0.122118529203277,0,0,0,0,0,0,0,0,0,0,0.289742096522796,0.0379806311483481,0,0,0,0,0,0,0,0,0,0.195270465836975,0.186161085378492,0.130547812210065,0.109532923182752,0,0,0,0,0,0.106883256818203,0,0,0,0,0,0.123879353805449,0,0,0,0,0
X600060.SH,0,0,0,0,0,0,0.0258121200114974,0,0,0,0,0,0.253748222672751,0,0,0,0,0,0,0,0,0,0,0,0.259567730586103,0,0,0,0.0684909512022455,0,0,0,0,0.0633812229171194,0,0,0,0.0800014984724259,0,0,0.239146605505518,0,0,0,0,0.126814434862534,-1.73472347597681e-18,0,0,0,0,-0.0873421538083373,-0.0180684453271884,0,0,0,0.151705724886928,0,0
X300003.SZ,0,0,0,0,0,0,0,-0.0566488725782263,0,0,0,-0.202773083638224,-0.0160693005438255,0,0,0,0,0,0,0,0,0.0173058744054808,0,0,0,0,0,0.141339765395478,0,0,0,0,0,0,0,0,0.0503163398805083,0,0,0,0,0,0,0,0,0,0,0.522890538464827,0,-0.210685322635632,0,0,-0.00407192035661654,0,0,0,0,0,0
X000050.SZ,0,0,0,-0.123122984320801,0,0,0,0,0,0,0,0,0,0,0,0,-0.0491458707783568,0,-0.0771560228987787,0,0,0,0,0,0,0,0,0,0,0.0503027935620182,-0.0950013095160812,0,0.38688758605511,0.0909758338500169,0,0,0,0.190546024647232,0,0,0,0,0,0,0,0.581533353779849,0,0,0,0,0,0.0844192241340853,0.0338457813117554,0,0.14631536777982,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126512350539593,0.0902514728042038,0,0,0,0,0.17805379069893,0,0,0.211594165547774,0,0.0397777242285821,0,0,0,0,0,0.110697159563562,0,0,0,0,0,0,0.263064543431819,0.162615282791911,0,0.117180261401545,0,0,0.0285259794208918,0,0,0,0,0,0
X000400.SZ,0,0,0,0.12770539761454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209673689761145,0.0587048703442199,0,0,0,0.0457552468630287,0,0,0.111231737651538,0,0,0,0,0,0,0,0,0,-0.0775392957173532,0,0,0,0,-0.0667213539167995,0,0,0,0.283973125949928,0,0,-0.00244232287774162,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0109745821535295,0.0888324002697364,0,0,0,0,0.00135437353053862,0,0,-0.0500302047706612,0.0845900430137312,0,0,0,0,0,0,0,0,0,0,0,0.0151608250982629,0,0,0.137336565402816,0.0761281226644574,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126075388126974,-0.0352582244272755,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0.358160621638286,0,0,0,0,0.0383628045893403,0,0,0,0,0.0126518292318159,0,-0.039174865565826,0,0,0,0,0,0,0,0,0,0,0,0.199604745448739,0.135736950745629,0,0,0,-0.0194008106565646,0,0,0,0,0,0,-0.00428035097639144,0,0,0,0,0,0,0,0,0.00439322984863458,0,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,0.0361667052892091,0,0,0.185075776857165,0.12221031997765,0,0,0,0,0,0,0,0,0.0294720443841651,0,0,0,0,0,0,0.0694765372563292,0.0268982582235483,0,0,0.254217448069259,0,0,0.164637403997375,0,0,0.17010908774851,0,0.0649288078094739,0,0,0,0,0,0,0,0,0,0,0,-0.0128253377962402,0,0,0,0,0,0
