,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X000338.SZ,X600372.SH,X600741.SH,X000157.SZ,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600271.SH,X002236.SZ,X600118.SH,X000581.SZ,X601877.SH,X002475.SZ,X000550.SZ,X600177.SH,X000800.SZ,X600582.SH,X002129.SZ,X000568.SZ,X300124.SZ,X002294.SZ,X000559.SZ,X000623.SZ,X002292.SZ,X600060.SH,X000050.SZ,X300003.SZ,X002456.SZ,X000400.SZ,X000869.SZ,X300146.SZ,X000977.SZ,X002465.SZ,X600839.SH,X002007.SZ,X600312.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002456.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0902514900965201,0.0126321371704026,0.178065092065458,0,0,0,0,0,0,0,0.211611126870817,0.0397806921945135,0,0,0,0,0,0,0.110693669041163,0,0,0,0.263058096273686,0,0.162627111366412,0,0,0.117181103012972,0,0,0.0285264886048653,0,0,0,0,0,0
X000400.SZ,0,0,0,0.151089796896825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643056977707933,0.0148169869091068,0,0,0.0160733132736304,0,0.0180560559170829,0,0.130617049602782,0,0,0,0,0,0.0202355865089143,0,0,-0.0861428275316996,0,0,0,0,0,0,0,-0.0861723855673161,0,0.277553829345631,0,0,-0.00213547217198002,0,0,0,0,0,0
X000869.SZ,0,0,0,0,0,0,0.30545039140415,2.77555756156289e-17,0,0,0,0,0,0,0,0,0.0449878932381263,0,-0.0263266427530301,0,0,0,0,0,0,0,0,0,0,0,0.212550918354668,0,0.126946522850324,0,0,0,0,0,0,0,0,0,-0.00996205702743386,0,0,0,0,0,0,0,0,0.00654290257777524,0,0,0,0,0,0,0
X300146.SZ,0,0,-0.100925918486564,0.0727520889285959,0,0,0,0,0,-0.0754832294805951,0,0,0,0,0,0,0,0,0,-0.0675239249211855,0,0.0771488305100196,0.0540201198318506,-0.0195154298628838,0,0,0,0,0,0,0,0,0,0.226170101779159,0,0,0,0,0.267849977795521,1.38777878078145e-17,0,0,0,0,0,0,0,0,0.226182774031073,0,0,0,0.0100849812444395,0,0,0,0,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0207311629916977,0.0916769833795181,0,0,0,0,0,0,-0.051934566210146,0,0.0817780249450464,0,0,0,0,0,0,0,0,0,0,0,0.0166476862714942,0,0.0523136430400571,0,0.143429511638965,0,0,0,0.0214482841112758,0,0,0,0,0,0,0,0,0,-0.130720369869293,-0.0379506728533314,0,0,0,0,0,0
X002465.SZ,0,0,0,0,0,0,0,-0.0727180795522823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297839393836582,0,0.195719057954059,0,0,0,0,0.00477166732855609,0.115558928701504,0,0.0462691478328466,0,0,0,0.100834516101429,0.0630200844950196,0.190494864580575,0,0,0.173789070880656,0,0,0,0,0,0,0,0,-0.0566451417102011,0,0,-0.00364279243809656,0,0,0,0,0,0
X600839.SH,0,0,0,0,0,0,0,0,0,0,0,0.273426249703626,0.109556856135433,0,0,0,0,0.0569160764915278,0,0,0,0.0668672042931399,0,0,0.0576407106204836,0,0,0,0,0.0792648867483411,0,0.158234151852698,0,0.0183362663541764,0,0,0.0444825354665146,0,0.199449571332127,0.0342092502275824,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108044904853913,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130684094045876,0,0.106762188209448,0,0,0,0,0,0,0,0,0,0.340584717015083,0,0,0,0,0,0,0,0,0.015242107660275,0,0,0,0.0813495765271093,0,0.0288684628737838,0.011084945002052,0,0,0,-0.0492303667076317,0.0141153093593686,0,0,0,0,0,0
X600312.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520825878897557,0,0,0.048728012480828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765612704436383,0.00811625644881192,0,0,0.121429311078984,0.142408079430935,0,0,0,0.0134431219155231,0,0,0,0,0.0168145126317704,-0.0122735554729733,0,0,0,0,0,0
Change_TY3M,0,0,0,-0.052261876816465,0,-0.0060735214509309,-0.0223200625413238,0,0,0.0742849731765668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142941786249627,0,0,0.0478861865856659,0,0.0447294575443706,0,-0.0550770561673318,0,0,0,0,0,0,0,0,-0.0145082001407341,-0.0143211087756459,0,0,0,0,-0.0150337804505177,0,0,0,0,0,0.00419135786571302,0,0,-0.0175368804998772,0,0,0,0
Slope,0,0,0,0.249094850355075,0,0,-0.445511910167578,0,0,0,0,-0.527718490552678,0,0,0,0.198521937149031,0,0,0.323739430651036,0,0,0,0,0,0,0,0,0,0,0,0.143691213807747,0,0,0,0,0,0,0,0,0.0884941123951367,0,0.13777222080533,0,0,0,0,0.176015003931653,0.0675792905840575,0,0,0,0,-0.182852206929849,0,0,0,-0.911779827628952,0,0
TED,0,0,0,0,0,-1.18078130069894,0,0,0.768618261454347,0,0,0,-0.251691116257715,0,0,0,-0.841256555765131,0,1.36334425911487,0,0,0,0,0,0,0,0,0,1.18385859962656,0,0,0,-0.62548016648789,-0.721672180709479,0,0,0.164388242560799,0,0,0,0.251234006661574,0,0,-1.43431933264259,0,-2.29949059192424,0,0,0,0,0,-1.78500432288327,0,0,0,0,-6.08259909030814,0,0
RealEstate_excess,0,0,-0.348988959945681,0,0,0,-0.149791796819832,0,0,0,0,0,0,0,0,0,0.0482852844224238,0,0,0,0,0,-0.297953662819243,0,0,0,0,0,0.0799681649573569,0.0481742256660977,0,0,-0.114822433134467,0,0,0.35758074960859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209175840062402,0,0,0.0434349015288325,0,-0.0737615861480785,0,0,0,0
MKreturn,0,0,-0.292456556183394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495804683375408,0,0,0,-0.118213591893578,0,0,0,0,0,0,0,-0.216986102858982,0,0,3.46944695195361e-18,0,0,0.0623321639520235,0,0,0,0,0,0,0,0,-0.00375673640951507,0,-0.0347162957251197,0,0,0,0.0264184037063083,-0.00662537149604584,-0.322299250863835,0,0,0,0,0
MKvol,0,0,0,0,0,0,-0.00259148281838386,0,0,0,0,0,0,0,0,0,0,0,-0.00531609322632705,0,0,0,0,0,0,-0.00190542227778752,0,0,0,0,-0.00131150922446114,0,0,0.0043411619223629,0,0,-0.00702572230736837,0,0.00307350043718089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498617503159071,-0.00179471395521813,0,0,-0.121741896238411,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,-0.0464477497660873,0,0,-0.0545987840840665,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456023848075774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186047980682608,-0.00182891738042518,0,0,0,0,0,0,0.0447500344404746,0,0,0,0.0166391199924263,-0.0667502109622781,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,-0.00465175843693058,0,0,0,-0.000121500618104443,0,0,0,0,0,0,0,0,0,0,0,-0.000429323972801676,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,-0.00197315864451889,0,0,0,0,0,0,0,0,0,-0.0073425917116771,0,0,0,0,0.107272290545644,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0.0038212842286533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267074247237595,0.00265610763165333,0.00235034183746474,0,0,0,0,0
