,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600183.SH,X000596.SZ,X600703.SH,X002236.SZ,X601877.SH,X000100.SZ,X300003.SZ,X002241.SZ,X002007.SZ,X000157.SZ,X002463.SZ,X600271.SH,X002179.SZ,X300142.SZ,X300124.SZ,X000625.SZ,X000066.SZ,X002008.SZ,X600867.SH,X300014.SZ,X002129.SZ,X002049.SZ,X000977.SZ,X600498.SH,X300136.SZ,X600066.SH,X600177.SH,X002506.SZ,X002371.SZ,X300146.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002475.SZ,0,0.155861812850362,0,0,0.10931273162611,0,0,0,0.025092535793471,0.0673515660507734,0,0,0.136719757359905,0,0,0,0,0.224477871573549,0,0,0,0.130403886414447,0,0.111252856477975,0,0,0,0,0,0,0,0,0,0,0,0.105562688802012,0,0,0,0,0,0,0.0641620663992105,0,0,0,0,0,0,0,0,0.0047502751418011,0,0,0,0,0,0,0
X000568.SZ,0,0.626430037281367,0,0.000549992584036603,0,0,0,0.144807119701667,0,0,0,0,0.12625507293052,0,0,0.086152321794177,0,0.104046816518292,0,0.0249998717753469,-0.0655997706866213,0,0,0,0,-0.0583255983714728,0,0,0,0,0,0,0,0,0,0,0,6.82072782623299e-05,0,0,0,0,-0.109001170055649,0,0,0,0,0,0,0,0,-0.0150922519535996,0,0,0,0,0.058502629168184,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.061545880444713,0,0,0,0.11889399219678,0,0,0.066953771938272,0,0,0,0,0,0,0,-0.0432103864598194,0,0.157678860774916,0.0342328174646334,0,0,0,0,0,0.0163475204733856,0,-0.0326215685438887,0,0,0,0.0842121322838117,0,0,0,0,0,0,0,0,0,0,0,0.0309587341877347,0,0,0,-0.0281034245071106,0,0
X600690.SH,0,0,0,0,0.0111780327798576,0,0,0.0302000886663323,0.0935238150159231,0,0,0,0,0,0,0.0782501591336524,0,0.0485295911345585,0,0,0,0,0,0,0.029769127723088,0,0,0,0,0.143181583616935,0.00525524231814314,0,0,0,0,0,0,0,-0.175719432807399,0,0,0,0,0,0,0,0,0,0,0,0,-0.0120186616279487,0.0233867154926952,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0.0281734473378313,0,0,0,0,0,0,0.0593884525267079,0,0,0,0,0.126204020127028,0,0,0,0,0,0,0,0,0.0581048471612392,0,0,0.27948390228916,0,0.191747642103619,0,0,0.0248145499300134,0,0,0,0,0.0503968376863559,0,0,0,0.124380170662733,0,0,0,0.0529425802526918,0,0,0,-0.00668252536640492,0,0,0,0,0,0,0
X600741.SH,0,0,0,0.259300162552474,0,0.461296743984148,0,0,0,0,0.090404687709756,0,0.202182991732142,0,0,0,0,0,0,0.125241366791299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233056492124459,0.199406658893331,0,0,0,0,0,0,0,-0.0469908948320813,0,0,0,0.00638448253860512,0,0,0,0,-0.0148603307931409,0,0
X600809.SH,0,0.358540149984724,0,0,-0.0477292337606127,0,0,0,0,0,0,0.0134921273778953,0,0,0,0,0,0,0,0.116989702871055,0.0279716341776879,0,-0.0457133381950413,0,0,0,0,0,0,0,0.0486196804980781,4.33680868994202e-19,0,0,0.0587565693061905,0.0289457522021779,0,0,0,0,0,0,0,0,0,0,0,0.0431734834960923,0,0,0,-0.00868489098909652,0,0,0,0,0.0807614577046703,0,0
X000661.SZ,0,0.0160771778108305,0,0.197165382015258,0.214870956237549,0,0,0.136991625559347,0.050479080064202,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430463518058569,0.151475248679475,0,0,0,0.00518719296675564,0,0,0,0,0,-0.0490691918666866,0.0492407534824995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034651347573507,0,0,0,0,-0.101393805126184,0,0
X600183.SH,0,0,0,0,0,0,-0.132576353985143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144823671664762,0,0,0,0,0.381388496256754,0,0,0,0,0.0241651947876529,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.00475594799263957,0,0,0.0537249565145571,0,0,0,0,0.0160727115726013,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0.371740896071845,0,0,0,0.137421970359025,0,0,0,0,0,0,0.0831083162822955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127491706891408,0,0.0338555194058636,0,0,0,0,0,0,0,0,0,0,0,0,0.217150410178096,0,0,0.0141083576045706,0.0273276184077729,0,0,0,0,0,0
X600703.SH,0,0,0,-0.165020509728461,0,0,0,0,0,0,0,0,-0.0991654677392488,0,0,0,0,0,0,0,0,0.100827974984221,0,0.0662936675813211,0,0,0,-0.137166769781334,0,0,0,0,0,0,0,0,0,0,0,0.400125929654829,0,0,0.0812952780692086,0,0,0,-0.0421574280384948,0,0.408517644675775,0.504330611340295,0,0,0.00217654706533919,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0.181342581695421,0,0.156551732568945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492407547167258,0,0,0,0.12273806470602,-0.0366679361100471,0,0,0,0,0,0,0,0,0,0.235783157577016,0,0,-0.000707839777047755,0,0,0,0,-0.0155594984912017,0,0
X601877.SH,0,0,0,0,0.12617579903551,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915177971601481,0,0.119838729464189,0,0,0,0,0.0241333020068605,0,0.00946279579158126,0,0,0,0,0,0,-0.0688474756669174,0,0,0,0.0385653473730985,0,0.0758461112850233,0,0,0,0,0,0,0,0,0,0,0.0177658500241748,0,0,0,0,-0.00279412865286544,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0.203837836318602,0,0,0,0,0.273411555115296,0,0,0.0324987126359378,0,0,0.180421392005693,0,0,0,0,0,0,0,0.067598438748776,0,0,0,0,0,0,0,0,0,0.00144686928335961,0,0,0,0,0,0,0,0.0901248220053712,0,0,0,0,0,0.0100376985280561,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0.118163936619887,0.0177450439232366,0.0514449631769475,0,0,0,0,0,0,0,0,0,0,0,0,0.00699862619818856,0.275018517945599,0,0,0,0.0924378558119787,0,0,0,0,0,0,0,0,-0.10196687805561,0,0,0,0.100158823365296,0,0,0,0,0,0,0,-0.0536404969425296,0.0431031714659045,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0.187238154427613,0,0,0,0,0,0.200825025598241,0,0,0,0,0,0,0,0.245024088416517,-0.332113577747263,0.201698259861477,0.137448285950228,0,0,0,0,0,0,0.0733161078437773,0,0,0,0,0,0.0258227613842658,0,0.261143712407505,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.00206175417653484,0,0,-0.000667535311774278,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,-0.0246014994193524,0,0,0.0755784028113614,0,0.138551437028056,0,0,0.0268395644175654,0,0,0.108474130796636,-0.144559142861399,0,0,0.122760280970282,-0.128307496652456,0.232465415347137,0,0,0,0,0,0,0,0,0,0,0.138047706694183,0.0555414851427779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371212931370839,0,0
X000157.SZ,0,-0.0464675725333909,0,0,0,0,0,0,0,0,0,0,0.561910458194158,0,0,0,0,0,-0.0580063202004265,0,-0.0589373658857384,0,0,0,0,0.12843694791655,0,0,-0.0462302090830848,0,0,0,0,-0.0980546280808543,0,-0.118248845581717,0.146640740935421,0,0,0,0,0,0,0,0,0,-0.121226262482087,0.222860081735647,0,0,0,-0.0341412661422608,0.0558621549410242,0,0,0,-0.05708811885846,0,0
X002463.SZ,0,0,0,0,0,0,0,-0.259642583442911,0,0,0,0,0,0,0,0,0,0,0.638590913446396,0,0.187330230731805,0,0,0.213810102032539,0,0.0822933524318518,0,0,0,0,0,0,0,0,0,0,-0.323665453845131,0.138113771971754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104498146995608,0,0,0,0,0,0
