,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600690.SH,X600809.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X600703.SH,X600372.SH,X000066.SZ,X000157.SZ,X002028.SZ,X002049.SZ,X002236.SZ,X600839.SH,X600522.SH,X600741.SH,X600183.SH,X600066.SH,X002456.SZ,X601877.SH,X600460.SH,X002156.SZ,X000661.SZ,X002129.SZ,X000800.SZ,X600487.SH,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002085.SZ,0,0,0,0,0,0,0,0,0,-0.0813546036188098,0,0,0,-0.0502426085621364,0,0,0,-0.0890602221656807,0,0,0,0,0,0.0665695144452549,0,0,0,0,0,0,0.323976111261032,0,0,0,0,0,0,0,0,0,0,0.167631088825256,0,0,0.530997637088343,-0.0821651825560344,0.491234455146059,0,0,0,0,0,0,0,0,0,0.0353181098199598,0,0
Change_TY3M,0,0,0,0,0,-0.107160451549561,0,0,-0.00178773649920865,0,0,0,0.0150688554365274,0,0,0,0,0,0,-0.0798579819736755,0.0774434075522777,0,0,0,0.0978205483553743,0,0,0,0,0,0,0,0,-0.0978592171543903,0,0,0.0171282377049676,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341510133129059,0,0,-0.0281734924949083,0.0302262549598389,0,0,-0.0262579849233954,0,0
Slope,-0.190737603185492,0,0.253284451440148,0,0,-0.0992499762222339,6.93889390390723e-18,0,0,0,-0.307313371178432,-0.11801781512915,0,0,0,0,0,0,0,0.0519629161766176,0,0,0,0.13252905951087,0,0,0,0,0,0,0,0,0,0,-0.0462861888634011,0,0,0,0,0,0,0.000498347097299826,0,0,0,0,0,0,0,0,-0.0025895767130043,0,0.190929142738893,0,0,0,-0.263942736650225,0,0
TED,0,0,0,0,0,0,0,0,0,0,-0.03630263030668,0,0,0,0,0,0,0,0,0,0,-0.132443757608314,0,0,0,0,0,0,0,0,0,0.00699201239998056,0,0,0,0,0.0104405079246537,0,0,0,0.172651120611949,-0.0818001255792242,0,0.0589997086042559,0,0.109635540741633,0.112528408837878,0,0.047569884053688,0.0146841691838801,-0.293743758220495,0.530401523396872,0,0,0,0,-0.380337709306335,0.905900633572568,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153519225291402,0,0,0,-0.128754556813639,-0.0195734519532031,-0.25986888563911,0.234745296307681,0,0,0,0.173415717175455,0,0,0,0,-0.0404544774273826,0,0,0,0,-0.0606054646837055,0,0,0,0.0563359860568224,0,0,0,0.0398462675850204,0,0,-0.019084610154493,0,0,0,0,0,0
MKreturn,0,0,0,0,-0.066937767120891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142343423842753,0.0278413024810592,0,0,0,0,-0.236526266106014,0,0,0,0,0,0,0,-0.197461675427401,0,0,0.0458271891971749,0,0.308380016073332,0,0,0,0,0,-0.0545506706594397,0,0.104639053397997,0,0,-0.0213068058259237,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136216041656903,0,0,0,-0.0527944909230388,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376892616497621,0,0,0,0,0,0,0,0,0,0.055100390437035,0,0,-0.144892441980093,-0.00717187619930991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.678604692789012,0,-0.0514735936917547,0,0.341479275090952,0,0.0454107805843219,0,0,0,-1.21017390516567,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009522886397633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117520932968909,0,0.00357431813967344,0,0.00859601273899495,0,0,0,0,0,0,0.104938392089345,0,0,0,-0.0401909740830499,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071007062010826,0,0,0,0,0,0,0,0,0,-3.3881317890172e-21,0,0,0.00254693525505863,0,0,0,0,0,0,0,0,0,-0.0253373860400634,0,0,0,0,0.00020030538433616,0,0,0.00482070778879696,0,0,0,0.000957912165501121,0,0,-0.00372737770983316,0,0,0,0,-0.0228054390286161,0,0
