,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600809.SH,X600741.SH,X000661.SZ,X600183.SH,X002241.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300003.SZ,X002236.SZ,X601877.SH,X000157.SZ,X300142.SZ,X000100.SZ,X000066.SZ,X002463.SZ,X002179.SZ,X002008.SZ,X300124.SZ,X600271.SH,X300136.SZ,X000625.SZ,X600867.SH,X002506.SZ,X600177.SH,X002129.SZ,X300014.SZ,X600498.SH,X000977.SZ,X600066.SH,X002049.SZ,X002456.SZ,X002180.SZ,X002371.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0,0,0,0,0,-0.0747177593980948,0,0,0,0,0,0,0,0,0,0,0,0.120059868593918,0,0,0,0,0.292775140248755,-0.0081127991096204,0,0,0,0,0.362996855942912,0,0,0,0.103895747280194,0,0,0,0.083839540208924,0.128349753857269,0,0,0,0,0,0,0.203116478524545,-0.149180869389047,0,0,0,0,-0.0373080981599275,0,0,0,0,0.0373722092496821,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0.0121765123088799,0.258446812945672,0,0,0,0,0,0,0,0.032111402438274,0.153310740001552,0.153197884836557,0,0,0,0.0304371987697561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943114543576804,0,0,0.0380413716018272,0,0,0,0,0.0205819583969775,0,0,0,0,0.0141008508312929,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10258224251778,0,-0.0126701792758731,-0.0247345141969654,0.0791076634267432,0.0240838961274436,-0.0607223309638997,0,0,0,0,0,0,4.33680868994202e-19,-0.0387587354666646,0,0,0,0,0,0,0.033716714245261,0,0,0,0.0344928790617283,0,-0.113023531946995,0,0,0.0128621018403002,-0.139817809479007,0,0,0,0,-0.0210314933647042,0,0,0,0.028333151366961,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01368256748805,0,-0.0653073566566811,0.161282453919246,0,0,0,0,0,0,0,0,0.0727970788985257,0,0.107166186568335,0,0,0,-0.154615484261104,0,0,0,0,-0.131045334636088,0,0,0,0,-0.190675554764524,0,0,0,0,0,1.43606427826132,0,0,0,0.254882844543522,0,0
TED,0,0,0,0,0,0,0,0,0,0,0.0573355673246089,0,0,0,0.0876963685622527,0,0,0,0,0.0671565517201531,-0.160776007721128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0833021851202787,-0.0580974893872951,0,0,0,0,0,0,0,0,0,0.49733151033641,0,0,0,0,-0.240856985623672,0,0
RealEstate_excess,0,0,0,0.145819083153692,0,0,0,0,0,0.0136866096957065,0,0,0,0,0,0,0,-0.0141292255328774,0,0,0,0,0,-0.0137840260780524,0,0,0,0,0,0,0,-0.0833215256699657,-0.039851174634558,0,0,0,0,0,0,0,0,0,0,0.0129481987366956,0,0,-0.0337326830856376,0,0.0146801808497065,0,0,1.0842021724855e-19,-0.0027331174227816,0,0,0,0.00605982698851939,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14307274891924,0.0874252735100528,0,0.0678214921560611,-0.0304099439505032,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0200504029440586,-0.0202349767079049,0,0,0.00295532999689947,0,0,0,0,0.00945050893895268,0,-8.67361737988404e-19,0,0,0,0,0.0023806190986731,0,0.0788869274229472,0.0430812603024581,0,0,-0.00298415305349547,0,0,0,0,-0.0178345480502052,0,0
MKvol,0,0,-0.00189300906307681,0,0,0,0,0,0,0,0,0,0,0,0,-0.00164152389807637,0,0,0,0,0,0,0,-0.00223871737703073,0,0,0,-0.000415182174055753,0,-0.00519598984021226,0.00392022584804179,0,0,0,-0.00123718159099425,0,0,0,0,0,0,0,0,0,0,0,0.000218597264423835,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.00782133434480524,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313264869473297,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00434950029587497,0,0,0,0,0,0,0,0,0,0.00368619181527654,0,0,0,0,-0.0258115573685344,0,0
