,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X002475.SZ,X000338.SZ,X600066.SH,X000100.SZ,X601877.SH,X002236.SZ,X600118.SH,X002456.SZ,X600271.SH,X000157.SZ,X300124.SZ,X600177.SH,X600372.SH,X600089.SH,X600522.SH,X002007.SZ,X002085.SZ,X002508.SZ,X000066.SZ,X000981.SZ,X300003.SZ,X600867.SH,X002294.SZ,X600699.SH,X000559.SZ,X002292.SZ,X300136.SZ,X002180.SZ,X002074.SZ,X600809.SH,X000623.SZ,X600498.SH,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300136.SZ,0,0,0,0,0.0189604966626753,0,0,0,0,0,0,0,0,0.105865498194458,0,0,0.670752431224515,0,0,0,0,0,0,0.270048211054531,0,0,0,0,0,0,0,0,0,0,-0.0284087477908919,-0.687663119310007,0,0,0,0,0,0.0871450505700043,0,0,0,0,0,0,0,0.109003020678696,-0.0583713473326391,0.0442021281628663,0,0,0,0,0,0
X002180.SZ,0,0,0,0.00747784564560476,0,0,0,0,0,0,0,0,0,0.178956899671852,0,0,0,-0.044841727080973,0,0,0,0,0,0.108579210825356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145663032312501,0.0502682345694464,0,0,0,0,3.46944695195361e-18,0.0799966044822344,0,-0.01546284165317,-0.0192026086868894,0.0165410547503764,0,0,0,0,0,0
X002074.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0761121994401208,0.0443832846485904,0,0,0,0,0,0,0,0,0,0.0547704039591171,0,0,0,0.283803341095429,0,0.0610352371981805,0.0863268445977378,0.0227707126556155,0,0,0,0.0325090568851039,0,0,0,0,0,0.166692169674646,0.0529328478045351,0,0,0,0,-0.119622812613976,0,0,0,-0.0137760092916088,0,0,0,0,0,0,0
X600809.SH,0.231294761632807,0,0,0,0,0.183592775884928,0,-0.0602399435310829,0,0,0.196145875674585,-0.179254288674001,0,0,0,0,0,-0.116122082381507,0,0,0,0.271245964682792,0,0,0,0,0,0,0.333588351648564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185508846791352,0,0,0.00140273319768857,0,0,0,0,0,0
X000623.SZ,0,0,0,0.276642949648587,0,0,0,0.0200410052747773,0,0,0,0,0.15491483581729,0.0251247562675452,0,0,0,-0.396692663422407,0,0,0,0,0,-0.246138797492129,0,0.662782708943325,0.138363057091185,0,0,0,0,0,0,0,0,0.378561339986223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0286320527277057,0.0190406281924743,0,0,0,0,0,0
X600498.SH,0,0,0,0.111646502606773,0.0102264349881925,0.117609542965103,0,0,0,-0.0132285556212563,0,0,0,0.0413233712740671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0867060203249336,0,0.564527710843673,0,0.13948408335408,0,0,0,0,0,0,0,0,0,0,0,-0.263279087215363,0,0,-0.0253155289538145,-0.00443789122205592,0,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0.402818932096931,0,0,0,0,0,0,0.167677779392647,0.0692713101947028,0,0,0,0,0,0,0,0,0,0,0,0.0247080949655508,0,0,0,0,0,0,0,0,0.0252633726520931,-0.0202765132073848,0,0,0,0,0,0,-0.0446557581454839,0,0,0.0018608451958766,0,0,0,0,-0.0511571112328571,0.0235639039727274,0,0,0,0,0,0
Change_TY3M,0,0,0.014068699230685,0,0,0,0,-0.0165763346494316,0,0,0,0.299978448325378,0,0,0,0,-0.489663581082971,0,0,0,0,0,0,0.332627054950921,0,0,0,0,0,0,0.0467659999297591,0,0,0,-0.00828950010758663,0,-0.346992899951073,0,0,0,0,0,0,0,0,-0.264986381394089,0,0,0,0,0.0674122733548489,0,0,0,0,0,0,0
Slope,0,0,0,0,0,0.418389772890789,0,0,0,0,0,0,0,0.398314086617306,0,0,0.644523760207549,0,0,1.53167544817677,0,0,0,0.445463144571316,0,0,0,0,0,0,0,0,0,-0.769959801828902,-0.992009948994442,0,0,0,0,0,0,0,0,0,0,-0.869167365868681,0.0910087958628792,0,0,0,0,0.383599300447996,0,0,0,0,0,0
TED,0,0,1.82800242536187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49897609675095,0,0,0,0,0,0,0,0,0,0,0,1.16829474100168,0,0,0,0,0,0,0,0,0,-2.84773185944487,0,0.772608668998598,-1.31933287885261,0,0,0,0,0.772413880597755,-1.58757566067097,1.25442806290274,0,-0.792221527674272,0,0,3.83561710963964,0,0
RealEstate_excess,0,0,0,0,0,0,-0.0577739779207062,0,0,0,0,0,0,0,0,0,0,0,0,-0.122560401368264,0,0,0,-0.0481600123218545,0,0,0,0,-0.170272742776098,0.203562304823161,0,0,0,0,0,0,0,0,0,0.0532151331110108,0,0,0,0,0,0,0,-0.329417633519102,0,0,-0.0603847164380501,0.0161910906712197,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357400499861134,0,0,-0.151349719952499,0.00363717561019375,0,0,0,-0.0224937239475245,0.00952816159867499,0.0914789400229003,0,0,0,0,0
MKvol,0,-0.000936827529545481,0,0.000821680185690414,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0.000136406633287246,0,0,0,0,0,0,0,0.000778064381281145,0,0,0,0,0,0.00101877945289572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00162487551470638,2.94595434655711e-05,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,-0.0262483874796075,0,0,0,-0.0425588468512839,0.0874004460551128,0,0,0,0,0,0,0,0,0,-0.0679883006752622,0,0,0,0,0,-0.0126593139740594,0,0,0,0.0612976877879352,0,0,0.0376871543185585,0,-0.0397996290928123,0,0,0,0,0,0,0,0,-0.058095794547525,0.0110397361953648,0,0,-0.0341294209217284,0.0281307239303534,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,-0.00744602579979258,0,0,0,-0.00867095496435536,0,0,0,0,0,0,-0.00761218489516722,0,0,0,0,-0.00314282335959631,0,0,0,-0.0187002967454249,0,0,0,0,0,0,0.007206312939761,0,0,0,0,0,0,0,-0.00163504939933974,0,-0.00361761776407732,0.0110682131147402,-0.0122362930376329,0,0,0,0,0,0
CarbonVol_Hubei,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0.000664850357161053,-0.00210768578026713,0,0,0,0,0.00960547549865306,0.00263424277737408,0,0,0,0,0,0,0.00142085377488885,0,0,0,0,0,0,0,0,0,0,-0.00952594143591276,0.00496328264209028,0,0,0,0,0,-0.00122774316119443,-0.019740812005235,0,0,0,-0.011026385931326,0,0,0,-0.0096099653170199,0.00608146573603355,0,0,0,0.0389149083478571,0,0
