,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X002475.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X002241.SZ,X600183.SH,X000596.SZ,X600703.SH,X002007.SZ,X300003.SZ,X601877.SH,X000100.SZ,X002236.SZ,X000157.SZ,X300142.SZ,X002463.SZ,X002179.SZ,X000066.SZ,X300124.SZ,X600271.SH,X002008.SZ,X000625.SZ,X300136.SZ,X600867.SH,X002129.SZ,X300014.SZ,X000977.SZ,X600177.SH,X002506.SZ,X600498.SH,X002049.SZ,X002180.SZ,X600066.SH,X002456.SZ,X600487.SH,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123986541292018,-0.0799474241077305,0,-0.0788898999445957,0.0361811183896902,0,0.0860957372143478,0,0,0,0,0,0,0,0.0722142648896162,0,0,0,0,0,0,0,0,0.0395423928822057,-0.0063827496531061,0,0,0,0,0,0,0,0.2349327750988,0,0.141776354610678,0,0,-0.0106143746355907,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,-0.0430882350955435,0,0,0.0616141088390287,0,0,0,0.0267197182634586,0,0,0,0,0,0,0,0.285069556139146,0,0.030889694188967,0,0,0,0,0,-0.0206596112716759,0,0.0524078776000023,0,0,0,0,0,0,0,0,0.109243179521854,0,0,0,0,0,0,0,0.00295697704695628,0,0,0,0.0467724053703168,0,0,0,0,0,0
X002008.SZ,0,0,0,0,0.218718657352139,0.144247784180827,0,0,1.73472347597681e-18,0,0,0.143108733270976,0,0,0,0,0.0297565368561457,0,0,0.254989634631217,0,0,0,-0.0705159408811262,0,0,0,0,0,0,0,0,0,0,0,0,0.366855962703554,0,-0.251580628566924,0,0,0,0,0,-0.103999819551563,0,0,0,0,0,0,-0.0296470703506661,-0.0595850136737341,0,0,0,-0.170065329114207,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.0493979491800332,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501912604811658,0,0,0,0,0.0883930385176758,0.0683047927524903,0,0,0,0,0.0735656015158859,0,-0.00553257445296089,0.0184718701970952,0,0,0,0.012390709991824,0,0,0,0.0176071934759951,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396284653619971,0,0,0.353492441882117,0.0846575428620184,0,0,0,-0.0547502162274922,0,0,0,-0.440443598999402,0,0.10293846631413,0.0899651589968743,0.00196869429945617,0,0,0.212594111668964,0,0,0,0,0,0,0,0,0,0.082581681858495,0,0,0,0,0,0,0,-0.068125287005383,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0,0.121253226331645,0,0,0,0,0,0,0.0659909878353017,0.0614237802050035,0,0,0,0,0,0,0,0.0799502633650459,0,0,0,0,0,0,0,0,0,0,0.0498595107801778,0,0,0,-0.0240288100490494,0.0474980693996457,0.234164082376545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223357579981334,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202285969371402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.229350895970365,0,0.0347009527433854,0,0,-0.267212677958196,0,0,0,0.403973301964723,0.283433816868778,-0.156556574397226,0,0,0,0.132593943685771,0,0.0649103158192222,0,0,0,0,-0.0478128866116847,0,0
X300014.SZ,0,0,0,0,-0.0210057805329631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280313084340753,0,0,0,0,0,0,0.100241478041346,0,0,0,0,0.310179314134231,0,0.353075640057717,-0.0691555959353897,0,0,0,0,0,0,0,0,-0.419502614017745,0,0,0,0,-0.0549931168325997,0,0,0,0.117706756647182,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103446250565459,0,0,0,0,0,0,0.0669756284265395,0,0.146598132554396,0,0,0,0,0.414533145848129,0.0730525406420735,0.345612669359883,0,0,0,0.330606815466216,0,0,0.255269805870231,0,0.0284335018126838,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.046401578826673,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,-0.0259336541988469,0,0,0,0,0,0.0958526464078486,0,0,0,0,0,0.0145937889339954,0.0475106464382748,0,0.0583458088800574,0,0,0,0,0,-0.0153025024756139,0,-4.33680868994202e-19,0,0,0,0,-0.0356698069656176,0,0,0,0,0,0,0,0,0.0953013165407888,0,0,0,0,0,0,0,0,0,0,-0.0233901845557914,0,0
