,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600031.SH,X600741.SH,X002475.SZ,X002241.SZ,X002236.SZ,X600066.SH,X000338.SZ,X000100.SZ,X601877.SH,X002085.SZ,X002456.SZ,X600271.SH,X600118.SH,X000157.SZ,X600089.SH,X300124.SZ,X600522.SH,X600177.SH,X002508.SZ,X002007.SZ,X600372.SH,X300136.SZ,X000066.SZ,X600699.SH,X000981.SZ,X300003.SZ,X600487.SH,X600867.SH,X002294.SZ,X002074.SZ,X000559.SZ,X002008.SZ,X002180.SZ,X600566.SH,X002292.SZ,X000623.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0,0,0,0,0,0,0.0664210931336814,0,0,0,0,0,0,0.1905821783365,0,0,0,0,0,-0.0391840770812388,0,0,0,0.0500830234538574,0,0,0,0,0,0,0,0,0,0,0,0,0.0943157563693671,0,0,0.375019133034803,0,0,0,0.181966607081101,0,0,-0.0227813951802091,0.0661019965689899,0.00465770072108127,-0.011574082998489,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0.102755528450589,0.0177644668226058,0,0.261442421270761,0,0,0,0.040748187038346,0,0,0,0,0,0,0,0,0,-0.0158917937107012,0,0,0,0,0,0,0,0,0,0,0,0.0915972873819209,0,0,0,0,0,0.14932156125209,-0.033448296386292,0,0,0,0.0569816401584196,0,0,0,0,0,0,0.0266346114819059,0.0030197943668611,0,0,0,0,0,0
X601877.SH,0,0,0,0.0027155996154709,0,0.04552230773294,0,0.104931106138233,0,0,0,0.0122638486821379,0,0.127235214586626,0.156701654727371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323921192869189,0,0,0,0,0,0,0.0801730596969323,0,0.132633666784098,0,0,0.0176223415196358,0.00479093767312741,0,0,0,0,0,0
X002085.SZ,0.19176580445782,0,-0.187037178332572,0.0174685585951534,0,0,0,-0.103805869650979,0,0,0,0.115593532351824,0,0,0,0,0,0,-0.0257874493827946,0,0,0,0,0,0,0,-0.252761103615809,0.140633820559341,0,0,0,-0.0428181383464082,0,0,0,0.0715521085935767,0,0,-0.0683366981911503,0,0,0,0,0,0,0,0,0,0,0,0.177030087937241,-0.035853986854205,0.0104629755343887,0,0,0,0,0,0
X002456.SZ,0,0,0,0,0,0,0.554180730074873,0,0.223788599040699,0,0,-0.279039315353711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051671997275037,0,0,0.405720674175163,-0.0174746710303106,0,0,0,0.222155060109319,0,0,0,0,0,0,0,0,-0.0606093707364057,0,0.182197076499307,0.0342218049462948,-0.00598248665178975,0,0,0,0,0,0
X600271.SH,0,0,0,0,-0.0544102368572345,0,0,0,0,0,0,0.111023891280081,-0.0231390035910685,0,0,0,0,-0.0106205868644576,0,0,0,0,0,0,0,0.246034036585492,0.168515236462281,0,0,0,0,0,0,0.0827888133363312,0,0,0,0,0,0.0598532888150819,0,0,0,0,0.0959373306203732,0,0.0236019342717916,0,0,0,0.105745134628326,0,-0.00212039957407,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0.0496206027182398,0,0.0620246688049744,0.0638519651105487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513421473239747,0,0,0,0.320026117611556,0,0.0325505794573803,0,0,0,0,0,0,0,0,0.0322710050986596,0,0.0109274118494894,0,0,0,0,0,-0.000516952601124883,0,0,0,0,0,0
X000157.SZ,0,0,0,0.0238882412641254,0,0,0,0,0,0,0,0,0.0820919256286434,0.0132909530371874,0,0,0,0,0,0,0,0,0,0,0.0479328707418635,0,0,0,0,0,0,0,0,0,0,0.0304272867073385,0,0,0,0,0,0,0.0624490326973349,0,0,-0.0216395128264139,0.101980244359279,0,0,0,0.0914720916388508,0,-0.00581066633258141,0,0,0,0,0,0
X600089.SH,0,0,0,0,0,0.00903812721234554,0,0,0,0,0,0,0.20313242296363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183837100699538,0,0,0,0,0,0,0.20925555366913,0,0.115931792185453,0,0,0.030007854602268,-0.0111154679859118,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,-0.0222479062266107,0,0,0,0,0,0.0668030189920649,0,0,0,0.0936839885360755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105585682236495,0.0387763963369578,0,0,0,0,0.0633792952685858,0,0,0.116613317870549,0,0.0430192785406373,0,0,0,0,0,0,-0.00188132243920488,-0.00573651599382914,0,0,0,0,0,0
