,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X000568.SZ,X600031.SH,X002475.SZ,X600690.SH,X000338.SZ,X600741.SH,X000661.SZ,X600809.SH,X000596.SZ,X601877.SH,X002236.SZ,X600183.SH,X600703.SH,X000157.SZ,X000100.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X300124.SZ,X600271.SH,X002179.SZ,X000625.SZ,X600498.SH,X002241.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002463.SZ,X600867.SH,X300014.SZ,X002008.SZ,X600487.SH,X600066.SH,X300146.SZ,X002049.SZ,X300136.SZ,X000050.SZ,X002371.SZ,X000977.SZ,X600118.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002371.SZ,0,0.178964375058666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0389019706414074,0.124338080639685,-0.162516785355985,0,0,0,0,0,0,0,0,0.265755183427912,0,0,0.00207274974489439,0,0,0.00108749228887025,0,0,0,0,0,0,0.117156412485037,0,0,0,0.213983125883566,0.323112260783619,0.172533579064517,0,-0.00445732166021225,0.0633806620276468,0,0,0,0.0751296888032384,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443986481551456,0,0,0,0,0.0272416540851766,0,0,0.106473736720689,0,0,0,0.377001362655043,0,0,0,0,0,0,0,0,-0.332728476534637,0.464426267046586,0,0,0,0,0,0,0.365000550264209,0,0,0.0425395754250103,0,-0.0115805034272052,0.0432489950482956,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0655321957415828,0,0,0,0,0,0,0,0,0,0.242265642825924,0,0,0.0249569985178142,0,0,0,0.201372599197376,0,0,0,0,0,0,0.167627362912204,0,0,0.220861192770404,0,0,0,0,0,-0.0215741828292572,0,0.0930518669430354,0,0,0,0,-0.00269149080987929,0,0,0,0,0,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0.195085266110401,0,0,0,0,0.0146598706963373,0,0,0,0.358039821033132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879181782328932,0.191985352176423,0.265033368760818,0,0,0,-0.0249418662873188,0,0,0,0,0,0,0
Change_TY3M,0,-0.198655740206845,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0194460715873242,0.00354262079196671,0.188073825559236,0,0,0,0.145660681793994,0,0,0,0,0,0,0,0,0,0.218655120953594,0,0,-0.0660197955267099,0,0,0,0,0,0,0,0,-0.272413392602008,-0.00334910060833124,0,-0.042458703387919,-0.0179929591775511,0,0,0,-0.123711755265171,0,0
Slope,0,0,0,-0.276986838703431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0747842339198636,0.614681754574597,0,0,0,0,0,-0.511075895286817,0,0,0,0.431878944459837,0,0,0,0,0,0,0,0,-0.898996946282616,-0.478251603056039,0,0,0.124753999734351,0,0,0,0,0,0,0,0,0.781264747713299,0,0,0,-0.139281883474152,0,0
TED,0,0,0,0,0,0,0,0.106460047804034,0,0,0,0,0,0,0,0,0.547064000970324,0,0,0,-0.123749495805727,0,0,0,0.0834336322176511,0,0,0,0,0,0,0,0,-0.329372550688405,0,0,0,0,0,0,0,0,-0.0243527609163527,0,0,0,0,0,0,0,-0.31023995488496,0.760015356851306,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,-0.0324876571538098,0,0,0,0,0,0,0,0,-0.00419787291497079,0,0.0136604328566575,0,0,0,0,0,0,0,0,0.027374541824455,0,0,0.0286845679638432,0,0,0.0634887548779434,0,0,0,0,0,0,0,-0.060530625895515,0,0,0,0.0338358741537096,-0.0310849014047169,0,0.00691080141961058,0.0126076411786891,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0.0632144206757643,0,0,0,0,0,0.00816717132001104,0,0.00901560177789086,0,0,0,0.117913552472181,0,0,0,0,0,0,0.0223030918172178,0,0,-0.0986961800689688,0,0,0,0.0484737725408748,0,0,0,0,0,-0.243818525951275,0,0,0,0,0,0,0,-0.0664955466056782,0,-0.0338420425765829,0.048314497934827,0,0,0,0.014339696518021,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111985633866381,0,0,0,0,0,0,0.00122559255773152,0,0,-0.00253315409996496,0,0,0,0,0,0,0,7.0464019758462e-05,0,0,0,0,0,0,0.000414894243786253,0,0,0,0,0,0,0,0,0,0,0,-0.00130827910780584,0.0128884802430813,0,0,0,-0.0054513508699042,0,0
CarbonVol_Shenzhen,0,-0.843831903393427,0,0,0.236399029011652,0,0,0.413196909507923,0,-0.217161558312554,0,0,0,0,0,0,0,0,0,0,0,0,-0.819358656456457,0,0,0,0,0,0,0,0,0.111545072074965,0.0392629654644953,0.283515485002081,0,0,0,0,0,0,0.241103856035501,0,0,-0.585311239298045,0,0,0,0,-0.288159600348183,0,0,0.240624410209608,-0.121324224580772,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004346206866459,0,0,0,0,0,0,0,0,0,-0.00159870683012812,0,0,0,0,0,0.00684203959072935,0,0,0.000824412476892957,0,-0.00528253131604965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138443076540575,0,0,0,0,-0.044393566602151,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00940895593072809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204551862537518,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269905509891025,0.0244910021974089,-0.0530096731349223,0,0,0,0.000614532695169294,0,0
