,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X000625.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X000100.SZ,X002508.SZ,X601877.SH,X300124.SZ,X002085.SZ,X300003.SZ,X300136.SZ,X002008.SZ,X600177.SH,X600522.SH,X600271.SH,X000157.SZ,X002007.SZ,X002294.SZ,X600089.SH,X600118.SH,X600487.SH,X600867.SH,X600566.SH,X600809.SH,X600699.SH,X300115.SZ,X600372.SH,X000559.SZ,X002180.SZ,X000066.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002456.SZ,0,0,0,-0.218366189519639,0,0,0.311388281597721,0,-0.393739251547261,0,0.140675525638777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215959735360841,0.320060600251002,0,0,0,0,0,0,0,-0.317694933210732,0.427875925512425,0,0,0.0160657450347818,0,0,-0.0672929267945158,0,0.186418651150953,0,0,0,0.0174701914301492,-0.0331753736896548,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0.0147309101942699,0,0.144657696038223,0.0496628249014838,0,0,0,0,0,0,0,0,0,0.00312394862603706,0,0,0,-0.0788232349862596,0,0,0,0,0,0.0453811514744875,0,0.10289549153459,0,0.161877499584541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045749774230578,0,0,0.0519385829533916,-0.0371515345162768,0,0,0,0,0,0
X002508.SZ,0,0.0529916158006695,0.337741838061172,0.18806345763384,0,-0.158774298801414,-0.385789781764887,0,0,0,0,0.0457017084235446,0,0,0,0,0.0529841569235344,0,0.153347606225076,0,0.000710791146781588,0,0,0,0,0,0,0.0328646470165373,0.298379753719551,0,0.148681666338708,0,0,0,0,0.0344984188076506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651233347738674,0.0254168180312572,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0.0358349332108297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305758061789991,0,0,0,0,0,0,0,0,0.017825034300871,0,0,0,0.0866324282039802,0,0,0,0,0.154042476600008,0,0.128111723776656,0.0536742168838818,0,0,0,0,0,0.0633870046851508,0,0,-0.0197129944846869,0.0230771604638236,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133915342877252,0,0,-0.0889535853025821,0,0,0,0,0.0353832596310323,0.157285226813224,0,0,0.321994854172518,0,0,0,0,0,0,0,-0.00155187712150331,0,0,0,0,0,0,0.00362230767738278,0,0,0.00232416262293231,0.0305743039883377,0,0,0,0,0,0
X002085.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445080286404131,0.484571457796419,0.0433731743695229,0,-0.228405751373474,0,-0.445381143308304,0,0,-0.123438805446654,0,0,0,0,0,0,0,0,0,0,-0.0538564843551978,0.0162466356333111,0,-0.0209798027297504,0.0413688981274615,0,0,0,0,0,0,0.00840334140385711,-0.104827819563344,0,0.0194956826552672,-5.42101086242752e-20,0,0,0,0,0,0
X300003.SZ,0,0,4.33680868994202e-19,0,0.120069062155797,0,0,0.0064211867129514,0,0.0749950159029547,0,0,0.0804279733849869,0,0,0,0.135412492323328,0,0,0,0,0,0,0,0,0,0,-0.164593043002394,0.115640049517415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467263001186517,0,0,0,0.0151740182247917,0,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0,-0.017532305279165,0,0,0,0,0,0,0,0,0,0,0,0,0.0151677492525126,0,0,0,0,0,0.228313997386511,0,0,0,0,0,0,0,0,0.143164534472316,0,0,0,0,0.287761208980067,0,0,0,0,0.0763810418312725,0,-0.000912605953546609,-0.0248125802312639,0,0,0,0,0,0
X002008.SZ,0,0,-0.0323942194246389,0,0,0,0,0,0,0,0,0,0,0,0,0.151308614635288,0.180793194791938,0,0,0,0.167518667265191,0,0,0,0.32137794030902,0,0,0.31839601973262,0,0,0,0,0,0,0,0.0412761656835399,0,-0.159146479604367,0,-0.0368133834810425,0,0,0.154585991531916,0,0,0,0,0.206098837923214,0,0.00484425840169755,-0.0352138670261368,0,0,0,0,0,0
X600177.SH,-0.0611262931326429,0,0,0,0,0.10662081903643,0.0585059223229619,0,0,0,0,0,0,0,0,-0.0425951280321042,0,0,0,0,0,0,0,0,0,-0.0895790423195116,0,0.0114328836735131,0,0,-1.0842021724855e-19,0,0.116063583496147,0,0,0,0,0.0418379452520523,0,0.0054599753990424,0,0,0,0,0,0,-0.0153696846469262,-0.0545256938756653,0,0.0129868853276976,-0.00134541620808556,0,0,0,0,0,0
X600522.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148389895077578,0,0,0,0,0,0,0.193031788887037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136073145268311,-6.93889390390723e-18,0,0.152440696940353,0.438664869977404,0,0,0,0.1936848328716,0.0339982524884978,0.141161715254567,0,-0.0384174647818446,0.0331003138593249,0,0,0,0,0,0
