,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X300014.SZ,X600104.SH,X000651.SZ,X000625.SZ,X002129.SZ,X300124.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X000596.SZ,X002049.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X600522.SH,X000661.SZ,X601877.SH,X002180.SZ,X002074.SZ,X300142.SZ,X600884.SH,X600741.SH,X600460.SH,X000733.SZ,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X600563.SH,X601799.SH,X002236.SZ,X002176.SZ,X600584.SH,X600487.SH,X000800.SZ,X002414.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600779.SH,0,0,0,0,0,0,0.178485253825415,0,0,0,0,0,0,0,0,0.0995299848946682,0,0,0,0,-0.129661546919816,0,0,0,0,0.129445014169996,0.299506894642169,0,0,0,0,0,0,0,0,0,0,0,0,0.251503531004029,0,0,0,0.165989452542205,0,0,0,0,0,0,0,0.0293145165210322,0,0,0,0,0.0012285316765276,0,0
Change_TY3M,0,0,0.282330418377196,0,0,0,-0.0321882557531132,0,0,0,0,0,0,0,0,-0.105264903950212,0,0,0,0,-0.127295866332769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207041581755859,0,0,0,0,0,-0.052378630932586,0,0,0,0,0,0,-0.0811127676294968,-0.0979006335379109,-0.0784657775649047,0,0,-0.0792231016139396,0,0
Slope,0,0,0,0,0,0,0.215454856613914,0,0,0,0,0,0.0898345954124124,0,0,0,0,-0.00843380622351157,0.215985547655429,0,0,0,0,0,0,0,0,0,0.0145167413476009,-0.391227931417236,0,0.311709494003767,-0.126236876849707,0,0,-0.561023956032919,0,0,0,0,0,0,0.205393200815436,-0.0914244721885374,0,0,0,0,0,0,0,0,0,0,0.398318435856757,0,-0.976157055597845,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0.0193866573675858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792149706534683,-0.256823115336298,0.141005635589243,0,0,0,0,-0.0805480386331202,0,0,0,-0.205667202310005,0,0,0,0,0,0,0,0,0.286400079392522,0,0,0,0,0.317010167323506,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,-0.101579200136509,0,0.0338242215727474,0.0235301639737968,0,0,0,0,0,0.153448381184193,0.101432492808262,0,0,0,0,0.0401000895072266,0,0,0,0,0,0,0,0,0,0,0.0204085283583359,0,0.0888439727834326,0,0,0.0645383900244135,0,0,0,0,0,-0.00929594108619076,0,0,0,0,0,0,0,0,-0.0568740219127736,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0491928612156655,0,0,0.0369673861951261,0,0,-0.0453765259007303,0,0,0,0,0,0.0219677510885267,0,0.105916636445178,0,0,0,0,0,0,0,0,-0.275674334453807,0,0,0,0,0.0878386863199645,0,0.0639191637336161,0.0167345412707767,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000734311016559108,0,0,0.00115152038515843,0,0,0,0,0,0.00346852930723502,0,0,0,0,0,0,0.00843077216472306,-0.00920551314314097,0,0,0,0.0172415180265637,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0.137589671257244,0,0,0,0,0,0.241296884578443,0,0,0,0,0.0404463592401164,-0.114259359802729,0,-2.77555756156289e-17,0,0,0,0,0,0,0.558316613337534,-0.163697467779736,0.161116788478216,0.545461381454396,-0.123679442241866,-0.570807007293183,0,0,0,0,0,0,0,-0.0271956450538105,0,0,0,0,-0.0968961948248916,0,0,0,0,-0.628716870295178,0.65842225062298,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570231466704047,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00187691405405021,0,0,0,0,-0.00657981990013038,0,0,0,0,0,0,0,0,0,0,0,-0.0351448614323526,0.00853078144058723,0,0,0,0.0222034097881002,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,3.3881317890172e-21,0,0,0,0,0,0,-0.0056831584056603,0,0,0.000374796509626927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00292066269513472,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169119920462277,0,0,0,0,0.0107173618528495,0,0
