,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X002475.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X002008.SZ,X300003.SZ,X000625.SZ,X600487.SH,X600809.SH,X002456.SZ,X600498.SH,X600776.SH,X000661.SZ,X000596.SZ,X002007.SZ,X000050.SZ,X600066.SH,X002179.SZ,X000157.SZ,X300142.SZ,X600522.SH,X300146.SZ,X600177.SH,X600089.SH,X300136.SZ,X600867.SH,X002241.SZ,X600566.SH,X600372.SH,X000977.SZ,X002180.SZ,X002129.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100517754565956,0,0,0,0,0,0,0,0,0,0,0,0,0.14709574569472,0,0.135689791279388,0,0,0,0,0.0260547524326058,0,0.214526365142837,0,0,0.116632850693891,0,0,0,0,0,0,0,0,0,0.0294651759323196,-0.0772978406748515,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.118865899357027,0,0,0,0,0.346249721446929,0,0.0560803716492099,0,0,0,0,0.0449825729389165,0,0,0,0,0,0,0.00921809689769683,0,-0.0314440363420168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157321178511563,0,0,0,0.0479855321260954,0,0,0.00349539609588742,0.0166694911881778,0,-0.138428354281736,0,0,0,0
X000338.SZ,0,0.234370612351641,0,0.0696481676299298,0,0,0.0430782634066403,0,0,0,0,0,0,0,0.21101754698491,0,0,0,0.128329035143541,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118392914343689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00842319272863788,0.0150928355898676,0,0,0,-0.0797150247264243,0,0
X000568.SZ,0,0,0,0,0.331198025963855,0.0452473307587053,0,0,0,0,0,0,0,0,0,0,0.0157266150707009,0,0.0423976285857523,0,0,0,0,0,0,0.249707571411624,0,0,0.00963626607099036,0,0,0,0.020045668890539,0,0,0,0,0,0.154908216207775,0,0,0,0.0632612702459231,0,0,0,0,0,0,0,0,0,0.0158466078420573,0,0,0,-0.0163181880548506,0,0
X600741.SH,0,0.529124422276816,0,0,0,0,0,0,0,0.114563486883864,0,0,0.0769547965969808,0,0,0,0,0,0,0,0.0686465208403569,0,0,0.0209023427087153,0,0,0.0845151107550749,0,-0.0151947817992487,0,0,0,-0.0627554582579442,0,0,0,0,0,0,0,0,0,0.232742928083988,0,0,0,0,0,0,0,0,0,0.0410660245592208,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134155874474328,0,0,-0.162094344886548,0,0,0,0.823178776007091,0,0,0,0,0,0,0,0,0,-0.0664929492876275,0,0,0,0,0.00556064591318086,0,0,0,0,0,0,0.00531319737632881,0,0,0.0692223402037932,0.201399805247483,0,0,0,-0.0345700496984209,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.0555946109520878,0,0,0,0,0.322426277998835,0.0383010082869294,0,0,0,0,0.0994934191834369,0,0,0,0,0,0,0,0.0404886205628336,-0.0227467299498936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697068983304935,0,0.0216689513999636,0,0,0,0,0,0,-0.00278530007658254,-0.0239087270887492,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0.055008828432252,0.180805494758808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173391449045989,0,0,-0.0900547354065877,0,0,0,0,0.111979258237971,0.0594288719067173,0,0,0,0,0,0,0,0.0888569679204377,0,0,0,0.114663688783837,0.247919050113035,0,0,0,0,0,0,0,0,0.195107985705696,0,0
X002236.SZ,0,0,0.240853120345616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161668837193384,0.0824829893165139,0.0327842448861158,0,0,0,0.0389836169975773,0,0,0,0,0,0,0,0,0.240276950545244,0,0,0.0595054015605398,0,0,0.0802780580624307,0,0,0,0,0.00764080335843822,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,-0.170305317480593,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0796908389100667,0,0,0,0,0,0,0.250618918867039,0.292585890193572,-0.0299998955275021,0,0,0,-0.0194354512746425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1309197636192,0.30894218409621,-0.0343006706591009,-0.038218438187144,0,-0.294964117660619,-0.0222500731136291,-0.0224893600590062,0,0,0,-0.0641403429871944,0,0
