,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X000725.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X600741.SH,X600809.SH,X002241.SZ,X000100.SZ,X002371.SZ,X300014.SZ,X300003.SZ,X000977.SZ,X000596.SZ,X601877.SH,X002007.SZ,X002236.SZ,X600183.SH,X300124.SZ,X000157.SZ,X600584.SH,X002456.SZ,X002180.SZ,X002129.SZ,X000625.SZ,X300142.SZ,X600118.SH,X002008.SZ,X600271.SH,X300136.SZ,X000066.SZ,X002179.SZ,X002463.SZ,X002414.SZ,X600699.SH,X002049.SZ,X600177.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002414.SZ,0,0,0,0,0.0785447693828885,0,0,0,0,0,0,0,0,0,-0.256105076190766,0,0.18071707104458,0,-1.38777878078145e-17,0,0.158776479079667,0.282138758610631,-0.0278884056893914,0,0,-0.148125304167623,0,0,0,-0.163330540126954,0,0,-0.042696408672421,0,0.231472743659071,-9.64799569145285e-05,0.162211818319449,0,0.100155792090902,0,0,0,0,0,0,0,0,0,0,0,0,-0.0867779449873647,0.0304343583526187,0,0,0,0,0,0
X600699.SH,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0585878572076757,0,0.0274215478706365,0,0,0,0,0,0.114493552899146,0,0,0,0,0,0,0.275065623141259,0,0,0.0627066028281211,0,0.154290876954977,0,0,0,0,0,0,0,0,0,0,-0.0233120273809667,-0.0413527191145744,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.000725558400243584,0,0,0,0,0,0.138754465665057,0,0,0,0,0,0,0,0,0,0.100517910088979,0,0.306623459788305,0,0,0,0,0,0,0,0,0,0.188037242259136,0,0.0704899198057493,0,0,0,0,-0.00476674277846767,0,0,0,0,0,0,0
X600177.SH,0,0,0,0,0,0,0,0,0,0.0836154164846773,0,0,0,0,0.0156996125872697,0,0,0,0,0,0,0.0563373258155703,0,0,0,0.0141984330022396,0,0,0,0,0,0,0,0,0.00216807911742812,0.0154318174097041,0,0,0,0,0,0.125450488588477,0,0,0,0,0.114792547498189,0.0215437541637328,0,0,0,0,0,0,0,0,0,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333580837026576,0,0,0,0.262884648151767,0,0,0,0,0,0.0460965241538495,0,0,0,0,0,0,0.037215962034499,0.0442440792503139,0,0,0,0,0.129034344409118,0,0.00537653140892557,0.056109087114979,0,0.297982192150354,-0.0353271495663788,0,0,0,0,0.134868910014149,-0.00403420838024225,-0.00639599563567553,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0606661991287883,0.0495201891954977,-0.0226400766253654,-0.186758356709723,0,0,0,0,0,0,0.0784317300721947,0,0,0,0,-0.194613185188957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422075193428798,-0.114588101803712,0,0.863720573432588,0,-0.0589486059630925,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934801389106473,0,0,0,0,0,0,0,0.454496919516911,0,0.751688668373389,0,0,0,-0.079877349217229,0,0
TED,0,0,0,0.241171463796,0.102618450933915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296816880639903,-0.48936502366271,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0379116502532006,0,0,0,0.308585245816197,0,0,0.0143568807429848,0.0615878705238624,0.103473523496477,0,0,-0.652095668945917,0.561432267141833,0,0,0,0,-0.680225314967428,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326705472146901,0,-0.0188367960257006,0,0,0.0548143759860576,0.0298309163904024,0,-0.0317535541279063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046042432037608,-0.0237486877510591,0,0,0,0.0258746352592835,0,0,0,0.102857214777848,0,0,0,0
MKreturn,0,0,0,0,0,0,0,-0.136221388005764,0,0,0,0,0,0.11453444540785,0,-0.0116891315547626,0,0,0,0,0,0,0,-0.0245068761784835,-0.0527883928309779,0.0220271454639292,0,0,0,0,0,0,0,0.0265296531530333,0,0,0,0,-0.0727682476174221,0,0,0.101797003231041,0.00115545034614345,0,0,-0.012147742292379,0,0,0,0.114943227465322,0.354209087626277,0,0.0095041718730137,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000378037220988349,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,-0.387306104949537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138229979385336,0,0.0248478839198374,0,0,0,0,0.0768473880920739,0,0,0,0,0,0.209923336178424,0,-0.11808255985362,0,0,0,0.367936436624777,0,0,0,0,0,0,0,-0.0909628323206967,-0.521643511490427,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0.00196558102960851,0,0,0,0,0,0,0,0,0.000921864934609989,0.00382241925542646,0,0,0,0,0,0,0,-0.00132167922592849,0,0,0,0,0,0,0,0,0,0,-0.00345580135275199,0,0,0,0,0,-0.000569622088854991,0,0,0.00166513884561024,0.00186887001838184,0,0,0,0,0,0,0,0,-0.00413133248552717,0.000690303108347583,0,0,0,0.0212165965541359,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,-0.00751845310003562,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,-0.00258559930559951,0,0,0,-0.00103943091991345,0,0,0,0,0,0,-0.00198707830606972,-0.00141264896961045,0,-0.00159774968469373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182503550622356,0.00514064848995534,-0.00534229809495861,0,0,0,-0.0277181585611307,0,0
