,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X002371.SZ,X600104.SH,X300014.SZ,X600031.SH,X300124.SZ,X000725.SZ,X600703.SH,X000063.SZ,X002129.SZ,X000338.SZ,X000625.SZ,X300142.SZ,X002241.SZ,X003816.SZ,X000661.SZ,X002049.SZ,X000100.SZ,X000596.SZ,X600460.SH,X002179.SZ,X601877.SH,X002074.SZ,X600584.SH,X002007.SZ,X000157.SZ,X002414.SZ,X600183.SH,X002236.SZ,X000799.SZ,X600741.SH,X600702.SH,X601799.SH,X600089.SH,X000800.SZ,X600779.SH,X000066.SZ,X300146.SZ,X300003.SZ,X000977.SZ,X600884.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002179.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235050967784286,0,0,0.0170347914099069,0,0,0,0.0418322782971355,0,0,0,0,0,0,0.399442382034238,0,0,0,0.0361746231771717,0,0,0,0,0,0,0,0,-0.0317050136856987,0,0.104455205438375,0,-0.176667261971951,8.67361737988404e-19,-0.0244083023550081,0,0.194128582458622,0,0,-0.0174781719457961,-0.101662301058477,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0,0.0673800911933715,0,0,0,0,0.0895878395491534,0,0,0,0,0,0,0.0300462717122792,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.230587872240145,0,0,0,0.0772313005376375,0,0,0,0,0,0.0167457463278937,0,0,0,0.0272068741429239,0,0,0,0,0,0,0,0,0
X002074.SZ,0,0.0376844120916809,0,0,0,0,0,0.00261603954872014,0,0,0.138022777541693,0,0.224217663374704,0,0,0,0.0963259575104439,0,0,0,0,0.0542190466940179,0,0,0.117629975241044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319904236249713,0,0,0.0953321532699329,0,0,0,0,0,0,0
X600584.SH,0,0,-0.00393631400458345,0,0,0,0.294038469590668,0,0.113593072912418,0,0.0645788118333371,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.192131503610044,0.0559697566330213,0,0,0,0.105456895290081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112152707026337,6.93889390390723e-18,0,-0.1015630214802,0,0,-0.134351241577852,0,0,0,0,0.00190010275307772,-0.0507752370922013,0,0,0,0,0,0,0
X002007.SZ,0,0,0,0,0,0,0.111078369447284,0,0.0642177800943644,0,0,0,0,0,0,0,0,0,0,0,0,0.0950232355443349,0,0,0,0,0,0.101126075369796,0,0,0,0.00659948550199892,0.121292631464359,0,0,0,0,0,0,0,0,0.0968096138494249,0,0,0.0452587027818965,0,0,0.145592834727687,0,-0.0883147362841119,0,-0.00284792289537951,-0.0433151537758482,0,0,0,0,0,0
X000157.SZ,0,0,0,0,0,0,0,0.100824073917824,0,0,0,0,0,0.475485369054201,0,0,0.0168768651104806,-0.0294453678950088,0,0,0,0,-0.00361854199492223,0,0,0,0,0,0,0,-0.0875221006329516,0,0,0,0,0,0,0,0,0,-0.014544782977965,0,0.0759700533260121,0,0,0.040355201559142,0,0,0,0.0507374866664924,0,0.0244566235298902,0,0,0,0,0,0,0
X002414.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252877889315937,0,0.0284964636945979,0,0,0.0168270193672592,0,0,0,0.137034935089467,0,0,0,0.237240607856567,0.160011224372338,0,0,0,0,0,0,0,0,0,-0.0242255521011872,0,0,0,0,0,0.0558078036926332,0,0,0,0,-0.0381068770645515,-0.0154407233768966,0,0,0,0,0,0
X600183.SH,0,0,0,0,0,0,0,0,0,0.00640035822638259,0.158837418613056,0,0,0.196483726852724,0,0,0,0,0,0,-0.0527432584586845,0.0487832439305734,0,0,0,0,0,0,0,0,0,0.0221014594310336,0,0,0,-0.0539966533298402,0,0,0,0,0.00583112634849677,0,0.0744652439389435,0,0,0,0.0211637882115756,0,0,0,0,0,0,0,0,0,0,0,0
X002236.SZ,0,0,0,0,0,0,0,0,0,0.159636990702388,0.0744847697895605,0,0,0,0,0,0,0,0.12254331976527,0,0,-0.00894170759045265,-0.15979533500913,0,0,0,0,0.0817492602340894,-0.014783495173023,0,0,0,0,0,0,0,0,0,0.0788346222722753,0,0.00565570390075414,0,0,0,0.0187405078871135,0,0,0,0,0,0,0,0.0703664880874757,0,0,0,0,0,0
X000799.SZ,0,0,0,0.498640117456617,0,0,-0.0271281250320666,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0611113938911444,0,0,0,0,0,-0.0111010601356747,0,0,0,0,0.0369954243452791,0,0,0,0,0,0,0,-0.0322383094807144,0,0,0,0,-6.93889390390723e-18,0,0,0,0.224884932606265,0,0.162981592650635,0,0.172016296082951,0,0,-0.00833587089520718,0,0,0,0,0,0,0
