,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X600809.SH,X600690.SH,X000651.SZ,X002371.SZ,X000568.SZ,X003816.SZ,X000725.SZ,X300124.SZ,X000063.SZ,X600031.SH,X600104.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600418.SH,X002241.SZ,X600584.SH,X002463.SZ,X000977.SZ,X600089.SH,X000066.SZ,X600703.SH,X600372.SH,X000157.SZ,X600839.SH,X002028.SZ,X002049.SZ,X600522.SH,X002456.SZ,X002236.SZ,X600183.SH,X600741.SH,X600066.SH,X002156.SZ,X600460.SH,X601877.SH,X002085.SZ,X002129.SZ,X600487.SH,X000661.SZ,X000921.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0149070466205021,0,0,0.0398089231735999,0,0.0957919497937533,0,0,0.0694888842539872,0,0,0,0,0,0,0,0,0.121218021460992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347270144783837,0,0,0,0,0,-0.0717957502605877,0,0,0,0,-0.00743177789443391,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177348421092832,0.159164019551305,0.112081967246769,0.0577886498527754,0,0,0,0.000465197810881507,0,0,0,0,0,0.0500047100432024,0,0,0,0,0,0,0,0,-0.0295956446651735,0.00701478724786108,0,0,0.0750356860896781,0,0,0,0,-0.0386826330606367,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620753727885906,0.00736865183423314,0,0.0360374418020544,0.479453305301222,0,0.175680120543213,0,0,0,0,0,0,0.0273130124775712,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00872072070741315,0,0.0461981118886589,0,0,0,0,0,-0.00866366769521462,0,0,0,0,-0.0776909099088343,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.123942976390578,0,0,0.1152447073131,0,0,0,0,0,0,0,0,0,0.150276562770903,0,0.175135359458886,0,0.132910823322885,0,0,0,0,-0.00186566291018302,0.391403041931193,0,0,0,0,0,0,0,-0.142543600971581,0,0,0,0,0,0,0,0,-0.00343141190986741,0,0,0,-3.46944695195361e-18,0,0
X600031.SH,0,0,0,0,0,0.192866252423389,0,0,0,0,0,0,0.112541595549805,0.0392130511830772,0,0.0237824817747852,0,0,0,0,0.0223652381930739,0.0444082698777322,0,0,0,0,0,0,0,0,0,0,0.147912149176894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270020383889884,0,0,0,-0.0059460461563437,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.165668202547938,0,0,0.275032192673813,0,0,0,0,0,0,0.246793871993607,0,0,0,0,0,-0.0986517207808579,0,0,0,0,0,-0.154982614364261,0,0,0,0,0.792681986898067,0,0,0,0,0.101273394259247,0,0,0,-0.206940691848298,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0.111186281456487,0,0,0,0,0,0,0,0,0,0.0317930554484288,0,0,0.0796812812912098,0,0.139209883176135,0.0432717165167891,0,0,0,0,0,0,0,0,0,0,0,0.0970605761567153,0,0,0,0.0641315372798077,0,0,0,0,0,0,0,0,0.0634907111893078,0,0,0,0,-0.0459759249806147,0.0437225286538102,0,0,0,-0.031611579971681,0,0
X002304.SZ,0,0.258220329423724,0,0,0,0,0,0,0,0.217898916824412,0,0,0,0.115835089399424,0,0.00730929544828295,0,0,0,0,0,0,0,-0.239589886717955,0.0361846913024308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644396359701636,0,0,0,0,0,0,0,0.0804369450941872,0,0,0,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0,0.167450875026,0,0,0,0,0,0.0184614897906556,0.142050178716495,0,0,0,0.046301692618107,0.0357858706155298,0,0,0,0,0,0,0,0.0155160274856148,0,0,0,0,0,0,0,0,0,0,0,0.0759037797072216,2.20002856058733e-05,0,0,0,0.0733300775681267,0,0,0.115226204135492,0,-0.0219757261413179,0.013157320980571,0,0,0,-0.0572539731004205,0,0
X000596.SZ,0,0,0,0,0,0.742348621616992,0,0,0,0,0,0,0,-0.0543648920817624,0,0.154929524047067,0,0,0,0,0,-0.0130436723125467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311401188622514,0,0,0,0,0,0,0,0.10190048820833,0,0,0.0128266749169406,-0.00443668055047148,0,0,0,0.0115156457897119,0,0
