,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600585.SH,X600188.SH,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000708.SZ,X000301.SZ,X002271.SZ,X600426.SH,X000877.SZ,X600362.SH,X600795.SH,X600176.SH,X000807.SZ,X600803.SH,X600489.SH,X000983.SZ,X601699.SH,X000786.SZ,X601991.SH,X600027.SH,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X002080.SZ,X000629.SZ,X300037.SZ,X600688.SH,X000539.SZ,X600157.SH,X600096.SH,X600612.SH,X002409.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0.247031508491427,0,0,0,0,0.0448522230290352,0,0,0.123597258191285,-0.0570328539671791,0,0,0,0,0,0,0,0.0163946249244003,0,0,0,0,0.0387534343100249,0,0,0,0,-0.0288516347842912,0,0,0,0,0,0.00683620959330028,-0.0371391286234783,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0564073125384776,0,0,0.000820845524290993,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0.0140773817825382,0.222154763981538,0,-0.127202229334644,0,0,0,0,0,0,0,0,0,0,0,0.0255683702400588,0,0,0.663389075647293,0,-6.93889390390723e-18,0,0,0,0,0.295738115508873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.065310446421449,0,0.0124477916071178,0,0.120623679912532,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,-0.0501909352066431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165495433334483,0,0,0,0,0,0,0.160028770978452,0.00292643288278734,0,0,0,0,0,0.275000785484323,0,0,0,0,0.0849952518373503,0,0.112089287628889,-0.0571338255132337,0,0,0,0.00980209124737421,-0.0701471653634448,0,0,0,0,0,0
X600096.SH,0,0,0,0,0,0,0.0654516601594418,0,0,0,0.0116041907319233,0,0,0.0380623682233721,0.293098836604081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435835096533011,0,0.0665295707256024,0,0,0,0.209727263439888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119126904711577,0.0847048984438534,0,-0.0277160584527373,0,0,0,0,0,0,0
X600612.SH,-0.0424502306799249,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.0560665346592513,0,0.140211095950624,0.0670372409692737,0,0,0,0,-0.213012567700952,0,-0.108915489209169,0,0,-0.0244971125591055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369609300462851,0.120521384103931,0,-0.142909582180078,0,-0.197349895458976,0,-0.00947491128526083,0,0,0.0238491088276941,-0.106710663303475,0,0,0,0,0,0
X002409.SZ,0,0,0,0,0,0,0,0.00913337508032392,0,0.0816735125356995,0,0,0,0,0.482769479841411,0,0,0,0,0,0,0,0,0,0,-0.43624277915572,0,0,0.027022077387335,0.323575276653303,0,0,0,0,0.231060948589313,0,0,0,0,0,0,0.0622618021085159,0.0746544109215351,0,-3.46944695195361e-18,0,-0.210644269511756,0,0,-0.124265854689492,0.469287293296322,0.00460219073299981,0.0661493984695988,0,0,0,0,0,0
X000723.SZ,0.475670999150251,0,0,-0.579516031411618,0,0,0.208805457546044,0,0,0,0.556335671025275,0,0,0,0,0,0,0.299496952112689,0,0,0,0,0.0250443913936928,0,0,0,0,0,0,-0.0301631141463937,0,0,0,0,0.388486215624788,-0.0908629089640305,0,0,0,0,0,0,0.70199184612109,0,0,0,0,-0.0931110572825856,-0.472325783347522,0,0,0.0210049070170081,-0.0514024573378966,-0.0322919419928,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-0.180198541322665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109947589645155,0,0,0,0,0,0,0.0432156293668329,0,0,0,0,-0.0881279524317051,-0.00435420809798588,0.0475792789455655,-0.00927112806211086,0,0,0,-0.223023655270663,-0.00287646383725954,-0.0943603079572944,0,0,0,0,0,-0.00126585948889935,0.0744052354128708,0,0,0.00879120435349181,-0.0528013505654607,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.162365287863527,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.151893815395342,-0.297431964939224,0,0,-0.12306247494877,0.0396986681873376,0,0,0,0,-0.278340981794179,0,0.189693376160108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133535785834736,-0.0281469426212428,0.113693781623256,0,0,0.718973235829265,0,0,0,0,0,0
TED,0,0.13973525187632,0,0,0,0,-0.0211943706985917,0.140857393740909,0,0,0,0,0,0,0,0,0,-0.176847242558076,0,0,0.227192649216111,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222232771198003,0,0,0,0,0,0,0,0,0,-0.089982254060254,0,0,0,0,0,-0.180112421686026,0.832110126171533,0,-0.104573069345291,0,0,0,0,0
