,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X600010.SH,X000792.SZ,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X000708.SZ,X600803.SH,X000301.SZ,X600489.SH,X600160.SH,X600027.SH,X002466.SZ,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X000983.SZ,X600176.SH,X600219.SH,X002128.SZ,X601699.SH,X000877.SZ,X000630.SZ,X000408.SZ,X600157.SH,X600096.SH,X000933.SZ,X601168.SH,X600985.SH,X002353.SZ,X600352.SH,X600995.SH,X000883.SZ,X600688.SH,X600378.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600985.SH,0,0,0,0,0,0,0,0.374744953305498,0.0604820488219377,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0149502165548266,0,0,0,0,0,0,0,0,0,0,0.294097189579994,0,0,0.124862832632224,0,0,0,0.0436814779489569,-0.00192619324451069,0,0,0,0,0,0,0,0,0,-0.108684330541785,0,0,-0.00415946587872523,0,0,0,0,-0.00415865301274787,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520089766917976,0,0,0,0,0,0,-0.0274962166789128,0,0.046306867993861,0,0,0,0.29935232857274,0,0.323241020484255,0,0,0,-0.26880656758604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137600434605817,0.198526123484787,0.0710059032619346,0,-0.038456305161763,0,0
X600352.SH,0,0.0336805861546224,0,0,0.0338360189740529,0,0.0549741832364456,0,0,0,0,0,0,0,0,0,0,0.0324314063977207,0,0.0442238927979285,0,0.0310794061913197,0,0,0,0.0247836205219508,0,0,0,0,0,0,0,0,0,0,0,0,0.107649530677309,0,0.00163536922572925,0,0,0,0,0.0584421582335721,0,0,0.0581904849866728,0,0,-0.0400780967289943,0,0,0,0,0.00652957122452541,0,0
X600995.SH,0,0,0,0.0743876259774805,0,0,0,0,0.0562613493940347,0,0,0,0,0,0,0,0,0.00601715999462368,0,0.215647417589692,-6.93889390390723e-18,0,0,0,0,0.0436127010533305,0.306710841708365,0,0,0,0,0,0,0.0432756549038419,0,1.73472347597681e-18,0,0,-0.045666791899401,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329551626315621,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153493231798439,0,0,0,0,0,0,0.368668814724266,0,0,0,0,0,0,0,0,0.015373119182264,0,0,0.00966513151243647,0.070816021051933,0.0140176135299462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443830989393842,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0868699188518702,0,0,0,0,0,0,0,0,0,0,0,0.0602784123756345,0,0,0,0,0,0.331694659861885,0,0,0,0.0379828845446522,0.0634651501597787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00653523225747015,0,0
X600378.SH,0,0,0,0,0,0,-0.154802078642003,0,0,0,0,0,0.143437672071045,0.105303949350246,0.0817204167749435,0,0,0,0,0,0,0.0873531171232025,0,0.255806169941452,0.0768856744095791,0.0908784643120239,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0309057579345559,0,0,0,0,0,0.155067767034198,0,0,0,0.0819796315216069,0,-0.0618929996615861,0,0,0.0440678997109568,0,-0.00162847702055063,0,0
X600549.SH,0.167698429875331,0,0,0,0,0,0,0,0,0,0,0,0,0.400788741729294,0,0,0.00763208259258491,0,0,0,0.136610766040636,0,0,0,0,0.0236880397221911,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259066901522437,-0.0701962155120205,0.0211760566968129,0,0,0.0412858374354946,0,0
Change_TY3M,0,0,0,0,-0.0666399345262407,0,0,0,0,0,0,0,0,0,0,0,-0.0599972421965237,-0.0365769248463828,0,0,0,0.0224193586443836,-0.0400498094055034,0,0,-0.014990197740975,0,0,0,0,0,0,0,0,0,0,0,0,0.0466979758690519,0,0.05973322942556,0,0,0,0.147420320014511,0.0506255417966755,0,0,-0.0465648881413621,0,0,0.0874122129458659,-0.191989490937876,0,0,0,-0.0612273993275946,0,0
Slope,0,0,0,0,0.640995838769788,0,0,0,0,0,-0.213361981839219,0,0,0,0,0,0,0.304373660796304,0,0,-0.934768829293264,0,0,0.129880951508812,0,0.196778599518877,0,0,0,0,0,0,0,-0.081940314011582,0,0,0,0,0,0,-0.0941283090833011,0,0,0.624058777040113,0,0,0,0,0,0,0,0,2.33342931790381,0,0,0,0.191068002366993,0,0
TED,0,0,0,0.247812281533666,0,-0.0756189615052592,0,-0.0224931842849057,0,0,0,0,0,0,0,0,0,0.04131601320722,0,0,0,0.10287393393825,0,0,-0.011928515383808,0,0,0,0,0,0,0,0,0,0,0.027441949125762,0,0,-0.313378263561897,0,0,0,0,0,0,0,0,0,0,0,0,0.340440570356232,0,0,0,0,-0.216232508620946,0,0
RealEstate_excess,0,-0.301013606509118,0,0,0,0,0,0.348367383662622,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289345548072536,-0.243460323910725,0,0,0,0,0,0,0,0,0.352044398693615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159438926888589,0,0,-0.188445806507624,0,0,0,0.108412207853516,0,0.298794569582966,0,-0.0224196895800061,0,0
MKreturn,0,-0.526823742010327,-0.35714789672426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180334683765533,-0.00129031236712978,0,0,0,0,0,0.0473145258580745,0,-0.0120620257235203,0,0,0,0,0,-0.140575500244687,0,0,0,-0.0775980918144999,0,0,0.092118949773286,0,0,0,0,0.275153980091666,0,0,0,0,0,0,0,-0.068325815718346,0.038689086086673,0.130402429116744,0,0,-0.00641666982094914,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0527705460996478,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0224265199116309,0,0,0.0137979704240312,0,2.16840434497101e-19,0,-0.00240523012622997,0,-0.00599530028226437,0,0,0,0,0,0.0138070890512172,0,0,0,0,0,0,0.0121014063321847,0,-5.42101086242752e-20,0,0,-0.00337010991581568,0,0.0142268560364125,0,0,0,0,0,-0.00185325346129268,0,-0.00794030966330832,0,0,-0.052222319260893,0,0
CarbonVol_Hubei,0,0,0,0,0.0132499341697669,-0.0255223078924591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00480561719754975,0,0,0,0,0,0,0,0,0,0,0,0,0.0028618719104094,0,-1.0842021724855e-19,0,0,0,0,0,0,-0.00763581105143274,-0.0043279401903261,0,0,-0.0241385553441326,0,0,0,0,-0.0567664784367736,0,0
