,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600886.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X600027.SH,X002075.SZ,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X000898.SZ,X600021.SH,X601158.SH,X000027.SZ,X000539.SZ,X000878.SZ,X600309.SH,X600022.SH,X601992.SH,X600352.SH,X000883.SZ,X000629.SZ,X601918.SH,X600307.SH,X600160.SH,X600547.SH,X600098.SH,X600660.SH,X600489.SH,X600808.SH,X000792.SZ,X000060.SZ,X600863.SH,X002470.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600307.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256832909141361,0,0,0,0.000785308369846886,0,0,0,0,0,0,0,0.0413644587611403,0,0,0.0937651538339672,0,0,0,0,0,0.203047191774764,0,0,0,0.00673818086942001,0.109403039691428,0.14999776607596,0,0,0,0,-0.0291632314333799,0,0,0,0,0,0
X600160.SH,-0.161060999191694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278668723662778,0,0,0,0,0.147693185466093,0,0,0.0639027642080152,0,0.0511708171982585,0,0,0,-0.209377040748749,0,0,0,0,0.147896779242607,0.30966099164589,0,-0.068042360488378,0,-0.00314195269195204,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133894885734538,0,0,0.13470353874709,0.0209898569327928,0,0,-8.67361737988404e-19,0,0,0,0.429254695164827,0.0689755312520725,0,0,0,0,0,0,0,-0.0135764022005737,0,0,0,0,0,0
X600098.SH,0.0282875679566905,0,0,0,0,0,0,0.0204574944402568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832730462774794,0.117638776279927,0.122107680612475,0,0,-0.10693587704714,0,0,0,0.0804129834494614,0.234511721389673,0.204668688751159,0,-0.0584944663862624,0,0,0,0,0,0.188014187595535,0,0.021137350119062,0,0,-0.0333970594635002,-0.0409770782255739,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0215338407232772,0,0,0,3.46944695195361e-18,0,0,0.0234468180551686,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.387566210343844,0,0,0,0,0,0,0,0,0.0531279901667772,0,0.0195400497518891,0.00922791292630951,0.00723676077006884,0,0,0,0,0,0,0,0,0.188810044271877,0,0.0148225835198091,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.254055784383607,0,0,0,0,0,0,0,0,0,0,0,0.0412942984508299,0,0,0.111191754730884,0,0.0680374154245992,0,0,0,0.0327675025412711,0,0,0,0,0.00378884890880632,0,0,0.0847661096466777,0,0,0,0,0,0.00282536581971848,0,0,0,0,0,-0.00300181038371712,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226028288781314,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.177033372720884,0.270570967025961,0.0992462952362725,0,0,0.0606101625720215,0,0,0,0,0,0.0916840006825701,0,0,0,0,0,0,0,0,-0.00467230839998114,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108081374051956,0,0,0,0,0,0.00213228542436113,0,-0.0548442544958353,0,0,0,0,0,0,0,0,0,0.0256449152488131,0,0.00414394245890009,0,0,0.00539343844507523,0,0,0,0,0.303869222618308,0.23379932923206,0,0.0556064819329138,0,0.00689025225288493,-0.00778582270809242,0,0,0,0,0,0
X000060.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257502000313734,0,0,0,0.119214816190673,0,0,0,0,0,0,0,0.208537629590376,0,0,0.04396243939486,0,0,0.110409230835005,0,0,0,0,0,0,0,0,0,0.0386975434198107,0,0,-0.0761646989333239,0.0282258676628278,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633209055604745,0,0,0,0,0,0.0261053510634463,0,0,0,0.380833189270104,0,0,0,0.0465682265013986,0,0,0,0,0.08722793203439,0,0,0,0.0719956518484364,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,-8.67361737988404e-19,0,0,0,0,0,0
