,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X600795.SH,X002466.SZ,X000708.SZ,X601699.SH,X600010.SH,X600111.SH,X002460.SZ,X000301.SZ,X600362.SH,X000983.SZ,X000877.SZ,X600027.SH,X600426.SH,X600803.SH,X600160.SH,X600489.SH,X000786.SZ,X601991.SH,X600985.SH,X000408.SZ,X000630.SZ,X002271.SZ,X000933.SZ,X000932.SZ,X600176.SH,X000807.SZ,X601168.SH,X600612.SH,X600348.SH,X002128.SZ,X300037.SZ,X600219.SH,X600096.SH,X000027.SZ,X600995.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0.209347358500192,0,0.194396333041008,0,0.0918867153587568,0,0,0,0,0,0,0,0,0,-0.302241917293416,0,0,0,0,0,0.355158899819781,0,0,0,0,0,-0.370979083247975,0.453186679108685,0,0,0,0,0,0,0,0,0.150480710492316,0.0102289386051037,0,0,0,0.0233576089621835,0,0,0,0.0183666191926667,0,0
X000933.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705139501047568,0,0,0,0,0,0,0.225955333375856,0,0,0,0,0,0,0,0,0.435550231946987,0,0,0.0179047377067696,0,0,0,0,0,0.203446677319155,0,-0.0241630322827781,0,-0.000150872068008326,0,0,0,0,0,0
X000932.SZ,0.0384844484571065,0,0.165858305544605,0,0,0,0.249482668395592,0,0,0,0,0,0,0,0,0.00297207500109657,0,0,0,0,0,0,0,0,0,0,0,0.165203704281131,0,0,0.0353938243367778,0.175009313384851,0,0,0,0,0,0,0,0,0,0.296186743292251,0,0,0,0,0,0,0.0539480477120528,0,0,0.00537077985130697,0,0.0459550366187333,0,0,0,0,0
X600176.SH,0.0626663978226566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162812347758592,0.130393167396768,0,0,0,0,0,0,0.0398793436220342,0.155808532132571,0,0,0.145291640455878,0,0,0,0.0407018395854064,0.375552389964619,0,0,0,0,0,0,0.104790642619104,0,0,0,0,0.134019451601287,0,0,0,0.0164999224904181,0,0,0,0,0.182081543928151,0,0
X000807.SZ,0,0,0,0,0,0,0,-0.093699105712039,0,0,0,0.716913742659679,-0.134165775885584,0,0,0,0,0,0,0,0,0,0,-0.0998101922165152,0,0,0,0.149634938728606,0,0,0,0,0,0,0,0.239549662976504,0.250960045641107,0,0,0,0,0,0,0,0,0,-0.207400149418977,0,0,0,-0.0733829257505361,0,0.024712322011991,0,0,0,0,0,0
X601168.SH,0,0.0733761391634665,0.218565073889043,0,0.217883971071189,0,0.0873625516034231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316981754247123,0,0,0,0,0,0,0,0.143440151235049,0,0,0,0,0,0.179050321057322,0,0,0,0,3.46944695195361e-18,0,0.0568707707210585,0.222836811313557,0,0,0.0695019162383268,0.0146299826923579,0,0,0,-0.148684197040557,-0.0312114522373794,0.0238071555628123,-0.0396560140800529,0,0,0,0,0
X600612.SH,0,0,0,0,0,0,0,0,0,0.0301730179185243,0,0,0,0,0,0,0,0,0,0,-0.0680901571140622,0,0,0.149022267016874,0,0,0,0,0.0772181914927496,0,0.0606488599314223,0,0,0,0,0.13085863025708,0,0,0,0,0,0,0,0,0.520499761598298,0,0,0,0,0,0,0,-0.0245496058065595,0,0,0,0.0817579198619904,0,0
X600348.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348418295410285,0,0,0,0,0,0,0,0,0,0.015915157467383,0,0,0,0,0.180671846899332,0,0,0,0.0633941908381935,0.062476677483885,0.0414623334001669,0.119396780835948,0.147042479915222,0,0,0,0.000688513506535164,0,0,0,0.0352242852010931,1.73472347597681e-18,0,-0.0106023533701815,-0.00185266109490533,0,0,0,0,0,0
X002128.SZ,0,0,0,0,0,0.163902365449399,0,0,0,0,0,0,0,0,0,0,0,0.0139784826187013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110358776811307,0,0,0,0,0.0597864189985434,0.0867689194582243,0,0,0.0144357060789546,0.0237628180795349,0.0172618486962716,0,0.0042781574137076,0,0.114240011069135,0,0,0,0,0,-0.0100539103724931,0,0,0,0,0,0
X300037.SZ,-0.130901122445027,0,0,0,0,0,0,0.0963494608780441,0,0,0,0,0,0,0,0.148070950996021,0.099649672459362,0,0,0,0,0.0639103497467751,0,0,0,0,0,0,0,0,-0.0535620688804773,0,0.116749421969497,0,0,0.0214387820015796,0,0,0,-4.33680868994202e-19,0.0539652373041251,0,0,0,0,0,0.213167048022537,0,0.209053279459643,0,0,-0.0346785399883399,-2.16840434497101e-19,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,-0.0424875474918385,0,0,0,0,0,0,0,0.0263660026486174,0,0.045851714879099,0,0,0,0,0,0,0.219069652722578,0,0,0.098769272798649,0,0,0,0,0,0,0,0.0395593694333728,0.153875121524868,0.106845501894274,0,0,0,0,0,0,0.0657738185900663,0,-0.07766882495131,0,0,0.0669847393881309,0,0.0682190804616764,0,0,-0.000488256076814112,0,0,0,0,0,0
