,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X600660.SH,X002271.SZ,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X000786.SZ,X600111.SH,X600188.SH,X600010.SH,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X601991.SH,X600803.SH,X600795.SH,X000027.SZ,X000408.SZ,X600219.SH,X600352.SH,X600489.SH,X600801.SH,X000932.SZ,X000807.SZ,X600688.SH,X000898.SZ,X000825.SZ,X002353.SZ,X000959.SZ,X601699.SH,X300037.SZ,X600315.SH,X002080.SZ,X600157.SH,X000830.SZ,X600299.SH,X600486.SH,X600027.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0.725851155578286,0,0,0,0.0701616039217946,0.120282729188546,0,0,0,0,0,0,0,0,0,0,0,0.0632498786724727,0,0,0,0,0,-0.0258729640901793,0,0,0,0,0,0,0,0.0370376190432991,0,0,0,0,0,0,-0.171396679920357,0,0,0,0,0,0,0.00689899824770135,0,0
X600801.SH,0,0,0,0.0110450121598461,0,0,0,0.0921202243306042,0,0,0,0,0,0,0.0794689158842508,0,0,0,0,0,0,0,0,0,0,0,0,0.110698254338732,0.0242017925637887,0,0,0,0,0.115579742953476,0.106685642983777,0,0.0412525734198009,0,-0.037799684607812,0,0,0,0,-0.0582389934482696,0,-0.044894977834623,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X000932.SZ,0,0,0,0,0,0,0,0,0,0.116272563337339,0,0,0,0,0,0.218946931237998,0,0,0.0899718020359295,0,0.208632327505786,0.13662274155721,0,0,0.0551854051812938,0,0,0,0,0,0,0,0,0,0,0,0.588831518474826,0,0.227459467100148,0,0,0,-0.163061919967414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358982392942427,0,0
X000807.SZ,0,0,0,0,0,0.0113224301165694,0.0289004230724844,0,0,0,0,0,0.67024486105743,0.313406399798777,0.102637498154022,0,0,0,0,0,0,0,0,0,0.0934982228455403,0,0,0.0129433164840211,1.35525271560688e-20,0.132922544414203,0,0,0,0,0,0,0,0.0487689298938001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419021253102259,0,0
X600688.SH,0,0,0,0,0,0,-0.0864530503284865,0,0,0.176558001763225,0.0076885365344013,0,0,0,0,0,0,0,0.0616928965381591,0,0,0,0,0,0,0,0,0,0,-0.0480145079546977,0,0,0,0,0,0,0,0,0.0874477773922661,0.0995405958300828,0,0,0.0336599424405027,0,0.0400664522954291,0.103812546281275,0.036646183155907,0,0,0,0,0.0414300539984715,0,0,0,0,-0.000882672587567019,0,0
X000898.SZ,0,0,0,0,0,0.168096456386328,0,0,0,0,0,0,0,0.138110418610791,0,0,0,0,0,0.0321014193655959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863596565131163,0,0,0,0.208567206335101,0.153032611274982,0.0222071959166785,0,0,0,0,0,0,-0.0222831084525689,-0.00275882141673975,0,0,0,0,-0.108425970907887,0,0,0,0.0535733348039521,0,0
X000825.SZ,0,0,0,-0.198586819026884,0,0.484535321781316,0,0,0,0,0.217513289553871,0.0872824798269524,0,0,0,0,0,0,0.0197400273093386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206719913839934,0,0.306210420301067,0,0,0.0300826619032316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131395863456842,0,0
X002353.SZ,0,0,0,0,0,0,0,0,0,0.203219105277945,0,0,0,0,0,0,0,0.0461775694478705,0.0628494739705283,0,0,0,0,0,0,0,0,0,0.280918437359057,0,0,0,0,0,0,0,0,0,0,0,0.0620279401716178,0.0500054957862766,0,0,0,0.115599720069066,0,0.252363791345362,0,0,0,0,0,0,0,0,-0.0760244877425875,0,0
X000959.SZ,0,0,0.0274240146580483,0,0,0,-0.00511984034220227,0,0,0.094932862662287,0.000129282272886391,0,0,0.117882159161573,0,0,0,0,0.238011862926958,0,0,0,0,0,0,0,0,0.061591610802236,0,0,0,0,0,0,0,0.0111557210954617,0,0.075050626971528,0,0,0.0426317181751153,0,0,0,0,0,0,-0.0377486214204521,0,0,0,0,0,0,0,0,-0.0168575591637983,0,0
X601699.SH,0,0,0,0,0,0,0.0611984503124352,0,0,0,0,0,0.327756288604186,0,-0.176968958103784,0,0,0,0.10233089436604,0,0.402599491651498,0,0,0,0,0,0,-0.0306819472499418,0,0,0,0,0,0,0,0,0,0.0186425717976851,0,0.0850380527550703,0,0,0.0506233023724357,0,0,0,0,0,0,0,0,0,0.0994728050392029,0,0,0,0.00720049316874943,0,0
