,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600660.SH,X600111.SH,X600547.SH,X000708.SZ,X600010.SH,X000301.SZ,X002271.SZ,X600886.SH,X600795.SH,X000877.SZ,X601600.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X601699.SH,X600803.SH,X601991.SH,X000983.SZ,X000629.SZ,X000408.SZ,X600160.SH,X000786.SZ,X000723.SZ,X002080.SZ,X600219.SH,X600348.SH,X600096.SH,X600489.SH,X600995.SH,X600378.SH,X000933.SZ,X000807.SZ,X600157.SH,X600688.SH,X600985.SH,X600141.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600378.SH,0,0,0,0,0,0.126614184716161,0,0,0,0,0,0,0,0,0,0.100513727902623,0,0.10927451008978,-0.0485658323760973,0,0,0,0,0,0,0,0,0,0,0,-0.292751648394528,0,0,0.108717390330667,0,0,0,0,0.0761909960760762,0.085330384954685,0,0.0680591601073292,0,8.67361737988404e-19,0,0,0,0,0.110528312271866,0,0,0.0308760252353121,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0.528464822317479,0,0,-0.211927329311718,0,0,0,-0.0675227576240185,0,0,0,0,0,0.177298468087698,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,-0.153766404903659,0.0984912513339481,0.125814085946799,0,0,0,0,0,0.47660362538467,0,0,0,0.238488684805832,0,0,0.145848083518999,0,0,0,0,0,0,-0.00786776333710467,-0.00288629178529927,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.319671419037526,0,0,0,0,0,0,0,0,0,0.120711328956887,0,0,0,0,0.0228435159901439,0,0,0,0.0171208259523796,0,0.0579117442856041,0,0.230247109390389,0.00179813106099647,0.17615663540962,0,0.0223024800091139,0,0,0,0,0,0,0,0,0.0818383105881586,0,0,-0.0377565366756073,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0.064036943117127,0,0,0,0,0,0.0228080875574245,0,0,0,0,0.181601366342207,0.0218025798942952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725286004661258,0,0,0,0.00602787944659147,0,0,0.101868772139146,0,0,-0.0454567084301599,0,0,0,-0.0286828452069781,0.0140065103026363,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.015128840118949,0,0,0.0602167428730488,0.00170684560353832,0,0,0,-8.67361737988404e-19,0,-0.0169081186898616,0,0,0,0,0,-0.13974789856871,0,0,0,0,0.156323422689685,0.127344537008761,0,0.00357122035461836,0,0,0,0.0937060751237804,0,0.209983834968292,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152080477717938,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0,0,0,0.111059687164214,0,0,0,0,0,0,0,0,0.0786679607121941,0,0,0,0.348427908505679,0,0,0,0,0.0628145129953128,0,0,0,0.0834538070478365,0,0,0,0,0,0.0304942359571779,0,0.155853031793061,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110103166422952,0,0,0,0,0,0,0
X600141.SH,0,0,0,0,0,0,0,0.120969903370367,0.0375994701597397,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0228861305911251,0.00875790559786147,0.0167771211416155,0.0231574687553611,0,0,0,0,0,0.122667611501034,0,0.258576886437509,0,0,0,0.0306329064626886,0.0543472214123566,0,0,0,0,0,0.0361201407360022,-0.0135618892352496,-0.0293418890904231,0,0,0,0,0,0
X000831.SZ,0,0,0,0,0,0.0144604885436199,0,0,0,0,0,0,0,1.03603679468694,-0.0793423427264448,0,0.535399310084822,0,0,0,0,0,0,-0.171948689877757,0,0,0,0,0,0,0,0,0,0,-0.0316478050296936,0,0.00170169064060405,0.0204229440930012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669122788899043,-0.0144605821529755,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419700093510087,-0.0954799869763737,0.13847532287335,0,0.00835394732978979,0,0,0,0,0,0,0,-0.011010480112023,0,0,0,0.112491868477886,0,0,0,-0.0260631096655857,0,0.0344536664349052,0,0.042347958076298,-0.291330224121367,0.0738408792639808,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,-2.36336328766429,0,0,0,0,0,-1.43474810722237,1.20034776696847,0,0,0,0,-3.156550504184,0,0,0,0,0,0,0,-0.0759231685571242,0,0,0.405696004208191,0,-1.01513795671196,0,3.03144038731296,0,0,0.206890006717972,0.0175057092083957,0,0,0,0,0,-2.25670691420313,1.40896423689462,0,0,0.0458742207303285,0,0,0,0,0,0
TED,0,0,0,0,0,0,0,0.113006504365925,0,0,0,0,0,0,0,0,0,0.0522692192149968,0,0,0,0,0,0,0,0,0.138595337667897,0,-0.146550818809717,0,0,0,0,0,0,0,0,0,0.157415749389778,0,0,0,0,-8.67361737988404e-19,-0.225624029665418,0,0,0,0,0,-1.00303660118419,0.237663853302269,0,0,0,0,0,0,0
RealEstate_excess,0,-0.0863513743729369,0,0,0,0,0,-0.240954677377794,0,0,0,0,0,0,0,0,0,0,-0.0352897040669606,0,0,0,0,0,0,0,0,0,0.107523581690747,0,0,0,0,0,0,0,0.179763516636557,0,0,0,0,-0.0146628338433158,0,0,0.076592593783471,0,0,0,0,0.0232846258996784,0,0.00438098332881587,-0.0223072362366582,0,0,0,0,0,0
MKreturn,0,0,0,0,0,-0.138238082431265,0,0,0,0,0,0,0,0,0.0325813059063185,0,0,0.0797357282433799,0.0119892377290844,0,0,0.0255883107318285,0,-0.0464736104412539,0,0,0,-0.0206229788256821,0,0.0242402655368563,0,0,0,0,0.0332397795523003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042398167651467,0,-0.0139272389856378,0,0,0,0,0,0,0
MKvol,0,0,0,-0.000243173788657162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000370915638325818,0,0,0,0,0,0,0,0,0.000786139713081137,0,0,0,-0.000652318212719906,-0.00052655611837031,0,0,0.00260568287742817,0,0,0.000656603617288425,0,-0.000202454527682298,0.000657259857969194,0,-0.000201545732675886,0,0,0,0,0,0,0,-0.00341514455294752,0.00143827166265711,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,0,-0.0114558653189067,0,0.0158724309495375,0,0,0,0,0,-0.00506766116370073,0,0,0,0,0,0.0406306977012377,-0.0420200706694372,0,0,0,0,0.0030688068397566,0,0,0,0.0220313634255116,0,0,0,-0.0104250172886818,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0.0109085729960569,0,0,-0.0109653542982262,0.0241445948591301,0.0137947490538444,0,0,0,0,0
