,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601600.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601992.SH,X600362.SH,X002466.SZ,X600660.SH,X601991.SH,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600516.SH,X600027.SH,X600157.SH,X002460.SZ,X000898.SZ,X600339.SH,X000959.SZ,X600489.SH,X002092.SZ,X600808.SH,X601158.SH,X600352.SH,X600219.SH,X002271.SZ,X000630.SZ,X000883.SZ,X000983.SZ,X600176.SH,X000723.SZ,X600299.SH,X600578.SH,X000408.SZ,X000792.SZ,X000060.SZ,X600008.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0,0,0,0.151551200009479,0,0,0,0,0,0,-0.0521986436518173,-0.0157297567579424,-0.00416549328216632,0,0,0,0,-0.0161754421542026,-0.0322475378534478,0,0,0,0,0,0,0,0,-0.0349730994159599,0,0,0,0,0,0,0,0.0936522898612224,0,0,0,0,0,0,0,0,0,0,0,0.0440575266843759,-0.0321278025623082,-0.0116956130965066,-0.0245457910450179,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0883556927341198,0,0,0,0,0,0.0379026291880352,0,0.027787877726157,0,0,0.0288223624970618,0,0,0,0.368811808952466,-0.070947945238719,0,0,0,0,-0.201582661526577,0,0,0,0,0,0,0,0,0,0,0.482990553044493,0,0,0,0,0.0141741916233644,0,0,0.0194129058104513,0,0,-0.0161461562909126,-0.0156286720261598,0,0,0,0.160692446339296,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0780139109542798,0,0,0,0.0623651118825202,0,0.0416298547292529,0,0,0,-0.0482066388696869,0.00721186902572879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124353131031162,-0.0151295679068165,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,-0.0721239168472435,0,0,0,-1.38777878078145e-17,0,0,0,-0.106501775430339,0.0378102653159943,0,0,-0.0677827480413433,0,0,0.667735377665939,0.0661735528472678,0,0.182611508020123,0,0,0,0,0,0,0,0,0.0124819289395953,0,0,0,0,0,0,0,0,0.38903446632916,0,0,0,0.366805719806086,0,0.0180323710560589,-0.0229706157867605,-0.00981211127821266,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.034120483307741,0,0.316751347749748,0,0.128962539381756,0,0,0,0,0.056490564240799,0,0.00567775937020266,0,0,0.00557402223315465,0,8.67361737988404e-19,0,0,0.0628919722480696,-1.73472347597681e-18,-0.0135748919438608,0,0.0327985314316321,0,0,0,0,0,0.0614702612214683,0,0,0.157222810478605,0,0,0,0,0,0,0.105912524746606,0,0,0,-0.00715423725991907,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617818341248232,0,-0.0166217379981631,-0.145012381315976,0,-0.0965417429266368,0,0,0,0,-0.0157994761535982,0,0,0.154060250336457,0,0,0,0,-0.166693473364438,0.212139911361078,0.115121547433587,0,0,0,-0.0144864456074436,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0854522203304999,0,0,0,0,0.0427841590807191,0,0,0,0,0,0,0,0,0,0,0,-0.0912474312937303,0,0.0276536068805892,0,0,0.0168090740369485,0,0,0,0,0,0,0,0,0,0.161841273152159,0,0,0,0,0,0,0,0.160355918670458,0,0,0,0,0,0.019996801861012,-0.0334716976524262,0,0,0,-0.169315790828137,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177222635900745,0,0,0,0,0,0,0,0,0,0.0276386827686616,0,0,0,0,-0.0382476824108991,0.251959651936245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658392166298699,0,0,-8.67361737988404e-19,0,0,0.00793308111908638,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0.32071692368783,0,0,0,0,0,0,0,0,0.119814936785412,0,0,0,0.073541585546793,0,0,0,0,0,0,0.0148285280947029,0,-0.116377671612004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203418753355821,0,0,0.267091836956712,0,0,-0.0589269332213452,0.119111875873868,0,0,0,1.37534367945845,0,0
X300072.SZ,0,0,0,0,0,0,0,0.600391264015187,0,0,0,0,0,0,0,-0.0637283062585922,0.265627998259914,0.561366955169375,-0.275709245461918,0,0,0.794544268352678,0,0,0,0,0,0,0.0182433926625396,-0.373538527496162,0,0,0,0,0,0,0,0,0,0,-0.563834643957692,0,0,0,-0.0584445851446275,0,0,0,0,0,-0.0760613398666532,0.197103958869585,0,0,0,0.0406894962790292,0,0
