,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X600886.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X000877.SZ,X002271.SZ,X600795.SH,X600362.SH,X600027.SH,X600426.SH,X601991.SH,X601699.SH,X600176.SH,X600803.SH,X000983.SZ,X600489.SH,X000807.SZ,X600995.SH,X000786.SZ,X600160.SH,X600219.SH,X600688.SH,X000933.SZ,X000408.SZ,X600612.SH,X000932.SZ,X000629.SZ,X002080.SZ,X000630.SZ,X600096.SH,X000723.SZ,X300037.SZ,X600157.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000983.SZ,0,0,0,0,0.308961361307795,-0.0658696452370339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231329183065099,0,0,-0.181402723155556,0,0,0.247758732987719,0,0,0,0,0,0,0.167365604826823,-0.077546358475152,0,0,0,0,0,0,0,-0.027952062668545,0.130210474384414,0.0531790810026566,0,0,0,0,0,0.0617872048270671,-0.0493113787840102,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0.667272121694823,-0.0232539548646352,0.131462680941501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516697172144151,0.0469110766812806,0,-0.0781932112841325,0.0313147957857245,0,0,0,0,-0.033253962462692,0,0,0,0,0.0725801551939298,0,0,0,0,-0.0534642137460961,0,0.0357179383430386,0,0,0.0057581307357441,0.00740036054264312,-0.0618934288611041,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.200804730191502,0.427046201683948,0,0,0,0,0,0,0,0,0,0,0,0,0.021378502983393,0,0,0,0.110287053689175,0,0,0,0,0,0.0382547455631231,0,0,0.334012068855117,0,0.0619232689256802,0,0,-0.0645686294704079,0.151076021336948,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0050385863797948,0,0,0,0,0,0,0.082333362453378,0,0,0,-0.0373514327958253,0,0.209432481890905,0,0,0.0431300151713402,0,0,0.100019637625843,0.0938206140483158,0,0,0,0,0,0,0,0,0,0,0,0.00734334732639657,0.00482127760184825,0,0,0,0,0,0
X000786.SZ,0.111365216622188,0,0,0.0980377981675642,0,0.0282835091514731,0,0,0,0,0.0830379482970378,0,0,0,0.3425947206339,0,0,0,0,0,0,0.116072398441648,0,0,0.00976563456047754,0,-0.138049860908653,0,0.386444086510821,0,0,-0.121305695016122,0,0,0,-0.114069896226055,0,0,0,0,0,-0.0252979548419121,0,0,0,0,0,-0.0250599509388047,0,-0.0182017413537947,0,0.0859353665908023,-0.0436796321229691,0,0,0,0,0,0
X600160.SH,-0.0532058419212024,0,0,0,0.0897698881830626,0,0.214012877761169,0,0,0,0,0,0,0.0572878591811864,0,-0.247054781617562,0,0,0,0,0,-0.0216313591204657,0.301763982643458,0,0,0.191217933032134,0.0716393082098495,0.0216541719224544,0.425895066681241,0.083684759397492,0,0,0,0,0,0,0,0,0,0,-0.0672605154733821,0,0,0.314118601820537,0,0,0,0.0784972330461291,0,0,0,0.0496049164743957,-0.0736650417204585,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0363610706032041,0,0,0.0748956666728398,0,0,0,0.052520350309253,0,0,0,0,0,0,0,0,0,0,0.0128917086831269,0,0.0654539996060865,0,0,0.088980604217636,0,0,0.132418843183051,0.14626818143702,-0.0352038144932165,0.0621566632697157,0.00351088190555494,0,0.112272161257703,0,0,0,0,0,0,-0.0153797948203928,0.0174443978455334,0,0,0,0,0,0
X600688.SH,0.00037607440554083,0.260322482800522,0,0,0,0,0.0340533037084314,0,0,0.149847237159498,0,0,0,0,0,0,0,0,0,0.0870603471292062,0.0361803561137702,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.0322123404158028,0.0139669594003511,0,0.0645393628390571,0,0,-0.274774829247735,0,0,0,0,0.0616364514248426,0,0,0,0,0,0,0
X000933.SZ,0,0,0,0.0274792598743598,-4.33680868994202e-19,0,0,0,0,0.0840843912498106,0,0.0839677409189426,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717167948372978,0,0.0620629555913045,0.0411266037026085,-0.0374103902227967,0,-0.0881913639838119,0.697032057883608,0,0,0,0,0,0,0,-0.166895696514986,0,0,0,0,0,0,0,0,0,0,0.000341170945364301,0.00671571932316594,0,0,0,0,0,0
X000408.SZ,0,-0.162472607085034,0,0,-5.42101086242752e-20,0,0,0,0.384025979759023,0,0,0,-0.0632637950042465,0,0,0,0,0,0,0,0,0,0,-0.0659298686375479,0,0,0,-0.0144046145972985,0,0,0,0,0,0,0,0,0.335661184216221,0,0,0,0,0.0476370929268784,0.0300432706336978,0.0143866403862061,0,0,0,-0.0684038571514153,0,0,0,0.0639248047688228,-0.0401216806640535,0,0,0,0,0,0
