,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X300072.SZ,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X600886.SH,X601992.SH,X600489.SH,X600309.SH,X600660.SH,X600299.SH,X600623.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000983.SZ,X000723.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600352.SH,X600549.SH,X000959.SZ,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X000060.SZ,X000012.SZ,X002460.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0.154201632364524,0,0,0,0,0,0,0,0,0,0,0,0.0699434552500432,0.111527759343851,0,0,0,0,0,0,0,0.0122478938920451,0.14223970037358,0,0,0,0,0,-0.0317148354754777,0.295438454192953,0,0,0,0,0,0,-0.0428452661277734,0.17341754745535,0,-0.057566023443744,0,-0.0632186954817596,-0.065214495536404,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.236616369907454,0,0.00312577703588626,0,0.00455945077437533,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0500629241738733,0,0,0.148579455978976,0,0.174618787273923,0,0.0883312998161553,0,0,-0.0989264098575692,0,0.1193345183507,0,0,0,0,0,-0.0237330169684079,0,0,0,0,0,0,0,0.00901667571679744,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,-0.0156993933098592,0.727784242872691,0,0,0,0,0,0,0,0,0.0308509518638545,0,0,0,0,0.0571415811212436,0,0.0629622587181663,0.102156382734523,0.0938371895458711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182487041086067,-0.186211365525638,0,0,0,0,0
X000723.SZ,0,0,0,0,0,-0.0840041662474925,0,0,0,0.0281219778000745,0,0,0,0,0,0,0,0.0610577939035533,0.154897042166599,0,0,0.0425594501089536,0,0,0,0,0,0.0203320224324302,-0.00243770108176789,-0.152964236502946,0,0,0,0,0,0,0,0,0.115852945804376,0.113549303795093,0,0,0,0,0,0,0.0976187933771773,0,0,-0.335123302401646,0,-0.0345028979189019,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,-0.131062853776581,0,0,0,0.0739740543539641,0.0917265990042592,0,0,0,0,0,0,0,0.104495968913124,0,-0.0423189021248181,-0.150203172038792,0,0,0.359902113381216,0,0,0.0918616783805587,0,0,0,0.0226836220509891,0,0,0,-0.127139143246496,0,0,-0.009348075973856,0,0,0,0,0,0,0,0,0,0,0,0,-0.096036239287714,0,0.305388357106626,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0679609736255004,0,0.079921329251716,0,0,0,-0.0424979004112288,0.0708990726057431,0.173217249969329,0,0,0.122248163765331,0.301986602954477,0,0,0,0,0,0,0,0.109318256268854,-0.0274493245013754,0,0,-0.0448412595411082,0,0,0.148204611816534,0,0,0.024827787249818,-0.131877845089669,0.108063833260513,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0.0264469062126613,0,0,0.0769674408205349,0.0126963659455973,0,0,0,0,0,0,0.0167275612197429,0,0,0,0.0268741313073074,0,0.0944377515776994,0,0,0,0,0,0.0452083235396214,0,0,0,0,0,0,0,0,0,0.00975082307457123,0,0,0,0,0.061832340049582,0,0,0,0,0,0,0,-0.00575365268207747,-0.0305282831036887,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0.0528263781106122,0,0,0,0,0.0938300483833776,0,0,0,0,0.179350931187038,0,0,0.188505553184582,0.0852103781362837,0,0.0205943453198547,0.0637005776489467,0,0,0.0986719491597678,0,0,0,0,0,0,0.0477808001721272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102981435263193,0,0.0527268374691457,0,0,-0.0344556127603504,0.0255384162743568,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0,-0.300312647755618,0,0,0,0,0,0,0,0.478675812105716,0,0,0,0.333819129170304,0,0,0,0,0,0,0,0,0,0,0.017988497227625,0,0,0,0,0,0,0,0,0,0,0,0,0.601067339530233,0,0.200314269979269,0,0,0,0.021836638090586,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0904810416042254,0,0,0,0,0,0,0,0,-0.120859893161821,-0.176138476490105,0,-0.102186745978104,0,0.15392756279951,0,0,0.370742508745603,0,0,0,0,0.243592124994664,0,0,0,0,0,0,0.0061366192710517,0,0.0304328114668158,0,0.360390841352793,0,0,0,0,-0.0268060605311553,-0.0556276148563997,0,0,0,0,0,0
