,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X601991.SH,X600688.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X000898.SZ,X600516.SH,X600547.SH,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X300072.SZ,X000786.SZ,X000932.SZ,X600801.SH,X000709.SZ,X600808.SH,X600426.SH,X600339.SH,X000883.SZ,X600583.SH,X601158.SH,X600219.SH,X601699.SH,X600985.SH,X000830.SZ,X600489.SH,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0,0,0,0.179217474787013,0,0,0.0855816582199869,0,0.0165464895696487,0,0,0,0,0,0,0,0,0,0,0.099003211548301,0,0,0.0230508088627427,0.0246107803582414,0,0,0,0,0,0,0,0,0,0,0.263671162325867,0,0,0.222926122464323,0,0.0122031444207292,0,1.38777878078145e-17,0,0,0.000598263761723498,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0838192139020978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967155328017327,0.0571822380614251,0,0,0.0831772557799938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261432624463736,0,0,0,0.156630524980976,0,0,0,0,0,-0.00699936643293656,-0.00174606014560501,-0.00583204133252883,0,0,0,0,0
X600688.SH,0.00463134655565352,0.294598666052849,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0.252168310339642,0.0200999900255697,0,0,0,0,0,0,0,0,0,0,0,0,0.00698566577778298,-0.0153598473372384,0,-8.67361737988404e-19,0,0,0,0,0,0.0340750376910855,0,0,0,0.0580894382131247,0,0,0,0,-0.0315228003169529,0.00464709998800755,-0.00157936916620222,0,0.0396275703764659,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.278898213771989,0,0,0,0,0,0,0,0,0,0,-0.0310983725590219,0,0,0,0,0,0,0.104835269097025,0.0352934757412687,0,0.0884361467549915,0,3.46944695195361e-18,0,0.0251018137772586,0,0,0,0,0,0,0.243618294464578,0,0,0,0.151723582638623,0,0,0.000398171146384403,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.081430495757173,0,0,0,0,0.292704563657309,0,0,0,0,0,0,0,0,0.0373149444824787,0.0444344216272902,0,0,0,0.0762109104087636,0,0,0,0.0142032568508125,0,0,0,0,0,0,0,0.0511820592090728,0,0,0,0,0,0.0158634495921614,0.0361959861058875,0.0353503686659165,0,0,0,-0.00347322352457832,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264421951460305,0,0,0,-0.0221588530968747,0,0,-0.00662826283683207,0.0903491014732814,0.0137568914761579,0,0,0,0,0,0,0,0.149488295075201,0,0,0,0,0,0,0,0,0,0,0.00535367600356374,0,0,0,0,0,0,0
X600362.SH,0,0,0.0927086445268954,0,0,0.141446848766755,0,0,0,0,0.38079013995952,0,0,0,0,0,0,0.0340193273329787,0,0,0,0,0,0,0,0,0,-0.024299488307827,0,-0.0322865002200428,0,0,0,0,0,0,0,0.133476248437819,0,0.00245636386079213,0,0,0.0697165490133075,0,0,0,0.028369260866179,0,0,0.00457835163413321,-0.00338550834843932,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.433617404809725,0.0864396984889462,0.0775472699100021,0,0,0,0,0,0.901602924864898,0,0,0,0,0,0,0,0.270894453098952,0,0,0,0,0.371677440967773,0,0,0,0,0,0,0,0,-0.0446322421846827,0,0,-0.0618237714714653,0,0,0,0,0,0,0,0,-0.637232139758363,0,0,0,0.000997396328573195,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0.0398649598064406,0,0,0,0,0,0.213350855970117,0,0,0,0,0,0,0,0.0909271958707882,0,0,0,0,0,0,0.0251583310118556,0,0.0720245612812132,0.0707976693667375,0,0,0,0.11297877465554,0,0,0,0,0,0,0,0.021353591492044,0,0.0734688495729305,0.206526265299345,0,0,0,0.00504252836255675,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253720961392849,0,0,0,0,0,0,0,0,0,0,0,0.011782353574878,0,0.189118090230431,0.0120923796304531,0.157765920825737,0,0,0.0717764540624434,0,0,0,0,0.110983394464366,0,0,0,0,0,0,0.298402369105682,0,0.00769087229603901,0,0,-0.0238342090841459,0,0,0,0,0,0,0
