,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X300072.SZ,X600688.SH,X002460.SZ,X600795.SH,X600660.SH,X601992.SH,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X000898.SZ,X600516.SH,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X000408.SZ,X000786.SZ,X600339.SH,X600176.SH,X600219.SH,X600489.SH,X000959.SZ,X000723.SZ,X000553.SZ,X002271.SZ,X600808.SH,X600352.SH,X601158.SH,X000883.SZ,X000807.SZ,X000630.SZ,X600549.SH,X000983.SZ,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600660.SH,0,0,0,0,0,0.0937734081641334,0,0.0657848951743181,0,0,0,0.238662487536921,0,-2.16840434497101e-19,-0.00343225046936099,0,0,-0.0684811625744905,0,0,0,0,0,0,0.0177733245868373,0,0.0282603049397341,0,0,0,0.0519642748719651,0,0.0116819693670201,0,0,0,0,0.0501105221731101,0,0,-0.119761809656155,0,0,0.0367574646801768,0,0,0,0,0,0,-0.105297082010309,0.0944758360638609,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.0394769539069919,0,0,0,0.0368551677507659,0,-0.0433890000425193,0,0,0,0,0,0,0,0,0,0,0.0963466451674721,0,-0.0196704116973969,0,0,0,0,0.126340570942975,0.044079659725375,0,0.448033979966639,0,-0.0957739905826741,0.269955258872296,0,0,0,0,0,-0.0167277341232883,0,0,0,0,0,-0.0229533077522303,0,-0.0379325420665061,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412735983182056,0,0,0.0220728426147227,0,0,0.00363511177180893,0,0,0,0,-0.0570834780910883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61492568334551,0.0231725162254891,0,0,0,0,-0.0313624011421006,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.062890140942093,0,0,0,0,0,0,0.211462201904282,0,0,0,0,0,0,-0.0179681541386634,0,0,0,0,0,-0.00604824925783875,0,0,0,0,0,0,0,0,0,0,0,0,0.0604722157261955,0,0.0233935931182817,0.428362919858284,0.120894638447106,0,0,0,0.0318345202786855,0,0,0,0,0,0
X601991.SH,0,0,-0.041606951309486,0,-0.00131973903120979,0.133119936955986,0,0.0618921434450883,0,0,0.0236404319356147,0,0,0,0,0,0,-0.0173075044652236,0,0,0,-0.0183430445129528,0,0,0,0,0,0,0,0,0,0.227077373964184,0.0271938453729648,0,0,0,0,0.0374505083431033,-0.0399595583653799,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.125413711061845,0,-0.0196171320524469,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.082414056184674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557117017407617,0.0163145362481996,0,0,0,0.544539173479531,0,0,0,0,0,0,0,0,0.00797984496635275,0,0.0210593031617468,0,0,0,0,0,0.0106068850985702,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,-0.250816567048896,0,-0.0228281416571277,0,0,-0.151740285703671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241092698290071,0.143154851252282,-0.0658631671116273,0,0,0.240839804165245,0.0571189345212686,0,0,0,0,0,-0.0592019163057093,0,0,0,0,0,0,0,0,0.743631788664736,0.187193653753109,0,0,0,-0.00649375440020622,-0.0441598026855237,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0321881735757957,0,0,0.00313927746094295,0,0,0,0,0,0,0,0,0,0,0,0,0.0821599201097523,0,0,0,0,0,0,0,0,0.0169864298771999,0,0,0.0342444191315909,-0.0543004001140449,0,0,-0.0623202340670262,0,0.0779003325755832,0,0,0,0,0,0,0,0,0,0,-0.108025971880963,-0.0331022045517933,0.0297504638117471,0,0,0,0,0,0
X000898.SZ,0,0,0,0.164024119915442,-0.0199833771929319,0,0.0507637500146996,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02316774900187,0,0,0,0,0,0.00622804458778054,0,0,0,-0.035529715011766,0,0,0,0,0.076457495190437,0,0,0,0.590855888247163,0,0,0,0,0,0.00386451322579162,0,0,0,0,-0.0272815238216439,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,-0.276971154404519,0,0.248833817346872,0,0,0.196443951316077,0.0854957271906723,0,0,0,0.264777473612773,0.258918741992982,0,0,0,-0.0144556283410843,0.270122924086074,0,0,0,0,4.33680868994202e-19,0,0,0,3.46944695195361e-18,0,0,0,0,0.624076922164521,0.297328862702328,0,0,0,0,0,0,0.416912177087579,0,0,-0.550624128726001,0,0,0.300755067231013,-0.0619248219975617,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0.0721002007314041,0,0.14760463985324,0.0119052338614934,0,0,0,0,0,0.00780719283349105,0,0,0,0,0,0,0,0.047503455406624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325319123482993,0,0,0,0.0803595975192456,0,0,0,0,0,0,0.135385466187463,0.0177740502449308,0,0,-0.0592889378151451,0.0107316407125918,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318364976668543,0,0,0,0,0,0,0,0.115865868806882,0,0.307770599941004,-0.104211993487804,0,0,0,0,0.0410152010132477,0,0,0,0,0,0,0,0,0,0.0207388105757442,0,0,0,0,0,0,0,0,0,0,0,0.1659777935921,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0.0189953349188523,0,0,0,0.063975755613817,0,0,0,0,0,0,0,0,0,0,0,0.0509188579317286,0,0.0467635915298166,0,0,0.043731264092661,0,0,0,0,0,0.0521451915757326,0.0253627324465509,0.0380124589260256,0,0.0295231570317906,0,0,0.073521929424839,0,0,0,-1.73472347597681e-18,0,0.0336550135749507,0.0275645324174362,0,0,-0.0323849605465003,0,0.00442257756551947,0,0,0,0,0,0
X600027.SH,0,0,-0.0521987942426584,0,0,0,0,0,0,0.149097338616677,0.032465549075052,0.0193255071768856,0,0,0,0.0365840840392892,0,0,0,0,-0.0982598257646012,0,0,0.0189704018594764,0,0,0,0,0,0,-0.00401688137908903,0.0486159459508208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464953147175178,0,-0.00782825501318242,0,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,-0.668546889703397,0,0,0,0,0.206346009861749,0,0,0,0,0,0,0,0,0,0.240448821142428,0,0,0,0.00938239683663192,0,0.202886611674757,0,0,0,-0.00198852160549253,0,0,0.57260017206919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270275890488549,-0.14787559676283,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0.195311540269345,0,0,0,0.256472237337593,0,-0.0887182560551824,0,0,0,0,0,0,0,0.226095810796387,0,0,0,0,0,-0.00781470820333794,0,0,0.0868986999419601,0,0,0.561447146622497,0,0,0,0,0,0.0509026261020374,0,0,0,-0.114926531592677,0.11510126569573,0,0,-0.0136703869183205,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,-0.0270725008671809,0,0,0,0,0,-0.0555147389685049,0,0,0.20845326092935,0,0,0.0303963216639708,0,0.17009872428838,0,0.0261497760369896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0467457895917193,0,0.0400084848653062,0,-1.73472347597681e-18,0,0,-0.0448330233319359,0.0217785247502335,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0.098590244250943,0,0,0,0,0,0,0,0,0,0,0.0679515888214604,-0.0395954623540473,0,0,0,0.0529700855145415,0,0,0,0,0.0792209882219014,0,0,0,0,0,0,0,0,0.0155742759097121,0,0,0,0,0,0,0,0,0,0.00406789037521063,0,-0.097886989750552,0,0,-0.071118356169583,0.0818303864115231,0,0,0,0,0,0
X600219.SH,0,0,0,0,-0.0296176028702547,0.288251131598451,0,0,0,0,0,0,0,-0.0329724631511091,0,0,0,0.0432227731318678,0,0,0,0.0692583185882982,0,0,0,0,0,0,0,0.0416577446511408,0,0,0,0,0,0,0.0234875344841042,0,-0.0190015195389989,0,0,0,0,0.0377444125051978,0,0.108810636941512,0,0,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.0177130961384547,0,0,-0.0183060659674384,0,0,0,0,0,0,0.0603011190645765,0,0,0.344966254474633,0,0,0,-0.00877750959816016,0,0,0,0,0,0.097906669143298,0,0,0,0,0,0,0,0,0.00883161152801913,0,0,0,-3.46944695195361e-18,0,0,0.165908598620821,0,0,0,-0.0137367736367889,0.0197190973694652,0,0,0,0,0,0
