,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600352.SH,X000708.SZ,X600795.SH,X600688.SH,X000723.SZ,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X600516.SH,X600489.SH,X002271.SZ,X000786.SZ,X000898.SZ,X002460.SZ,X002466.SZ,X600176.SH,X600299.SH,X000709.SZ,X601158.SH,X000883.SZ,X600426.SH,X600612.SH,X000629.SZ,X600219.SH,X002353.SZ,X600583.SH,X000027.SZ,X000630.SZ,X000553.SZ,X000825.SZ,X601699.SH,X600315.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000723.SZ,0,0,0,0,0.530113989678638,0,-1.38777878078145e-17,0,0,0,0,0.880682893360929,0,0,0.352237924461841,0,0.0462153701571118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0435387996543875,0.175565228833112,0,0,0,0.492075774568455,0,0.0974341802435397,0,0.00407703735147291,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0291108709517953,0,0,0,0,0.141622011401576,0,0
X600111.SH,0,0,0,0,0,0,0.156220233085141,0,0,0,0,0,0,-0.179852899629529,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.437112563973166,0,0,0.321506016374366,0,0.0890921139520814,0,0,0,0,0,0.00539087108745607,0,0,0,0,0,0,0,0,0,0.0482248141430519,0,-0.0378156119065217,0,0,0,0,-0.0609218936482331,0,0
X600801.SH,0,0,0,0.527031931240033,0,0,0.0522878622878964,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.031846027209376,0,0,0,0,0,0,0,0.147669531398071,0,0,0,0,0,0,0,0.201694053172015,0,0,0,0,0,0,0,-0.0865268778282525,0,0,0,0,0.0228297611676925,0.0375871875786739,0,0,0,-0.0216276509931574,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.151082749385286,0.113707411776605,0,0,0,0,0,0.187988772670174,0.0859606309787327,0,0,0,0,0.0694355876182892,0,0.113930734899205,0.0103830363729742,0,0.0561505804188571,0.0151674890374831,0,0.0276238866003416,0,0,0,0,0,0,0,0,0,0.00895989717507208,0,0,0,0,0.00902686589907634,0,0,0.00351111466218285,0,0,0,0,-0.0219159748670801,0,0
X600027.SH,0,0,0,0,0,0,0,0.0489176213747524,0,0,0,0,0.152505426487648,0,0.0570886257099679,0,0,0,0,0,0.0367043601547901,0,0,0,0,0,0,0.0917791222195451,0.0959271098338888,0,0.108108339465087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229060137649703,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145045932484733,0,0,0.13087309174341,0,0,0,0,0.0861067273549697,0,0.181036417739495,0.202199828574977,0,0.00491532053426788,0,0,0,0,0,0,0,0,0,0.137455406903841,0,0.164215420125612,0.189306402260376,0,0,0.00382562410029639,0,0,0.00370077763677892,0,0,0,-0.0193252650856084,0,0
X600489.SH,0,0,0,0,0,0,0.628381906879855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108909877920841,0.072765261765655,-0.00416348953420327,0,0,0,0,0.0930766989174827,0,0,-0.0486690668910121,-0.0901358539016436,0,0,0,0,0,0,0.0647865537368699,0,-0.29736126048549,0,0.167959975270107,0.0503027702978903,0,0,0,0,0,0.0172142785122035,0,0.0291348906332234,-1.73472347597681e-18,-0.0995507347552764,0,0,-0.064696565147757,0,0
X002271.SZ,0,0,0.173445376232573,0.397774122433638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0762898807019774,0,0,0.0757054121405579,0,0,0,0.0472682839339726,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,-0.0549438652616312,0,0,0,-0.0885205833085863,0,0,0,0,0.360325589933123,0,0,0.396684832204221,0,0.0646828611855547,0,0,0,-0.0819380185338841,0,0
X000786.SZ,0,0,0,0,0.146695452177236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047505428514173,0,0.100142313902814,0,0,0.0431113696734466,0,0,0,0,0,0,0.112614310691837,0,0,0,0,0,-0.0656946268243871,0,0,0,-0.0250767230065368,0,0,0,0,0.302036589875129,0.312306096257433,-0.28826103250368,0,-0.013168416991409,0.0151107316534951,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,-0.0656311997572418,0,0.0500933057292796,0,0,0,0.0218341632090129,0.226399414774914,0,0,0,0,0,0,0.0690723115927894,0,0,0,0,0.0851903204304967,0,0,0,0,0.0150069326336557,0,0,0.125246243508948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218748468515017,0,0,0,0,0,0
