,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600795.SH,X600886.SH,X600362.SH,X600188.SH,X600010.SH,X600688.SH,X600309.SH,X600027.SH,X000883.SZ,X600583.SH,X601992.SH,X002353.SZ,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X000825.SZ,X600315.SH,X000831.SZ,X000027.SZ,X600808.SH,X600352.SH,X600660.SH,X601699.SH,X600578.SH,X600307.SH,X000630.SZ,X000983.SZ,X600549.SH,X600490.SH,X600863.SH,X000937.SZ,X002470.SZ,X000959.SZ,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000831.SZ,0,0,0,0.23207443241264,0,0.115473826106851,0.0589979016511166,0,0,0,0,0.0151856678482431,0,0.0894628872955556,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0921375358454695,0.0817300909403678,0,0,0,0,0,0,0,0,0.101879117199208,0,-0.115306071975631,0,0,0,0,0.000680834314268217,-0.0136092089426883,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0.0779375961719697,0,0,0.0592136897065318,0,0.138813548803594,0,0,0,0,0,0,0,0,0.0250567794673811,0,0.123996349887409,0,0,0,0.0547797038413164,0,-0.0728494985298341,0,0,-0.0288071226775437,0,0,0,0,0.075087305704568,0,0,0.0985235920182292,0,0,0,0,0.0221183222532503,0.0944351820642703,0.0468392101726063,0,0,0,0,0,0,0.031477617469061,0,0
X600808.SH,0,0,0,0,0,0.19971155080844,0,0,0.110359161937732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22481848329694,0,0,0,0,0,0.0186098889550789,0,0,0,0,0,0,0,0.0697009490181542,0.163885070180889,0,0,0,0.0442498991259485,0,0.00804284058101451,0,0.100795817012641,0,0,0,-0.0134286710488641,-0.017666497656454,0,0,0,-0.322128552073985,0,0
X600352.SH,0,-0.820747405642129,0,0,0,0,0,0,0,0,0,0.0420520061809626,0,0,0,0,0,0,0.298938539797612,0,0,0,0,0.323290893628203,0,0,0,0,0,0,0.385244085529252,0,0,0,0,0,0,0.132978697572548,0.0529917311027768,0,0,0,0.00314154875698957,0,0,0,0,0,0,0,0.0751253109859508,-0.0679175811987128,0,0,0,0.145950577687361,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.0344748137401207,0,0,0.111591369685715,0,0.0531870185262189,0.0532756536040905,0,0,0,0,0,0.166195534371722,0.0235853245825099,0,0,0,0,0,0,0,0,0,0,0,-0.034630587615578,0,0,1.73472347597681e-18,0,0,0,0,0.120160548323226,0.107493360954292,0,0,0.0308576287988089,0.0604744398532645,0,-3.46944695195361e-18,0,-2.52515123161565e-05,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0.0162675545566501,0,0,0,0,0,0.0584484380407738,0,0,0.00672055921635881,0,0.0593372412549953,0,0.0403018922190172,0,0,0,0,0,0,0.0811138511498738,0,0,0,0,0,0,0,0,0,0,0,0,0.00867322258087752,0.19429441086109,0.478229630284801,0,0,0.0438363668923652,1.73472347597681e-18,0,-0.0066369534257667,0,0,0,0,0,0,0
X600578.SH,0,0,0,0,0,0,0,0.135717835034391,0.00187509794391013,0,0,0,0.109655787968498,0,0,0,0,0,0,0.0350876556923365,0,0.0835851472811683,0,0,0,0.0561879837463657,0,0,0,0.0385760166693266,0,0,0.0844911485152957,0,0.0972760610045541,0,0,0,0.0720005933856825,0,0,0,0,0,0,0,0.00837666529998724,-0.0205689172560805,0.175055893741187,0,0,0,0,0,0,0,0,0
X600307.SH,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.00918529077283194,0,0,0.0960338468751948,0,0,0,0,0,0,0.106256080506085,0,0.5689559254624,0,0,0,0.0418517699354934,0,0,0.247620708351548,0.0440182261923383,0,-0.135649210316676,0,0.12119053304533,0,0,0,0,-0.0578903441594618,0,0,0,0,-0.0947260105770203,0,0,0.0247760840531987,-0.0493808076212098,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329916253615998,0,0,0,0,0,0,0,-0.00548069612331596,0,0,-0.0877648380740941,0,0,0,0,0,0,0,0,0,0.29408169563597,0.139505007429564,-0.103989887025731,0,0,0.149520353529069,0,0,0,0,0.125194699265231,0.067467652325676,0,0,-0.0171373950966943,0.0247626353738629,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0.103901537966689,0,0,0,0,0.0649226706057709,0,0.0207193647427288,0,0,0.0691711312881489,0,0,0,0,0,0.126861047946837,0.0794689421160206,0,0,0,0,0,0,0.0142153218339495,0,0,0,0.24707214284334,0,0,0.0281314649519097,0,0,0,0,0,0,0,0.00235338671379064,0,0,0,0.0130274220034438,0,0,0,0,0,0
X600549.SH,0,0,0,0,0,0,0,0,0,0.175712972473292,0,0,0,0,0,-0.0491621679398976,0,0,0.0397936983945077,0,0.242835326847645,0,0,0,0,0,0,0,0,0.056410489985208,0,0,0,0,0,0,0,0,0,0.108746203154295,0,0,0.0436224673734354,0,0,0,0,-0.0863994635130647,0.116912047976448,0,0.00114199443807419,0,0,0,0,0,0,0
X600490.SH,0,0,0,0,0.0951165556898253,0,0,0,0,0,0.387921122736931,0,0,0,0,-0.00785580205866066,0,0.105879857872806,-0.010061212190003,0,0,0,0.231300595588807,0,0,0,0,0,0,0,0.120694870317211,0,0,0,0,0,0,-0.103206166422906,-0.214746886151519,0,0,0,0,0,0,0,0,0.100731130687234,0,0,0.139910786409994,-0.306770566480816,0,0,0,0,0,0
X600863.SH,0,0,0,0,0,0,0,0.124243652802543,0,0,0,0,0,0,0,0,0,0,-0.0763237052939506,0,0,0,0.0575004298090707,0,0,0,0.0856269933368246,0,0,0,0,0,0,0,-0.00572020583715994,0,3.46944695195361e-18,0.156164214775954,0,0,0,0,0,0,0.0887916671663063,0.129395328775063,0,-0.0121878857839167,0.148991921999126,0,-0.0218704072172532,0,0,0,0,0,0,0
X000937.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457699638369481,0.0185746099255627,0,0,0,0,0,0.116073858048338,0,0.0502483545929144,0,0,0,0,0,0,0,-0.0195811796662987,0,0,0,0,0,0.337756585956142,0,0,0.0436470819740107,0,0,0.0090217765622243,0.0728413841626264,0,0,0,0,0.0897257936119038,0,-0.00396998243607096,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,0,0,0.334171823867714,0,0,0,0,-0.0261934867638987,0,0,0.157285084984769,0.0301674808589359,0,0,-0.0978672364065634,0,0,0,0,0,0,0,0.0399508796699194,0,0,0,0,0.0471826777982894,0,0,0,0.0888643344246134,0,0,0.0256451023834834,0.00221957124027536,0,0,0,0,-0.0330878130534395,0,0,0.0048911156277124,0.0475064055193561,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0.162089110410534,0,0,0,0,0,-0.165855606382823,0.108644396023681,0,0,0,0,0.0972888365270083,0,0,0.0262793119521718,0,0.440475132299891,0,0,0,0,-0.106489345260246,0,0,0,0,-0.026358111893391,0,0,0,0,0,0,0,0.0145458061158643,0,0.0455258781278358,0,0,0.187991959384576,0,0,-0.00931524349026983,0,0,0,0,0,0
X000960.SZ,0,0,0,0,0,0,0,0,0.346854420091741,0,0,0,0,0.234085174928641,0.0871699428320024,0,0,0,0,0,0,0.197056804506841,0.0739953179629987,0,0,0,0,0,0,0,0,0,0.0140419523447411,0,0,0,0.0627127005621708,0,0,0.173673402197787,0,0,-0.142476555875963,0,0,0,0,0,0,0,-0.0193537916621099,0,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0.0652723818005109,0,0,0,0.200667263977538,0,0,0,0,0,0,0,0,0,0,-0.156479670022001,0,0,0.0900843499931777,0,0.0399594509193012,0,0,0,0,0,0.0428190108021171,0,0.0124829945234689,0,0.292691187768959,0.0728980977056203,0.0724241822264629,0,0,0.0189301301141226,0.206591705588925,0,0,-0.00826029584166986,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,0,0,-0.0173451651488208,0,0,0.0211059194677416,0,0,0,0.0379276612941347,0,0.125865339132149,0,0,-0.206742300444243,-0.0636335214229818,0,0,0,0,0,0,0,0,0,0.0143159576351765,0,0,0,-0.013276104538594,0.00855277389398394,0,0,0,0,0,0.0809966836423764,0.0244924826282884,0,0.0552622431942231,0,0.022196776038512,-0.0578791008002248,0,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120082145169215,0,0.703625906172757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0586893269259184,0,0,0,0.66568962221023,0,0,0.65780399269836,0.249149548561747,0,0,-0.407646584221321,0,0,0,0.219637257962493,0,1.10224288038735,0,0,0,-3.91036293561119,0,0
TED,0,0,0,0,0,0,-0.364072765828053,0,0,0,0,0.248960503569748,0,0,0,0,0,0.829835955652279,0,-0.79746839741876,0,0.0653278271951993,0,0,-0.479317946052342,0,0,0,0,-0.450089046338198,0,0.193490229632218,0.584855425319132,0,0,0.35995901202421,0,-0.0724774148418489,0,0,0,0,-0.0339707664189657,0,0,0,0,0,0,-1.17484144006462,0.528324496344641,0,0,0,0,0,0,0.754174922320991
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184742954640199,0,-0.025652322876009,0,0,0,0,0.0329387987013523,0,0,0.0933665341366737,0,0,0.0367528027232367,0,0,-0.236283324083197,0,0.0544187650505382,0,0,0,0,0,0,0,0,0,0,0,0,0.00366396620983249,0.00978020866441026,0,0.205936944986565,0,-0.137794153274258,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0.0874957725577811,-0.0552645039885583,0,-0.0189917987127137,0,0,0,0.0241710624714768,-0.037674528713095,0,0,0,0,0,0,0.070811515642834,-0.161493031209084,0,0.0198503726249953,0,0,0,0.159453572143254,0,0,0,0,0.0286291087246208,0,0,0,0.00540593177961036,0,0,-0.127680390291594,0,0,0,0,-0.0029928360275259,0.0305011140486042,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0.00052948764083647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000444198017199644,0,0,0,0,0,0,0.00144260181693972,-0.000671955314627766,0,0,0,0,0,0,0.00186008816727862,0.00059231049122851,0,0,-0.000337033679132761,0,0,0,0,-0.00130063102475316,-1.04267585436201e-05,0,0,0,0.00310869843189966,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615789046668554,0,0,0,0,0,0,0,0,0,0,0,0,0.0332808074440341,0,0,0.00844870784958333,0,0,0,0,0,0,0.00103536253890235,0.0200277669280075,0.0247123788338252,-0.0156896510426231,0,0,0,0,-0.0558758565593955,1.73472347597681e-18,0,-0.0969877080414189,0,0,0,0,0,0,-0.241566205543878
CarbonVol_Guangdong,0,0,0.00421908787167945,0,0,0,0,0,0,0,0,0,0,0,0.00233561454755896,-0.0017735226901672,0,0,0,0,0,0,0,0,0,-0.00497260955278322,0,0,0,0.0106597650155273,0,0,0.005514719447805,0,0,0,0,0,0,0,0,0,0.00229450209696713,-0.0143963993716384,-0.00380282547845617,0.00109550789945221,-0.00167055746851451,-0.00728008179494586,0,0,-0.00474060518005583,0,0,0,0,0.0104310365732551,0,0
CarbonVol_Hubei,0,0,0,0,0.0121203351852857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00130524090516085,0,0,0,0,0,0,0,0,0,0.000843133487608526,0,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159907630900761,-0.00505981722533852,0,0,0,-0.0228485709579512,0,0
