,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X300072.SZ,X600362.SH,X600660.SH,X600795.SH,X601992.SH,X600547.SH,X002466.SZ,X601991.SH,X600516.SH,X600111.SH,X000898.SZ,X600176.SH,X600886.SH,X000786.SZ,X002460.SZ,X000709.SZ,X000553.SZ,X000792.SZ,X600157.SH,X600352.SH,X600027.SH,X002271.SZ,X601699.SH,X600489.SH,X000408.SZ,X600808.SH,X600219.SH,X002110.SZ,X000959.SZ,X000983.SZ,X002092.SZ,X600583.SH,X600299.SH,X601158.SH,X600339.SH,X000883.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0.387197800403005,0,0,-0.103266260546044,0,0,0,0,0,0,0,0,0,0,-0.100773904432411,0,0,0,0,0,0,1.73472347597681e-18,0,0.152036512796532,-0.0174999531443893,0,0,0,0,0,0,0.048784433860441,0.0515351716035178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012482584229503,0,0.0517135363448808,0,0,0,0,0
X300072.SZ,0,0,0,-0.151288115096771,0,0,0.0324666521133121,0,0,0,0,0,0,0,0,0,0,-0.0106691041526982,0,0.068117687315007,0,0,0.299515454255808,0,0,0,0,0,-0.00742494964064174,0,0,0,0,0,0,0,0,0,0.146338063123699,0,0,0,0,0,0,-0.0511555355268876,0,0.00737927343938697,0,-0.0110348216328142,0.0320937624069808,0,0,0,0,0,0
X600362.SH,0,0,0,0.41423454088066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413061950183241,0.377090187618349,0.0436828509704156,0,0,-0.0171945625270976,0,0,0.0559690578234338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581192910412246,0,0,0,0.0162635280231679,0,-0.00941300181316119,-0.0409408938897579,0.158425236379738,0,0,0,0,0
X600660.SH,0.00645233146281766,0,0,0,0,0,0,-0.0790189586076207,0,0,0,0,-0.132209418138571,0,0,-0.0133448073796459,0,0,0,0.143789233123654,0,0.211086958378708,0.180128584872276,0,0.0160190691528167,-0.0915116446676792,0,0,-0.0444507002481598,0,0,0,0.135883255967343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147932758353773,0,-0.0172129747323875,0,0,0,0,0,0,0
X600795.SH,0,0,0,0.241647744769843,0,0,-0.0158291806037752,0,0,0,0,0,0,0,0,0,0,0,0,0.0253092204172084,0,0,0,0,-0.0329753775970204,0.106327623854411,0,0,0.0738761181622373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289147158208485,0,0,0,0,0,-0.00455762171984127,0.0288253671487714,0,0,0,0,0,0
X601992.SH,0,0,0,0,0.00165809731361788,0,0,0,0,0,0,0,0,0,0,0,0.140412759159565,0,0,-0.0257348327102096,0,0,3.46944695195361e-18,0,0,0,0,0.175600037806576,0.0381676236532283,0,-0.163691311807321,0,0,0.134899661079337,0,0.0382843844783914,0,0,0,0,0,0.0533214912561919,0.153263368982262,0,0,0,0,0,0,0.00179888173416211,-0.00485810875015343,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0.189280736451757,0,0,0,0.0844109090105032,0,0.0351643007784572,0,0,0,0,0.017973487513036,0,0,0,0,0,0.0224798378219917,0,0,0,0,0,0.676256065748063,0,-0.0841260680347751,0,0,0,0,0,0,-0.188554927320993,0,0,0,-0.122143411249305,0,0.0187931457318061,0,3.46944695195361e-18,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.0408261812736895,0,0,0,0,0,0,0,0,0,0,0.0863048620563779,0,0,0,0,0,0.73871324632316,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617880954555169,0,0,0,0,0,0,0,0,0,0,-0.0295758945067279,0.0527167820071301,0,0,0,0,0,0
X601991.SH,0,0,0.0380444176571529,0,0,0,0,0,0,0,0,0,-0.0483060614226786,0.0233436874649289,0,0.158105947378866,0,0,0,0.0253477576229742,0,0,0,0,0.0267351346483527,0.177816181325375,0.0258060402729484,0.0200848460457546,-0.0873816698101548,0,0,0,0,0,0,0,0,0,0.0641368251198921,0,0,0,0,0,0,0,0,0,0,-0.0142509377838523,0.024195591648227,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,-0.0860224953415034,0,0,0.342862288331613,0,0,0,0,0,0,0,0,0.356373564895127,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.115540813197464,0.0267819564856745,0,0.352399411778439,0,0.440927748898302,0.0830733881140866,0.381891526523776,0,0,0,0,0,0.0708003571465332,0,0.0288361423573066,0,-0.048687028081865,0.0400182720898005,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0.0763539824294148,0.192474540830429,0,0,0,0,0,0,0.0369537027063102,0,0.251842954923619,0,-0.0321292333182682,0,0.101142209622762,0,0,0.215728199225338,0,0,0,0,0,0,0.0127773167935701,0.27467646659488,0,0.0127817215650564,0,0,0,0,-0.0040414305705132,0,0,0,0,0,0,-0.00900625394880714,0,0,0,0,0,0
