,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600111.SH,X600019.SH,X601898.SH,X002271.SZ,X600660.SH,X000301.SZ,X000877.SZ,X600011.SH,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600176.SH,X600426.SH,X600362.SH,X600096.SH,X000983.SZ,X000408.SZ,X600803.SH,X000723.SZ,X000786.SZ,X600141.SH,X300073.SZ,X601699.SH,X600486.SH,X601991.SH,X600219.SH,X002080.SZ,X002192.SZ,X002353.SZ,X000807.SZ,X002497.SZ,X600157.SH,X600801.SH,X600295.SH,X600027.SH,X600489.SH,X000630.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0354998865413004,0,0,0,0,0,0,0,0.167921244195956,0,0.0121781006328179,0,0,0,0,-3.46944695195361e-18,0,0,0.00999407556739248,0,0,0,0.0149070236868343,0.0308527765181948,0,0.128810154168696,0,0,0.144430879212518,0,0,0,4.33680868994202e-19,0.0747673549289803,0,0,0,0,0,0.00190377673347814,-0.0259921739507062,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,0,0,-0.04367043842173,0,0,-0.0808025080164794,0,0,0,0,0,0,0,0,0,0,0.233196248261546,-0.238441909117689,0,0,0,0,0,0.133225707006985,0,0.0817875195641569,-0.0520846986556859,0.0224030769119011,0,0,0,0,0.0358967158032604,-0.0863457741610722,0,0,0,0.123958875781439,0,0,0,0,0,0,-0.0187221736638346,-0.11743949292427,-0.116047859443194,0,0,0,0,0
Slope,0,0,0,0,0,0,0,0,0,0,0,0,-0.110524713443058,0.0764229216731535,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0341554523861431,0,0,0,0,0.0543672021352961,0.0850745879512874,0,0,0,-0.0541407997428615,0,0,0,0,0,0,0,0.800179048330675,0,0,0,-2.35455518405182,0,0
TED,0,0,0,0,0,0,0,-0.0590821788173347,0,-0.0447546862071019,0,0,0,-0.233065071997691,0,0,0,-0.124834528998685,0,-0.0916946315837165,0,0,0,0,0.38201697928214,0,0,0,0,0,0,0,0,0,0.0948893437439039,0,0,0,0,0,-0.175271810128195,-0.0310108963157788,0,0,0,0,0.0520624849207649,-0.0444910212840964,0,0,0,0.225344168537743,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,0,0.0483840287270424,0,0,0,0,0,0,0,0.0890415186669044,0,0,0,-0.0468017039458749,0.0577737853913315,-0.128887769368582,0,0,0,0,0,0.0341841464900404,0,0.000561564181152055,0.00453472337723334,0,0,0.0119640622905856,0,0,0.0077024589209868,0,0,0,0,0,0,0.116773284713886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213834103394141,0,0
MKreturn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277287578423431,0,-0.184652989659859,0.229020314693393,0,0,0,0,-0.0650517051178011,-0.298035275182565,0,0,0,0,0,0,0,0,0,0,0.0168388642915551,0,0,0,0,0,0,0.162554598685759,0,0,0,0,0,0,0,0,0,0.0211407080107942,-0.055328569280609,0.113433542476538,0,0,-0.0646307504613045,0,0
MKvol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179288392696918,0,-0.000137785471300961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319881704987706,-0.00389394523584088,0,0,0,0,0,-0.00102566617793832,0.00237841833896368,0,0,0,0.00488089991015232,0.00519759599550077,0,0,0,0,-0.00103772506100139,0.0110301131068833,-0.0145031538168084,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0.0882746115719696,0,0,0,-0.772197561819583,0,0,0,0.0703654421527541,0,0,0,0,0.546681226333524,0,0.0790471437020123,0,0,-0.0716529213327094,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.723409966610578,0,0,0,0,0,0.03008943149659,0.198925872942907,0,-0.237796495294706,0,0,0,0,0,0,0,0,-0.182894034280818,0.0867135017538569,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,-0.00274081111211303,-0.00922146620175332,0,0,0,-0.0131119675103421,0,0,0,0,0,0,0.00122846753466072,0,0.00262313316010177,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104063996017544,-0.000700329398048065,0,0,0,-0.00430507709308053,0,0,0,0,0,-0.0579994441859858,0.0309412899688188,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0.00366489123354768,0,0,0,0,0,0,0,0,0,0,-0.0265585987197995,0,0,0,0,0,0,-0.0117674078944226,0,0,0,0,-0.00485061258794699,0.0131211912545797,0,-0.00598206510978376,-0.00708187586449254,-0.00373190718602787,-0.00226747212146354,0,0,0,0,-0.0189836783853933,0,0,0,0,0,0,0,0,0,0,-0.0424892268367614,0.0270152719316791,0,0,0,0,0,0
