,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X000898.SZ,X600176.SH,X601992.SH,X600516.SH,X002466.SZ,X600111.SH,X000709.SZ,X600352.SH,X002460.SZ,X600299.SH,X600489.SH,X000629.SZ,X600808.SH,X000786.SZ,X601158.SH,X600801.SH,X600219.SH,X000825.SZ,X000553.SZ,X600583.SH,X000883.SZ,X002110.SZ,X002271.SZ,X600157.SH,X002470.SZ,X600021.SH,X600612.SH,X600339.SH,X000408.SZ,X601699.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630403755990211,0,0,0.0309774196585445,0.0426367710425204,0.0535462354925711,0,0,0.102484260980353,0,0,0,0.0552554145138851,0,0,0,0,0,0,0.0797145105041577,0,0,0,0,0,0,0.00286629722399468,0,0,0,0,0,-0.0216247200050842,-0.00726145888214424,0.0118653016389277,0,0,0,-0.0139191926050525,0,0
X600801.SH,0,0,0,0.397064745851283,0,0.0011058514545995,0.024049774015496,0,0,0,0,0,0,0,0,0,0,0,0.15940759973076,0,0,0.0257968676701598,0,-0.0295854252968762,0,0,0,0,0,0,-0.132104143637898,0,0,0,0,0,0,0,0,0,0,0.16033257003501,0,0.0853229693838984,0,0,0,0,0,0.130347900573933,0,0.000668536194416235,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,-0.0101661484521471,0,0,0,0,0,0,0,0,0,0,0,0,0.183239347473599,0,0,0.0548469370616726,0,-0.105901261821623,0.00568868068738645,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.00311130682810799,0.143836051465858,0.0220340461462314,0,0,0,0,0,0,-0.00542898460977172,0,0,0,0,0.0604071801513883,0,0
X000825.SZ,0,0,0,0,0,0.0419697626909549,0,0,0,0,0,0,0,0,0,0,0,0,0.0583603441263462,0,0,0.0111700305484609,0.00769671157591785,0.0184518435606647,0.124741545423825,0,0,0,0,0,0,0,0.0734932016315321,0,0,0,0,0,0,0,0.255296679097439,9.93231370427523e-05,0,0,0,0,0.0243618738118151,0,0.14045107621703,0,0,0.00598573587394004,2.16840434497101e-19,0,0,0,4.33680868994202e-19,0,0
X000553.SZ,0,0.0271657153426739,0,0,0,0.0220356998784609,0.0159920304620931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270498849965586,0.112846314465169,0,0,0,0.105445064171872,0,0.208333379644249,0,0,0,0.0943834881618237,0,0,0,0,0,0,0,0,0.0395822732968597,-0.00487445701119766,-3.46944695195361e-18,0.0210519521793272,0,0,0,0,0.0394567023978305,0,-0.021379448709116,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0.0362051287518225,0,0.00496178421927275,0,0,0,0,0,0,0,0,0.033282255354218,0,0,0,0,0.12721245873121,0.0806338689626772,0,0,0,0,0,0,0,0,0.0757368359083457,0,0.0209699673647245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421782114419071,0,0,0,0,-0.0324845425764662,0.04532293016334,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,-0.0366568487373102,0,0,0,0,0,0,0,0,0,0,0,0,0.0896957542598676,0,0,0,0,0,0.0172628588930588,0,0,0,0,0.0376614103258647,0,0,0,0,0,0,0,0,0,0.00835063975096166,0.0437292435432388,0.115588555735361,0,0,0,0,0,0,0.021349198180799,0.0246462959556636,0,0,0,0.100923003881807,0,0
X002110.SZ,0,0,0,0,0.12364884450618,0,0,0,0,0,0,0,0,0,0,0,0,0.0669733403749889,0,0,0.138845706475306,0,0.092762663946712,0,0,0,0,0,0,0,0,0.678530684851562,0,0,0,0,0,0,0,0,0,0,0.0299941491904036,0.0508047410231326,0,0,-8.67361737988404e-19,0.18373406863781,0,0,0,-0.00123201267498263,0.0148550365218891,0,0,0,0.0698556207604711,0,0
X002271.SZ,0,0.133875027357999,0,0,0,0,0,0.161013070334705,0,0,0.127415182215947,0,0,0,0,0,0,0,0,0,0,0.169282120744545,0,0,0,0,0.249924170974991,-0.0048620570733785,0,0,0,0,0.309420478903631,0,0,0,0,0,0,0,0,0,-0.0247970674849938,0.027942010933734,0,0,0,0,0,0,0,0.0287719374629339,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,-0.589427210418041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505723984690213,0,0,0,0,0.235110542587877,0,0,-0.134777114922275,0,0,-0.348407416800284,0,0.210834098531106,0,0,-0.666919850362912,0,0.425335460065598,0.866901691513032,0,0,0.135280479928642,0,0,0,0,0.276012673381365,0
