,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X600111.SH,X000786.SZ,X600176.SH,X601600.SH,X600011.SH,X601898.SH,X600886.SH,X600188.SH,X000301.SZ,X600426.SH,X002466.SZ,X600352.SH,X000932.SZ,X600801.SH,X600219.SH,X601991.SH,X600803.SH,X600795.SH,X002080.SZ,X600489.SH,X000027.SZ,X600688.SH,X600486.SH,X600299.SH,X002353.SZ,X000807.SZ,X000898.SZ,X600516.SH,X600027.SH,X601168.SH,X600295.SH,X000630.SZ,X601992.SH,X000723.SZ,X600157.SH,X600315.SH,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000630.SZ,0,0,0,0,0,0,0,0,-0.0872373494409675,0,0,0.374287746253868,0,0,0,0,0.00956652887352513,0,0,0,0,-0.060962556287614,0,0,0,0,0,0,0,0,0,0.0251665118579783,0.0648571242336204,0,0,0,0,0,0,0.231556037246037,0.0284421486545822,0,0.0567675291932451,0,0,0,0,0,0,0,0,-0.0234347213376968,0,0,0,0,0.070976398568331,0,0
X601992.SH,0,0,0,0,0,0,0,0.000566218020034245,0,-0.0331597044569261,0,0,0.135358354163465,0.000650462516982044,0,0,0,0,0,0,0,0,0,0.0270323430290844,0.0703322088336699,0,0,-0.0240590244938119,0,0,0,0,0,0,0,-0.151619284405248,0,0,0,0,0,0,0,0.00728980094759797,0,0,0.0516678162238236,0,-0.0725859561769877,0,0,-0.00418416825299363,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0.000614604396442921,0,0,0,0,0,0,0.116739444405531,0,0,0,0,0,0,0.189832935171804,0,0,0,0,0,0,0,0,-0.0202915934645272,0,0,0,0.290735908470168,0,0,0,0,0,0,0.0508508419101744,0,0.138548263460196,0,0,0,0,0,0,0.132069506528241,0,0.0748374569066717,-0.119485827329561,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0.150466645758423,0,-0.24749444971878,0,0,0,2.16840434497101e-19,0.0142915345189808,0,0,0,0.0331446486345155,0,0,0,0,0,0,0,0,0,0.139467370388671,0,0,0,0,0,0.191285113866541,0,0,0.0328998907866223,-0.167850093699879,0,0,-0.158133636132162,0,0,0.0936323685214301,0,0,-0.0972559841566334,0,0,0.0397652534723304,0,0.0257238054975863,0,0,0,0,0,0,0
X600315.SH,0,0,0,0,0,0.0857504451246067,-0.167206119057149,0,0,0,0,0.0639246071160287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317689496081611,0,-0.0753231554442286,0,0,0,0.0314083309080492,0,0,0,0,0,0,0,0,0.13485300661456,0,0,0,0.237909493091128,0,0,0,0.411336276440211,0.0375239300246517,0,0,0,0,-0.167677896160062,0,0
X300037.SZ,0,-0.600872827993166,-0.00190393629821163,0,-0.0537236735138362,0,0,0,0,-0.140823269566671,0,0.193467696124741,0,0,0,0.180195057162842,0,-0.418065854080366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120146979896156,0.284071567014288,0,0.158823017043344,0,0.216520299012041,0,0,0,0,0,0.0894641056343245,0,0,0,0,-0.0043274555201087,2.16840434497101e-19,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,-3.46944695195361e-18,1.73472347597681e-18,-0.00770154960717636,0,0,0,-0.0132883333480371,0,0,0,0,0,0,0,0,0,-0.0796672132601122,0,0,-0.316212607058566,0,0,0,0,0,0,0,0,0.0962667824278258,0,0,0,0,0.0661877378873233,0,0,0,-0.0818297821282216,0,0,0,0.0774238026795938,0,0,0,0,0,-0.00824964817184892,0,0,0,-0.0759847081296968,0,0
Slope,0,0,0,0,0,0,-0.118450879883623,6.93889390390723e-18,0.127789279006954,0.0676418305140725,0,0,0,0.40274831197481,0,0,0,0,-0.239294381267169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152549691990331,0,-1.38777878078145e-17,0.0177084985530957,0,0,0,-0.0863893641435835,0,0,0,0.313303551076432,0,0,0,0,0,1.26537846903399,0,0,0,1.06292530283323,0,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0.0476919963523331,-0.0163243978694255,0,0,0,0,0.355113218350397,0,0,0.0805210583272374,0,0,0,0,0,0,0,-0.349614679508954,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,-0.0278775839181724,0,-0.0161353726007318,0,-0.785055071572465,0.781338253119256,0,0,0,0,-0.50068151704126,0,0
RealEstate_excess,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135063043189743,0,0,-0.057526246662166,0,0,0,0,0,0,0,0.0220013516649864,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222515034133219,0,-0.0694804143298305,0,0,0,0.0022338954286981,0,0,0,0,0.0165707273136857,0.172719662100754,0,-0.0100579549975014,0.0107248470524494,0,0,0,0,0,0
MKreturn,0,0,0,0,0,-0.0225427319885033,0.0530480208941421,-0.0336445558968202,-0.0489272875905699,-0.0328098989628602,0,0,-0.0223312893090157,0.0203877678270264,0,0,0,0,-0.0164732817411812,0,-0.0111316955541578,0,0,0.0415814506335929,0,0,0,-0.105032847257125,0,0,0,0,0,-0.0426043859807679,0,0,0,0,-0.00950511790651166,0,0,0,0.0800327267246873,0.0302779197884645,0,0,-4.33680868994202e-19,0,0,-0.0464274371477549,-0.0879997196178602,-0.0117789611896301,0,0,0,0,0.0487018419466113,0,0
MKvol,0,0,0,0,0,0,0,0,-0.000644565780425307,0,0,0,0,-0.000412868085565801,-0.000977348270136134,0,0,0,0,0,0,-0.000835430921121259,0,-0.000414418821782503,0,0,0,0,0,0,0,0.00098359497538712,0,0,0,0,0,-0.0014200258413318,0.000888594984870283,0,0,0,0,0,0,0,0,0,0,0.000136668542218146,0.000491794207587016,0,-0.00032448122185695,0,0,0,-0.00223638164845115,0,0
CarbonVol_Shenzhen,0,0,0,0,0,0,0,0,0,0,0,0,0.0105172224179138,0,0,0,0,0,0,-0.0199324009541204,0,0,0,0,0,-0.00589118556446584,0,0,0,-0.0837095755073614,0,0,0,-0.0329739983111948,0,0,0,0.0846964108139051,0,0,0,0,0,0,0,0,0,0,0,-0.0472653194179584,0,0.316636366652877,-0.482426407324458,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,-0.00136268222115319,0,0,0,0,0,-0.00569347479604491,0,0.0109561694401099,0,0,0,0,-0.0028784495797226,0,-0.00637627940305229,0,0,0,0,0,0,0,5.44309660460964e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122249287070446,0,0,0.0101686737548838,0,0.00101401328196483,0,0,0,-0.00847285702199177,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00174087230422261,0,0,0,0,0,0,0
