,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600547.SH,X600886.SH,X600011.SH,X600585.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X600803.SH,X002460.SZ,X600426.SH,X601991.SH,X600160.SH,X000301.SZ,X000983.SZ,X601699.SH,X002466.SZ,X000786.SZ,X600219.SH,X000807.SZ,X002128.SZ,X000630.SZ,X600176.SH,X000933.SZ,X601168.SH,X600985.SH,X000877.SZ,X600096.SH,X000408.SZ,X000883.SZ,X002353.SZ,X000027.SZ,X002271.SZ,X002409.SZ,X000932.SZ,X600299.SH,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0.228281284040061,0,0,0.100279230209589,0,0,0,0,0,0,0,0,0.1296299098958,-0.0163525861917058,0,0,-0.00636288202456679,0,0,0,0,0,0,-0.169333181799547,0.222412378208615,-0.00269090852890458,0,0,0,0,0.162525815301849,0,0,0,0,-0.0217808736462402,0,0,0,0,0.04572614445933,-0.0666026620467308,-0.126139296106105,0,0,-0.0263867021760397,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0.0791818420141595,0,0.0273948808457843,0,0,0.109981340622119,0,0,0,0,0,0.0398315582679486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175914658280838,0.214906429276125,0,0,0,0.0102120529950785,0,0.0114859901649593,0.212869956830914,0.0442055181055872,0,0,0,0,0,0,0,-0.125724825944447,0,0,0.00591425326460476,0,0
X000807.SZ,0,0,0,0,0,0,0,0.0559831565734738,0,0,0,0,0,0,0,0,0.0391209765663322,0,0,0,0.339416932598965,0,0,0,0,0,0,0,0,0,-0.0721160241460269,0,0,0,0.304979187582814,0,0.194492617478959,0,0,0.0619064699760039,0,0,0,0.168315093664866,0,0,0,0,0,0,0,0,0.0688037311682351,0,0,0,0.000556767024100608,0,0
X002128.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0547742541649057,0,0,0,0,0,0,0,0.155548537423571,0,0,0,0,0,0,0.0998132539855831,0,0,0,0,0,0,0,0,0.144781094144966,0,0.0202427326079272,0,0,0.223665727603877,0.113031983074226,0,0,0.0729113018773493,0.0490730022202662,0,0,0,0,-0.0224758930134642,-0.0171860854332264,0,0,0,-0.0402275181843352,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117766342340615,0.592474899822985,0,0,0,0,0,0,0,0,0.0305990428663373,0,0.0146094513238134,0.00504829665005508,0,0,0.0500251739714107,0,0,0,0,0,0.0834760916188051,0,0,0.0880970441326984,0.0158623838062136,0.0681888400680627,0.0618580339367807,0,0.0466702212190663,0,0.0629372729768676,0,0,0,0,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0.205061314704072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.620299362050699,-0.0452417677302311,0.0918646708639878,0,0,0,0,0.162849441982036,0,0,-0.0607388611799151,0,0,0,-0.0265317217076177,0,0,0.0228582832128366,0,0,0,0,0.15594984951308,-0.272868408660762,0,0,0,0,0,0.0473382014528629,0,0,0,0,0,0
X000933.SZ,0,0,0,0,0.0320472433145923,0,0.073513581267112,0,0,0,0,0,0.193681410429447,0,0,0,0,0,0,0,0,0,0,0,0,0.103111074553144,0,0,0.206609065280109,0,0,0.150404601965272,0.22244988220975,0.000474066780612644,0,0,0,0,0,0,0,0,0.123295255356984,0.188337181928987,0,0.0723377029985397,-0.0598811089530119,0,0,0,0,0.091990305981532,-0.0751931841391852,0,0,0,-0.0234958273101096,0,0
X601168.SH,0.110421223262543,0,0,0,0,0,0,0,0,0,0,0,0.148378631047266,0,0,0,0.580097060446293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26705766848415,-0.182668884817344,0,0,0,0,0,0.0298250186286253,0,-0.0300029030121482,0,0,0.0368848152841851,0,0,0,0.00594711129677298,0,0,0,0,0,0,0,0
X600985.SH,0,0,0,0,0.0956559182382042,0,0.117522980354938,0,0,0,0,0,0.102525110543077,0,0,0,0,0,0,0,0.0809143363452834,0,0,0,0,0,0,0,0.386913141767613,0,0,0,0,0,0,0.0568428544496457,0,0,0,0,0,0,0,0,0,0.0271551603488923,0.0491707429667424,0,0,0,0.0222576059882894,0,-0.0481663983964653,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0,-0.172559964810938,0,0,0,0,-0.356369646926441,0,0,0,0.0483874320235762,0,0,0,0,0,0,0,0,0,0,0.241384145246534,0,0,-0.0527907155833418,0,0,0.146873644977431,0,0,0,-0.019078784583913,0,0,0,0,0,0,-0.0236763007118634,0,0,-0.0983904232148703,0.483704217381876,0,0,-0.139636959640506,0,0,0,0,0,0.0401447606826871,0,0
